idx,band,song,dimension,label
272,mygo,栞,intensity,quiet
281,mygo,過惰幻,intensity,quiet
31,afterglow,青い栞,intensity,quiet
343,pastel_palettes,ホワイト ノスタルジア,intensity,quiet
213,morfonica,胡蝶翔る星月夜,intensity,quiet
387,poppin_party,八月のif,intensity,quiet
131,hello_happy_world,ひまわりの約束,intensity,quiet
412,poppin_party,1000回潤んだ空,intensity,quiet
603,roselia,鳥の詩,intensity,quiet
589,roselia,約束,intensity,quiet
261,mygo,壱雫空,intensity,quiet
456,poppin_party,遠い音楽 ～ハートビート～,intensity,quiet
191,morfonica,誓いのWingbeat,intensity,quiet
269,mygo,迷路日々,intensity,quiet
584,roselia,FIRE BIRD,intensity,loud
501,raise_a_suilen,R・I・O・T,intensity,loud
500,raise_a_suilen,EXPOSE ‘Burn out!!!’,intensity,loud
578,roselia,Determination Symphony,intensity,loud
614,roselia,PASSIONATE ANTHEM,intensity,loud
506,raise_a_suilen,Sacred world,intensity,loud
591,roselia,Song I am.,intensity,loud
386,poppin_party,Time Lapse,intensity,loud
10,afterglow,Y.O.L.O!!!!!,intensity,loud
490,raise_a_suilen,Invincible Fighter,intensity,loud
491,raise_a_suilen,A DECLARATION OF ×××,intensity,loud
494,raise_a_suilen,HELL! or HELL?,intensity,loud
583,roselia,BRAVE JEWEL,intensity,loud
574,roselia,ONENESS,intensity,loud
278,mygo,処救生,intensity,loud
512,raise_a_suilen,灼熱 Bonfire!,intensity,loud
336,pastel_palettes,ドラマチック！アライブ,intensity,loud
155,hello_happy_world,はいよろこんで (Cover),intensity,loud
366,pastel_palettes,惑星ループ (Cover),intensity,loud
181,morfonica,メランコリックララバイ,intensity,loud
79,ave_mujica,黒のバースデイ,intensity,loud
486,poppin_party,ヴァンパイア (Cover),intensity,loud
146,hello_happy_world,やっほー！いっぽ！わんだふぉー！,brightness,bright
128,hello_happy_world,ハピネスっ！ハピィーマジカルっ♪,brightness,bright
123,hello_happy_world,Happy! Happier! Happiest!,brightness,bright
161,hello_happy_world,ドレミファロンド (Cover),brightness,bright
376,poppin_party,STAR BEAT!～ホシノコドウ～,brightness,bright
332,pastel_palettes,SAKURAスキップ,brightness,bright
445,poppin_party,Drive Your Heart,brightness,bright
38,afterglow,Made My Day,brightness,bright
84,ave_mujica,Ave Mujica,brightness,dark
82,ave_mujica,神さま、バカ,brightness,dark
96,ave_mujica,‘S/’ The Way,brightness,dark
95,ave_mujica,Sophie,brightness,dark
601,roselia,ROZEN HORIZON,brightness,dark
648,roselia,スカイクラッドの観測者 (Cover),brightness,dark
277,mygo,端程山,brightness,dark
45,afterglow,abnormalize (Cover),brightness,dark
386,poppin_party,Time Lapse,party,party
10,afterglow,Y.O.L.O!!!!!,party,party
501,raise_a_suilen,R・I・O・T,party,party
500,raise_a_suilen,EXPOSE ‘Burn out!!!’,party,party
155,hello_happy_world,はいよろこんで (Cover),party,party
512,raise_a_suilen,灼熱 Bonfire!,party,party
317,pastel_palettes,ぎゅっDAYS♪,party,party
373,pastel_palettes,徒花ネクロマンシー (Cover),party,party
272,mygo,栞,party,calm
281,mygo,過惰幻,party,calm
603,roselia,鳥の詩,party,calm
131,hello_happy_world,ひまわりの約束,party,calm
589,roselia,約束,party,calm
