idx,band,song,i_mean,i_std,i_max,i_min,i_start,i_end
0,afterglow,ON YOUR MARK,0.12054,0.72580,1.22611,-0.66669,-0.03037,0.07349
1,afterglow,That Is How I Roll!,0.49796,0.82530,1.91718,-0.58242,0.85529,0.81895
2,afterglow,SENSENFUKOKU,0.09921,0.80883,1.40000,-0.88091,0.01079,0.19293
3,afterglow,I knew it!,0.02736,0.69909,1.04592,-0.79392,0.50725,0.00448
4,afterglow,ツナグ、ソラモヨウ,0.00049,0.79964,1.23416,-1.15989,-1.05496,0.34473
5,afterglow,Hey-day狂騒曲(カプリチオ),0.58697,0.95695,2.17963,-0.75530,-0.00205,0.82116
6,afterglow,"Easy come, Easy go!",0.00525,0.79209,1.19049,-0.94155,0.00678,0.30842
7,afterglow,Sasanqua,-0.07625,0.79608,1.15622,-1.07530,-0.33508,0.54732
8,afterglow,RED RED RED,0.00616,0.82488,1.15589,-1.10780,-0.71584,0.12569
9,afterglow,ONE OF US,0.14195,0.78777,1.39900,-0.96957,0.07030,0.37255
10,afterglow,Y.O.L.O!!!!!,0.55304,0.81412,1.91750,-0.54800,0.93058,0.82847
11,afterglow,Scarlet Sky,0.33391,0.73247,1.53209,-0.58625,0.03189,0.64428
12,afterglow,Off we go.,-0.15307,0.85789,1.26868,-1.24011,-0.14255,-0.27006
13,afterglow,いつも通りのBrand new days,0.07241,0.74161,1.30839,-0.83911,0.22776,0.63102
14,afterglow,SWITCH ON NOW,0.36943,0.76030,1.62131,-0.58411,0.54921,0.41821
15,afterglow,ランブリングメモリー,-0.01961,0.80991,1.21343,-0.97133,-0.29132,-0.11948
16,afterglow,COMIC PANIC!!!,0.39949,0.79278,1.69515,-0.73116,0.26349,0.48234
17,afterglow,Trouble Joyful!!,0.19483,0.77152,1.39024,-0.79162,0.35147,0.20585
18,afterglow,Jamboree!Journey!,0.05627,0.83655,1.44668,-1.08653,-0.62307,0.05746
19,afterglow,カナユメ,-0.34091,0.76650,0.83431,-1.30041,-0.49254,-0.23128
20,afterglow,独創収差,-0.03635,0.87721,1.16924,-1.46198,-0.40857,-0.64061
21,afterglow,極彩色,0.21249,0.86162,1.53061,-1.25801,-0.75097,0.29542
22,afterglow,サクラゼンセン,-0.11113,0.75004,0.98088,-1.15750,-0.48913,0.04219
23,afterglow,True color,0.09152,0.80333,1.39984,-0.97534,-0.16571,-0.03784
24,afterglow,Crow Song,0.37076,0.73412,1.47031,-0.54410,0.81139,0.33691
25,afterglow,カサブタ,0.05099,0.70174,1.12956,-0.74033,0.14308,0.33654
26,afterglow,アイのシナリオ,0.12352,0.86470,1.52752,-0.99613,0.45157,0.28986
27,afterglow,Northern lights,-0.12805,0.80057,1.06910,-1.08473,0.21067,-0.04039
28,afterglow,トーキョーワンダー。,-0.25183,0.89332,1.13956,-1.62483,-0.73427,-0.38906
29,afterglow,Reach Out To The Truth,0.41807,0.80787,1.86202,-0.53989,0.64088,0.63764
30,afterglow,Listen!!,0.07733,0.81170,1.45554,-0.92371,0.08664,0.24143
31,afterglow,青い栞,-0.50725,0.93702,1.00131,-1.69074,-0.81122,-0.81810
32,afterglow,イマジネーション,0.14638,0.86352,1.60520,-0.91765,0.23421,0.42391
33,afterglow,Butter-Fly,0.48023,0.67994,1.56089,-0.42950,0.64201,0.69437
34,afterglow,燦々,0.34965,0.86748,1.92835,-0.95036,-0.17667,0.61237
35,afterglow,That's why I'm here.,0.03909,0.76559,1.31804,-0.95309,0.19966,0.35689
36,afterglow,IGNITE GLOW,-0.05701,0.71450,1.00078,-1.03263,-0.22308,0.15940
37,afterglow,ペトリコール・オベーション,-0.11508,0.67192,0.90224,-0.89295,-0.10814,0.05736
38,afterglow,Made My Day,-0.02566,0.76963,1.29528,-0.88341,-0.08240,0.04576
39,afterglow,Glowing After,0.25832,0.94201,2.10107,-0.94410,0.41085,0.51136
40,afterglow,A Sunset So Bright,0.39370,0.73215,1.45110,-0.66997,0.33755,0.48082
41,afterglow,Start as Usual,0.33352,0.69328,1.42265,-0.49531,0.21518,0.41206
42,afterglow,“Say cheese!!!!!”,0.31891,0.72746,1.54670,-0.60411,0.24276,0.33028
43,afterglow,花笑みのデュオ,0.51459,0.86545,2.10650,-0.71509,0.65703,0.45710
44,afterglow,READY STEADY GO (Cover),0.36107,0.80862,1.69893,-0.73806,-0.04727,0.37425
45,afterglow,abnormalize (Cover),0.04810,0.87918,1.40418,-1.17019,-0.07796,0.09328
46,afterglow,メンタルチェンソー (Cover),-0.06431,0.87556,1.54521,-1.17776,-0.02917,-0.33175
47,afterglow,Bunny Girl (Cover),0.22849,1.09077,2.39840,-0.95639,0.55154,0.07437
48,afterglow,オレンジ (Cover),0.13979,0.98311,1.67707,-1.40043,-0.55836,0.03888
49,afterglow,カゲロウデイズ (Cover),0.10364,0.81607,1.46493,-0.94381,-0.18349,0.31525
50,afterglow,DAY×DAY (Cover),0.42816,0.74019,1.66828,-0.52475,0.29016,0.32172
51,afterglow,ロキ (Cover),-0.00224,0.90364,1.42126,-1.08509,-0.02327,0.42682
52,afterglow,CHAINSAW BLOOD (Cover),-0.18857,0.81845,1.10076,-1.20279,-0.54539,-0.29499
53,afterglow,チルドレンレコード (Re:boot) (Cover),0.15782,0.94661,1.88240,-0.99537,-0.21727,0.44189
54,afterglow,青のすみか (Cover),0.24595,1.02458,1.86043,-1.44091,0.15577,0.58224
55,afterglow,GO!!! (Cover),0.13339,0.81388,1.28503,-0.95873,0.25526,0.58011
56,afterglow,天ノ弱 (Cover),0.01279,0.87221,1.48677,-1.04234,0.09239,0.37251
57,afterglow,アスノヨゾラ哨戒班 (Cover),0.32657,0.89647,1.60864,-1.05645,0.27696,0.04186
58,afterglow,瞬間センチメンタル (Cover),0.22870,0.81096,1.48643,-0.79435,0.31006,0.45094
59,afterglow,プライド革命 (Cover),0.17745,0.77122,1.50732,-0.77706,0.57096,0.35432
60,afterglow,命に嫌われている。 (Cover),-0.19343,0.97540,1.42698,-1.67837,-1.40614,0.02253
61,afterglow,Redo (Cover),0.02507,0.79030,1.28968,-1.03654,-0.16367,0.70690
62,afterglow,インフェルノ (Cover),0.11658,0.81449,1.31496,-0.94614,0.52114,0.32928
63,afterglow,ドラマツルギー (Cover),-0.16204,0.77527,1.07350,-1.21942,-0.84463,0.31371
64,afterglow,COLORS (Cover),-0.30829,0.84303,0.80777,-1.55225,-0.31648,-1.00140
65,afterglow,午夜の待ち合わせ (Cover),0.13033,0.92547,1.49290,-1.22323,-0.58093,-0.01477
66,afterglow,サムライハート（Some Like It Hot!!） (Cover),-0.24689,0.79179,0.98951,-1.15961,-0.43006,0.08717
67,afterglow,ベノム (Cover),0.33020,0.77645,1.53567,-0.75224,0.42988,0.51181
68,afterglow,Don't say “lazy” (Cover),0.58930,0.99598,2.00084,-0.77013,0.87487,-1.72887
69,afterglow,Part of the Life,0.17807,0.65717,1.16797,-0.68117,0.27757,0.01041
70,afterglow,Punchline Halloween!!!,-0.09999,0.81259,1.07140,-0.97774,-0.32503,0.00803
71,afterglow,I love your way！,0.22924,0.69997,1.27802,-0.58796,0.28870,0.74856
72,ave_mujica,KiLLKiSS,-0.32424,1.31387,1.59046,-2.66099,-2.15766,0.45117
73,ave_mujica,"Georgette Me, Georgette You",-0.45744,1.13694,1.29355,-2.08463,-1.27925,0.97476
74,ave_mujica,Imprisoned XII,-0.71010,1.29993,2.13426,-2.21184,-0.54641,-0.91376
75,ave_mujica,Crucifix X,-0.12451,1.01068,1.62494,-2.00731,-1.94039,-0.00416
76,ave_mujica,八芒星ダンス,0.41997,1.10428,2.23364,-2.00067,-1.73307,0.48852
77,ave_mujica,顔,0.75979,0.99241,2.66423,-0.61936,0.25603,0.99752
78,ave_mujica,天球のMúsica,0.27745,1.14959,1.90946,-2.03014,-1.69755,0.22567
79,ave_mujica,黒のバースデイ,0.15758,1.26385,2.80711,-2.41577,-2.15944,2.09277
80,ave_mujica,ふたつの月 ~Deep Into The Forest~,0.23899,0.97966,1.81425,-1.49107,-1.63461,2.30423
81,ave_mujica,Choir ‘S’ Choir,0.12848,1.05964,2.43039,-1.28041,-1.23807,2.81492
82,ave_mujica,神さま、バカ,0.01449,1.16862,3.55398,-1.36244,-0.56770,2.48599
83,ave_mujica,Mas?uerade Rhapsody Re?uest,0.07658,0.99033,1.98768,-1.19929,-0.26149,1.43982
84,ave_mujica,Ave Mujica,-0.08040,1.37980,3.55398,-1.52865,-0.28195,3.55398
85,ave_mujica,Symbol I : △,0.39685,0.87388,1.99070,-0.96813,0.46034,-0.03934
86,ave_mujica,Symbol II : Air,0.57480,0.87484,2.00599,-0.64305,0.25347,0.39135
87,ave_mujica,Symbol III : ▽,-1.01715,1.08768,0.90169,-2.63037,-1.92357,-0.86458
88,ave_mujica,Symbol IV : Earth,0.10667,1.02484,2.03792,-1.33673,-0.55751,-0.37637
89,ave_mujica,Ether,0.13724,1.12323,1.94627,-2.11082,-0.89620,-1.82894
90,ave_mujica,The Whole Blue World,-0.04743,0.86820,1.45669,-1.39330,0.13433,-0.05789
91,ave_mujica,in your blue eyes,-0.44546,1.04511,1.14521,-2.30431,-1.06043,-1.29679
92,ave_mujica,素晴らしき世界 でも どこにもない場所,-0.14313,0.95256,1.52865,-1.46858,-1.18317,-0.45670
93,ave_mujica,Angles,-0.49968,1.19372,1.62144,-2.23628,-1.74411,-2.20361
