prompt_idx,prompt,attempt,ok,error,stage_count,brightness,start_energy,end_energy,stage_params_present,stage_minutes
0,더운 저녁을 식혀주는 5단계 노래. 마지막에 차분한 구간을 길게 해줘.,0,True,,5,0.3,0.5,0.2,True,"[5.0, 5.0, 5.0, 5.0, 20.0]"
0,더운 저녁을 식혀주는 5단계 노래. 마지막에 차분한 구간을 길게 해줘.,1,True,,5,0.3,0.4,0.2,True,"[8.0, 8.0, 8.0, 8.0, 13.0]"
0,더운 저녁을 식혀주는 5단계 노래. 마지막에 차분한 구간을 길게 해줘.,2,True,,5,0.3,0.6,0.2,True,"[10.0, 10.0, 10.0, 10.0, 20.0]"
1,"신나는 파티, 텐션 최고조로 끌어올려줘 60분",0,True,,4,0.8,0.6,0.85,True,"[15.0, 15.0, 15.0, 15.0]"
1,"신나는 파티, 텐션 최고조로 끌어올려줘 60분",1,True,,3,0.8,0.6,0.9,True,"[10.0, 40.0, 10.0]"
1,"신나는 파티, 텐션 최고조로 끌어올려줘 60분",2,True,,3,0.8,0.6,0.9,True,"[15.0, 30.0, 15.0]"
2,"우울하고 무거운 밤, 조용히 침잠하는 발라드만",0,True,,2,-0.7,0.15,0.15,True,"[15.0, 15.0]"
2,"우울하고 무거운 밤, 조용히 침잠하는 발라드만",1,True,,2,-0.5,0.15,0.15,True,"[15.0, 15.0]"
2,"우울하고 무거운 밤, 조용히 침잠하는 발라드만",2,True,,2,-0.6,0.15,0.15,True,"[15.0, 15.0]"
3,"아침 조깅용 30분, 점점 빨라지는 흐름",0,True,,3,0.5,0.2,0.7,True,"[10.0, 10.0, 10.0]"
3,"아침 조깅용 30분, 점점 빨라지는 흐름",1,True,,4,0.4,0.2,0.8,True,"[7.5, 7.5, 7.5, 7.5]"
3,"아침 조깅용 30분, 점점 빨라지는 흐름",2,True,,4,0.3,0.3,0.85,True,"[7.5, 7.5, 7.5, 7.5]"
4,주말 드라이브에 어울리는 밝은 플레이리스트 45분,0,True,,3,0.6,0.5,0.5,True,"[15.0, 15.0, 15.0]"
4,주말 드라이브에 어울리는 밝은 플레이리스트 45분,1,True,,3,0.7,0.5,0.5,True,"[15.0, 15.0, 15.0]"
4,주말 드라이브에 어울리는 밝은 플레이리스트 45분,2,True,,3,0.6,0.5,0.5,True,"[15.0, 15.0, 15.0]"
5,시험공부 집중용 잔잔한 배경음악 90분,0,True,,3,-0.2,0.15,0.15,True,"[30.0, 30.0, 30.0]"
5,시험공부 집중용 잔잔한 배경음악 90분,1,True,,3,0.1,0.15,0.15,True,"[30.0, 30.0, 30.0]"
5,시험공부 집중용 잔잔한 배경음악 90분,2,True,,3,-0.3,0.15,0.15,True,"[30.0, 30.0, 30.0]"
6,잠들기 직전 듣는 아주 조용한 곡,0,True,,2,-0.5,0.1,0.1,True,"[10.0, 10.0]"
6,잠들기 직전 듣는 아주 조용한 곡,1,True,,2,-0.4,0.15,0.15,True,"[10.0, 10.0]"
6,잠들기 직전 듣는 아주 조용한 곡,2,True,,2,-0.8,0.1,0.1,True,"[8.0, 7.0]"
7,비 오는 날 창밖 보며 듣는 잔잔한 노래,0,True,,3,-0.3,0.15,0.15,True,"[10.0, 10.0, 10.0]"
7,비 오는 날 창밖 보며 듣는 잔잔한 노래,1,True,,2,-0.25,0.15,0.15,True,"[15.0, 15.0]"
7,비 오는 날 창밖 보며 듣는 잔잔한 노래,2,True,,2,-0.3,0.15,0.15,True,"[15.0, 15.0]"
8,혼자 청소하면서 듣는 무난한 배경음악,0,True,,3,0.0,0.35,0.35,True,"[10.0, 10.0, 10.0]"
8,혼자 청소하면서 듣는 무난한 배경음악,1,True,,2,0.1,0.4,0.4,True,"[15.0, 15.0]"
8,혼자 청소하면서 듣는 무난한 배경음악,2,True,,3,0.1,0.3,0.3,True,"[13.33, 13.33, 13.34]"
9,"유산소 운동 마무리, 격렬했다가 서서히 식는 흐름 40분",0,True,,4,0.3,0.8,0.4,True,"[12.0, 10.0, 8.0, 10.0]"
9,"유산소 운동 마무리, 격렬했다가 서서히 식는 흐름 40분",1,True,,3,0.4,0.8,0.4,True,"[15.0, 10.0, 15.0]"
9,"유산소 운동 마무리, 격렬했다가 서서히 식는 흐름 40분",2,True,,3,0.3,0.8,0.3,True,"[15.0, 15.0, 10.0]"
