prompt_idx,prompt,attempt,stage_index,stage_minutes,valence,lufs_integrated,lra,danceability_norm,instr_stem_ratio,speech_median
0,더운 저녁을 식혀주는 5단계 노래. 마지막에 차분한 구간을 길게 해줘.,0,0,5.0,0.6,0.7,0.2,0.6,0.6,0.3
0,더운 저녁을 식혀주는 5단계 노래. 마지막에 차분한 구간을 길게 해줘.,0,1,5.0,0.55,0.65,0.25,0.55,0.6,0.28
0,더운 저녁을 식혀주는 5단계 노래. 마지막에 차분한 구간을 길게 해줘.,0,2,5.0,0.5,0.6,0.3,0.5,0.6,0.26
0,더운 저녁을 식혀주는 5단계 노래. 마지막에 차분한 구간을 길게 해줘.,0,3,5.0,0.45,0.55,0.35,0.45,0.6,0.24
0,더운 저녁을 식혀주는 5단계 노래. 마지막에 차분한 구간을 길게 해줘.,0,4,20.0,0.4,0.5,0.4,0.4,0.6,0.22
0,더운 저녁을 식혀주는 5단계 노래. 마지막에 차분한 구간을 길게 해줘.,1,0,8.0,0.55,0.85,0.12,0.55,0.65,0.38
0,더운 저녁을 식혀주는 5단계 노래. 마지막에 차분한 구간을 길게 해줘.,1,1,8.0,0.58,0.88,0.11,0.6,0.66,0.4
0,더운 저녁을 식혀주는 5단계 노래. 마지막에 차분한 구간을 길게 해줘.,1,2,8.0,0.6,0.9,0.1,0.65,0.67,0.42
0,더운 저녁을 식혀주는 5단계 노래. 마지막에 차분한 구간을 길게 해줘.,1,3,8.0,0.55,0.85,0.12,0.55,0.65,0.38
0,더운 저녁을 식혀주는 5단계 노래. 마지막에 차분한 구간을 길게 해줘.,1,4,13.0,0.4,0.7,0.15,0.35,0.6,0.3
0,더운 저녁을 식혀주는 5단계 노래. 마지막에 차분한 구간을 길게 해줘.,2,0,10.0,0.6,0.8,0.08,0.4,0.65,0.25
0,더운 저녁을 식혀주는 5단계 노래. 마지막에 차분한 구간을 길게 해줘.,2,1,10.0,0.58,0.78,0.07,0.38,0.66,0.24
0,더운 저녁을 식혀주는 5단계 노래. 마지막에 차분한 구간을 길게 해줘.,2,2,10.0,0.56,0.76,0.06,0.36,0.67,0.23
0,더운 저녁을 식혀주는 5단계 노래. 마지막에 차분한 구간을 길게 해줘.,2,3,10.0,0.54,0.74,0.05,0.34,0.68,0.22
0,더운 저녁을 식혀주는 5단계 노래. 마지막에 차분한 구간을 길게 해줘.,2,4,20.0,0.52,0.72,0.04,0.32,0.69,0.21
1,"신나는 파티, 텐션 최고조로 끌어올려줘 60분",0,0,15.0,0.75,0.85,0.05,0.7,0.7,0.5
1,"신나는 파티, 텐션 최고조로 끌어올려줘 60분",0,1,15.0,0.8,0.9,0.04,0.8,0.75,0.55
1,"신나는 파티, 텐션 최고조로 끌어올려줘 60분",0,2,15.0,0.85,0.92,0.03,0.85,0.8,0.6
1,"신나는 파티, 텐션 최고조로 끌어올려줘 60분",0,3,15.0,0.9,0.95,0.02,0.9,0.85,0.65
1,"신나는 파티, 텐션 최고조로 끌어올려줘 60분",1,0,10.0,0.7,0.8,0.1,0.7,0.6,0.35
1,"신나는 파티, 텐션 최고조로 끌어올려줘 60분",1,1,40.0,0.85,0.9,0.05,0.85,0.7,0.4
1,"신나는 파티, 텐션 최고조로 끌어올려줘 60분",1,2,10.0,0.95,0.95,0.02,0.9,0.75,0.45
1,"신나는 파티, 텐션 최고조로 끌어올려줘 60분",2,0,15.0,0.7,0.85,0.15,0.7,0.7,0.4
1,"신나는 파티, 텐션 최고조로 끌어올려줘 60분",2,1,30.0,0.8,0.9,0.12,0.8,0.75,0.5
1,"신나는 파티, 텐션 최고조로 끌어올려줘 60분",2,2,15.0,0.9,0.95,0.08,0.9,0.8,0.6
2,"우울하고 무거운 밤, 조용히 침잠하는 발라드만",0,0,15.0,0.3,0.2,0.4,0.2,0.3,0.2
2,"우울하고 무거운 밤, 조용히 침잠하는 발라드만",0,1,15.0,0.25,0.18,0.45,0.18,0.28,0.18
2,"우울하고 무거운 밤, 조용히 침잠하는 발라드만",1,0,15.0,0.2,0.2,0.8,0.2,0.4,0.2
2,"우울하고 무거운 밤, 조용히 침잠하는 발라드만",1,1,15.0,0.2,0.2,0.8,0.2,0.4,0.2
2,"우울하고 무거운 밤, 조용히 침잠하는 발라드만",2,0,15.0,0.3,0.3,0.2,0.2,0.3,0.2
2,"우울하고 무거운 밤, 조용히 침잠하는 발라드만",2,1,15.0,0.3,0.3,0.2,0.2,0.3,0.2
3,"아침 조깅용 30분, 점점 빨라지는 흐름",0,0,10.0,0.5,0.7,0.2,0.5,0.6,0.4
3,"아침 조깅용 30분, 점점 빨라지는 흐름",0,1,10.0,0.7,0.8,0.15,0.7,0.65,0.5
3,"아침 조깅용 30분, 점점 빨라지는 흐름",0,2,10.0,0.85,0.9,0.1,0.85,0.7,0.6
3,"아침 조깅용 30분, 점점 빨라지는 흐름",1,0,7.5,0.5,0.75,0.12,0.45,0.6,0.3
3,"아침 조깅용 30분, 점점 빨라지는 흐름",1,1,7.5,0.6,0.8,0.13,0.55,0.65,0.35
3,"아침 조깅용 30분, 점점 빨라지는 흐름",1,2,7.5,0.7,0.85,0.14,0.65,0.7,0.4
3,"아침 조깅용 30분, 점점 빨라지는 흐름",1,3,7.5,0.8,0.9,0.15,0.75,0.75,0.45
3,"아침 조깅용 30분, 점점 빨라지는 흐름",2,0,7.5,0.4,0.7,0.2,0.4,0.7,0.3
3,"아침 조깅용 30분, 점점 빨라지는 흐름",2,1,7.5,0.5,0.8,0.15,0.5,0.75,0.35
3,"아침 조깅용 30분, 점점 빨라지는 흐름",2,2,7.5,0.6,0.85,0.1,0.6,0.8,0.4
3,"아침 조깅용 30분, 점점 빨라지는 흐름",2,3,7.5,0.7,0.9,0.05,0.7,0.85,0.45
4,주말 드라이브에 어울리는 밝은 플레이리스트 45분,0,0,15.0,0.75,0.9,0.1,0.7,0.7,0.4
4,주말 드라이브에 어울리는 밝은 플레이리스트 45분,0,1,15.0,0.75,0.9,0.1,0.7,0.7,0.4
4,주말 드라이브에 어울리는 밝은 플레이리스트 45분,0,2,15.0,0.75,0.9,0.1,0.7,0.7,0.4
4,주말 드라이브에 어울리는 밝은 플레이리스트 45분,1,0,15.0,0.7,0.8,0.15,0.6,0.68,0.38
4,주말 드라이브에 어울리는 밝은 플레이리스트 45분,1,1,15.0,0.75,0.85,0.16,0.7,0.7,0.4
4,주말 드라이브에 어울리는 밝은 플레이리스트 45분,1,2,15.0,0.8,0.9,0.17,0.8,0.72,0.42
4,주말 드라이브에 어울리는 밝은 플레이리스트 45분,2,0,15.0,0.68,0.88,0.04,0.68,0.68,0.38
4,주말 드라이브에 어울리는 밝은 플레이리스트 45분,2,1,15.0,0.72,0.92,0.03,0.72,0.7,0.4
4,주말 드라이브에 어울리는 밝은 플레이리스트 45분,2,2,15.0,0.7,0.9,0.05,0.7,0.69,0.39
5,시험공부 집중용 잔잔한 배경음악 90분,0,0,30.0,0.45,0.7,0.15,0.4,0.6,0.3
5,시험공부 집중용 잔잔한 배경음악 90분,0,1,30.0,0.45,0.7,0.15,0.4,0.6,0.3
5,시험공부 집중용 잔잔한 배경음악 90분,0,2,30.0,0.45,0.7,0.15,0.4,0.6,0.3
5,시험공부 집중용 잔잔한 배경음악 90분,1,0,30.0,0.35,0.25,0.15,0.2,0.5,0.15
5,시험공부 집중용 잔잔한 배경음악 90분,1,1,30.0,0.4,0.3,0.2,0.25,0.5,0.2
5,시험공부 집중용 잔잔한 배경음악 90분,1,2,30.0,0.35,0.25,0.15,0.2,0.5,0.15
5,시험공부 집중용 잔잔한 배경음악 90분,2,0,30.0,0.45,0.7,0.1,0.4,0.6,0.3
5,시험공부 집중용 잔잔한 배경음악 90분,2,1,30.0,0.45,0.7,0.1,0.4,0.6,0.3
5,시험공부 집중용 잔잔한 배경음악 90분,2,2,30.0,0.45,0.7,0.1,0.4,0.6,0.3
6,잠들기 직전 듣는 아주 조용한 곡,0,0,10.0,0.2,0.2,0.05,0.2,0.3,0.2
6,잠들기 직전 듣는 아주 조용한 곡,0,1,10.0,0.2,0.2,0.05,0.2,0.3,0.2
6,잠들기 직전 듣는 아주 조용한 곡,1,0,10.0,0.4,0.2,0.2,0.2,0.4,0.2
6,잠들기 직전 듣는 아주 조용한 곡,1,1,10.0,0.4,0.2,0.2,0.2,0.4,0.2
6,잠들기 직전 듣는 아주 조용한 곡,2,0,8.0,0.18,0.28,0.04,0.18,0.28,0.18
6,잠들기 직전 듣는 아주 조용한 곡,2,1,7.0,0.22,0.32,0.06,0.22,0.32,0.22
7,비 오는 날 창밖 보며 듣는 잔잔한 노래,0,0,10.0,0.4,0.5,0.2,0.3,0.4,0.2
7,비 오는 날 창밖 보며 듣는 잔잔한 노래,0,1,10.0,0.4,0.5,0.2,0.3,0.4,0.2
7,비 오는 날 창밖 보며 듣는 잔잔한 노래,0,2,10.0,0.4,0.5,0.2,0.3,0.4,0.2
7,비 오는 날 창밖 보며 듣는 잔잔한 노래,1,0,15.0,0.4,0.6,0.05,0.2,0.4,0.2
7,비 오는 날 창밖 보며 듣는 잔잔한 노래,1,1,15.0,0.45,0.55,0.07,0.18,0.38,0.18
7,비 오는 날 창밖 보며 듣는 잔잔한 노래,2,0,15.0,0.45,0.55,0.05,0.3,0.5,0.2
7,비 오는 날 창밖 보며 듣는 잔잔한 노래,2,1,15.0,0.5,0.6,0.07,0.35,0.55,0.25
8,혼자 청소하면서 듣는 무난한 배경음악,0,0,10.0,0.55,0.78,0.12,0.48,0.62,0.34
8,혼자 청소하면서 듣는 무난한 배경음악,0,1,10.0,0.6,0.82,0.14,0.53,0.68,0.38
8,혼자 청소하면서 듣는 무난한 배경음악,0,2,10.0,0.58,0.8,0.13,0.5,0.66,0.36
8,혼자 청소하면서 듣는 무난한 배경음악,1,0,15.0,0.55,0.78,0.14,0.48,0.6,0.35
8,혼자 청소하면서 듣는 무난한 배경음악,1,1,15.0,0.58,0.82,0.12,0.52,0.62,0.36
8,혼자 청소하면서 듣는 무난한 배경음악,2,0,13.33,0.55,0.78,0.15,0.5,0.6,0.35
8,혼자 청소하면서 듣는 무난한 배경음악,2,1,13.33,0.57,0.8,0.14,0.52,0.62,0.36
8,혼자 청소하면서 듣는 무난한 배경음악,2,2,13.34,0.56,0.79,0.16,0.51,0.61,0.35
9,"유산소 운동 마무리, 격렬했다가 서서히 식는 흐름 40분",0,0,12.0,0.8,0.9,0.2,0.8,0.7,0.4
9,"유산소 운동 마무리, 격렬했다가 서서히 식는 흐름 40분",0,1,10.0,0.7,0.8,0.25,0.7,0.65,0.35
9,"유산소 운동 마무리, 격렬했다가 서서히 식는 흐름 40분",0,2,8.0,0.6,0.7,0.3,0.6,0.6,0.3
9,"유산소 운동 마무리, 격렬했다가 서서히 식는 흐름 40분",0,3,10.0,0.5,0.6,0.35,0.5,0.55,0.25
9,"유산소 운동 마무리, 격렬했다가 서서히 식는 흐름 40분",1,0,15.0,0.8,0.9,0.05,0.7,0.8,0.5
9,"유산소 운동 마무리, 격렬했다가 서서히 식는 흐름 40분",1,1,10.0,0.6,0.8,0.1,0.6,0.7,0.4
9,"유산소 운동 마무리, 격렬했다가 서서히 식는 흐름 40분",1,2,15.0,0.4,0.6,0.2,0.4,0.5,0.3
9,"유산소 운동 마무리, 격렬했다가 서서히 식는 흐름 40분",2,0,15.0,0.75,0.9,0.05,0.7,0.7,0.4
9,"유산소 운동 마무리, 격렬했다가 서서히 식는 흐름 40분",2,1,15.0,0.55,0.75,0.1,0.6,0.6,0.35
9,"유산소 운동 마무리, 격렬했다가 서서히 식는 흐름 40분",2,2,10.0,0.4,0.6,0.2,0.4,0.5,0.3
