band,idx,song,jitter_local,shimmer_local,hnr_mean,f0_median_st,f0_range_st,f0_std_st,vocal_ratio,vocal_centroid,n_voiced_frames
morfonica,219,QUEEN (Cover),0.0168350918505392,0.1364183589253846,9.969108964927504,65.08682057635244,26.5,7.989923773314167,0.3404109821665352,3293.14828520615,4372
morfonica,217,音がえしのセレナーデ,0.0122392590521823,0.0963394219066196,12.855699966167018,66.98682057635243,16.19999999999999,5.162591135078994,0.3600520957273093,3325.517358307514,10248
morfonica,202,Angel's Ladder,0.0123017854904561,0.1122819033594431,12.126099681784348,65.08682057635244,14.000000000000014,5.09086383332139,0.3676264729222929,3365.04533031385,7014
morfonica,197,両翼のBrilliance,0.0172716370057348,0.1269373320321247,10.117871858945218,64.18682057635243,21.700000000000003,5.98445873778741,0.3285065136199979,3248.7830933190667,7067
morfonica,192,Ever Sky Blue,0.0132904476536469,0.1153270959739941,12.343536718732953,65.98682057635243,15.000000000000009,5.419836933136988,0.4569512093866945,3221.720489339713,8820
morfonica,191,誓いのWingbeat,0.015399594624338,0.1351855282103243,9.985049344911197,66.88682057635243,22.070000000000007,7.1734121756576,0.3603298220668673,3310.0337123546483,7567
morfonica,190,"寄る辺のSunny, Sunny",0.0145769719335836,0.1106415894097033,11.641079629582345,65.68682057635243,14.400000000000006,5.517080017189846,0.4029555444160511,3096.6536037289693,5958
morfonica,235,V.I.P (Cover),0.0123354508450291,0.1038971810070908,12.552093664683028,67.08682057635244,12.100000000000009,4.63048724233846,0.3778816947824429,3410.901915534257,6564
ave_mujica,91,in your blue eyes,0.0115170832236744,0.0682767679274367,16.33391939183202,68.28682057635243,22.700000000000003,7.118757036212547,0.4337279835103124,2954.6743263125777,6817
morfonica,218,蒼穹へのトレイル,0.0174557026381104,0.125259394022807,10.690504845731612,64.28682057635244,16.400000000000006,5.578876407259442,0.3377844297919951,2905.601031343524,6522
morfonica,223,祝福 (Cover),0.0140670960399138,0.1045709145220632,12.409698654828414,67.08682057635244,22.46499999999999,6.287506646496013,0.3868164310030103,3362.948210383149,5968
morfonica,201,Secret Dawn,0.0119448797824573,0.1062161412103991,13.756356974123642,67.68682057635243,20.714999999999957,6.199989538899126,0.3886903994405831,3157.191135938262,7778
morfonica,200,ティリカモニカリラ,0.0147438065753807,0.0970213012049979,13.844043194732173,64.98682057635243,16.200000000000003,5.384912981684754,0.469469526764193,2706.265188275816,7658
morfonica,204,Tempest,0.0136747037633355,0.1146768768986351,11.288578472432809,67.08682057635244,14.185000000000002,4.655093583380896,0.385403115622895,3562.7210121293037,6724
morfonica,216,Shining Leaves,0.0139004153605386,0.1087743852694943,12.068651845374417,65.28682057635243,16.39999999999999,5.109377398229769,0.3990575652734229,3303.656651477757,6689
