band,idx,song,tag,mode_score,energy_proxy,acousticness_proxy,instrumentalness_proxy,harmonic_ratio,contrast,rms,voiced_frac_mix,tempo_excerpt,key,jitter_local,shimmer_local,hnr_mean,f0_median_st,f0_range_st,f0_std_st,vocal_ratio,vocal_centroid
afterglow,0,ON YOUR MARK,afterglow__000,0.28223,-0.2597525174453358,-0.976506210142352,0.5337098548585665,0.62773,21.64183,0.31677,0.29928,123.04688,Amaj,0.01447174190229796,0.09668623132365897,11.332879746725244,66.08682057635244,19.099999999999994,6.066142062163076,0.42242622012447517,3424.0610910466276
afterglow,1,That Is How I Roll!,afterglow__001,0.07978,-0.5358330246461609,-1.525891931047746,-0.8247750650786677,0.67244,21.90067,0.27143,0.51445,117.45384,Dmaj,0.012461083387297154,0.08055641262704458,13.680885584700018,64.88682057635243,15.385000000000005,5.2588838158541,0.44547378440474933,3016.9844742363634
afterglow,2,SENSENFUKOKU,afterglow__002,0.02075,-1.4635193061511385,-0.6840287975734768,0.2275030480687916,0.65763,21.57486,0.24946,0.34778,135.99918,Fmaj,0.011719617138067745,0.08839310057229656,12.842587901155943,67.08682057635244,14.599999999999994,4.637833101171599,0.5454957994351533,3181.1662172271344
ave_mujica,72,KiLLKiSS,ave_mujica__072,-0.23625,0.664258236605733,0.105879845398166,1.0647419067985244,0.72307,21.39799,0.39788,0.21517,135.99918,Emin,0.015258723278178603,0.11190461280778906,10.743881576007535,66.98682057635243,33.8,9.263784203182462,0.4464746927169924,2957.0009458577592
ave_mujica,73,"Georgette Me, Georgette You",ave_mujica__073,-0.01165,0.6785409369017337,2.581488071198543,-0.485927244039344,0.81284,23.05005,0.32851,0.46078,95.70312,C#min,0.011209908815141972,0.07184400372820192,16.56944916524613,66.48682057635243,18.070000000000007,6.433009733360056,0.5931189421531935,2485.195480547033
ave_mujica,74,Imprisoned XII,ave_mujica__074,0.04663,0.8719344176977126,2.420092346072945,-1.658730881756222,0.77539,24.17641,0.16883,0.64654,103.35938,Cmaj,0.008716980257630513,0.05789858866707961,17.60685593478379,66.18682057635243,20.5,7.095871868894386,0.5439756153531136,2579.517652830311
hello_happy_world,106,キミがいなくちゃっ！,hello_happy_world__106,0.20632,1.1615556756401884,1.108579161728575,1.0549559160660678,0.73866,23.03091,0.2721,0.21672,123.04688,Dmaj,0.011676143032114231,0.0790150230426595,13.314122506499782,65.18682057635243,13.899999999999999,4.474945000399668,0.562349363188076,3229.2570320429163
hello_happy_world,107,ハイファイブ∞あどべんちゃっ,hello_happy_world__107,0.07927,-0.5489383007188283,-1.1268886104471862,0.1786362298305882,0.73756,22.14684,0.27314,0.35552,99.38401,D#maj,0.01543455639063459,0.10552440524969511,10.60706464058143,66.98682057635243,9.600000000000009,4.18390475771622,0.46696585030687243,3400.1902576774096
hello_happy_world,108,スマイルブーケで た〜まや〜！,hello_happy_world__108,0.20707,1.3727985597464354,2.5910720247860755,-0.5185051228648129,0.82297,23.42288,0.27713,0.46594,151.99908,Emaj,0.013658898977907206,0.09887662597092375,11.524046894385947,65.78682057635244,17.299999999999997,5.2982739925753926,0.4759365648443421,3155.12890756003
morfonica,180,Daylight -デイライト-,morfonica__180,0.00297,-2.404380744435,-1.3702825718143423,0.6314434913349729,0.75054,21.53355,0.28715,0.2838,123.04688,Cmaj,0.014054136063460758,0.10557023382805247,12.484757265737384,65.88682057635243,15.824999999999996,5.355866023827996,0.43580883624168015,3139.124499114811
morfonica,181,メランコリックララバイ,morfonica__181,-0.09297,0.2203261744649214,1.922547715106952,0.2828728149872725,0.84723,22.1151,0.29082,0.33901,123.04688,Fmin,0.014539291644370612,0.10582575211202168,10.103053461588138,66.88682057635243,15.600000000000009,5.229801587099615,0.39622846240796367,3613.321631805835
morfonica,182,flame of hope,morfonica__182,-0.05164,-0.0162814462586616,1.0980962223572526,0.9507193309093837,0.82429,22.05393,0.30049,0.23323,129.19922,Amin,0.015898146722614286,0.12984120256499093,10.209853923952075,68.68682057635243,12.900000000000006,4.348097269047175,0.43225945159425083,3334.2155486847855
mugendai_mutype,237,アイの夢限,mugendai_mutype__237,-0.09863,-0.2047527018560664,0.1828380248319228,1.1136087250367277,0.64958,21.82116,0.28299,0.20743,117.45384,Emin,0.015313865931477695,0.10574212146529437,11.841567501012234,66.08682057635244,16.700000000000003,5.519287575038884,0.43006672523969514,2922.025595230267
mugendai_mutype,238,どんがらがっしゃん,mugendai_mutype__238,-0.14036,1.0633150696918143,-2.164832525213004,1.162475543274931,0.61131,21.60594,0.33769,0.19969,129.19922,Emin,0.016004425507949862,0.11232473149743483,9.523758088607094,68.68682057635243,18.10000000000001,7.012595145087379,0.47896112687481246,3271.972298683341
