tag,beat_idx,chord_root,chord_quality,confidence
hello_happy_world__146,0,G#,min,0.5783656708296905
hello_happy_world__146,1,G#,min,0.6225071563529809
hello_happy_world__146,2,G#,maj,0.5786937274594985
hello_happy_world__146,3,D#,maj,0.6140597411513488
hello_happy_world__146,4,G#,maj,0.5718231297151486
hello_happy_world__146,5,C#,min,0.5969274628570035
hello_happy_world__146,6,A,maj,0.5352891390978982
hello_happy_world__146,7,D#,min,0.6185078456124208
hello_happy_world__146,8,G#,maj,0.5708935470311199
hello_happy_world__146,9,G#,min,0.5654358932864687
hello_happy_world__146,10,G#,maj,0.5352728790792699
hello_happy_world__146,11,D#,maj,0.6055889597007247
hello_happy_world__146,12,G#,maj,0.5793458574447097
hello_happy_world__146,13,C#,maj,0.616981649292498
hello_happy_world__146,14,C#,min,0.5745474829315553
hello_happy_world__146,15,D#,maj,0.5664515336246452
hello_happy_world__146,16,G#,maj,0.5780404274412009
hello_happy_world__146,17,G#,maj,0.6933420003941564
hello_happy_world__146,18,G#,min,0.6368393734076764
hello_happy_world__146,19,G#,min,0.6363471250024597
hello_happy_world__146,20,G#,maj,0.5989588037556477
hello_happy_world__146,21,G,min,0.6077610659034945
hello_happy_world__146,22,C,maj,0.6505823927714816
hello_happy_world__146,23,G#,maj,0.5941494601823075
hello_happy_world__146,24,A#,min,0.5850045159910716
hello_happy_world__146,25,F,maj,0.6488254848539095
hello_happy_world__146,26,F,maj,0.6488524300276365
hello_happy_world__146,27,F,maj,0.56857931622108
hello_happy_world__146,28,A#,maj,0.5708468231363207
hello_happy_world__146,29,D#,maj,0.6243986610914212
hello_happy_world__146,30,G#,maj,0.570689333241606
hello_happy_world__146,31,D,maj,0.6046868383814907
hello_happy_world__146,32,D,min,0.544477408926072
hello_happy_world__146,33,C#,maj,0.6244899494817204
hello_happy_world__146,34,C#,maj,0.6336619592912659
hello_happy_world__146,35,C#,min,0.6461466252769243
hello_happy_world__146,36,D#,maj,0.5431028007163247
hello_happy_world__146,37,C,min,0.6596363152711364
hello_happy_world__146,38,G#,maj,0.6100114094657386
hello_happy_world__146,39,G#,min,0.5914536523319373
hello_happy_world__146,40,E,maj,0.5819686242590191
hello_happy_world__146,41,A#,min,0.6297055784411584
hello_happy_world__146,42,C#,min,0.5580007975938117
hello_happy_world__146,43,C,min,0.6360721930366889
hello_happy_world__146,44,C,min,0.5779437276478766
hello_happy_world__146,45,C#,maj,0.6450938535946208
hello_happy_world__146,46,G#,maj,0.5570098569982183
hello_happy_world__146,47,D#,maj,0.6043323785785767
hello_happy_world__146,48,D#,maj,0.7268566432030699
hello_happy_world__146,49,D#,maj,0.7278992459213423
hello_happy_world__146,50,D#,maj,0.7665807806497308
hello_happy_world__146,51,D#,maj,0.7745164354237922
hello_happy_world__146,52,D#,maj,0.7082380185392178
hello_happy_world__146,53,G#,maj,0.5716564516194311
hello_happy_world__146,54,G#,maj,0.6266026506957978
hello_happy_world__146,55,G#,maj,0.5650406629924014
hello_happy_world__146,56,G#,min,0.5806951981016995
hello_happy_world__146,57,C,min,0.6617074114851678
