query_id,tag,band,lyric_cosine,rank_in_pool
Q1,mygo__289,mygo,0.6291,1
Q1,mygo__661,mygo,0.5778,2
Q1,mygo__260,mygo,0.5741,3
Q1,mygo__284,mygo,0.5659,4
Q1,mygo__660,mygo,0.5427,5
Q1,mygo__262,mygo,0.5406,6
Q1,mygo__290,mygo,0.5387,7
Q1,mygo__261,mygo,0.5234,8
Q1,mygo__278,mygo,0.5193,9
Q1,mygo__273,mygo,0.5082,10
Q1,mygo__267,mygo,0.5073,11
Q1,mygo__662,mygo,0.5034,12
Q1,mygo__299,mygo,0.5034,13
Q1,mygo__288,mygo,0.4978,14
Q1,mygo__283,mygo,0.4908,15
Q2,raise_a_suilen__522,raise_a_suilen,0.6389,1
Q2,raise_a_suilen__549,raise_a_suilen,0.6066,2
Q2,raise_a_suilen__568,raise_a_suilen,0.5971,3
Q2,raise_a_suilen__542,raise_a_suilen,0.5933,4
Q2,raise_a_suilen__493,raise_a_suilen,0.5901,5
Q2,raise_a_suilen__565,raise_a_suilen,0.5898,6
Q2,raise_a_suilen__521,raise_a_suilen,0.5896,7
Q2,raise_a_suilen__555,raise_a_suilen,0.5704,8
Q2,raise_a_suilen__517,raise_a_suilen,0.5648,9
Q2,raise_a_suilen__514,raise_a_suilen,0.5635,10
Q2,raise_a_suilen__544,raise_a_suilen,0.5591,11
Q2,raise_a_suilen__526,raise_a_suilen,0.5534,12
Q2,raise_a_suilen__567,raise_a_suilen,0.553,13
Q2,raise_a_suilen__551,raise_a_suilen,0.5528,14
Q2,raise_a_suilen__491,raise_a_suilen,0.5522,15
Q2,raise_a_suilen__506,raise_a_suilen,0.5517,16
Q3,hello_happy_world__123,hello_happy_world,0.6413,1
Q3,pastel_palettes__331,pastel_palettes,0.6309,2
Q3,hello_happy_world__116,hello_happy_world,0.6215,3
Q3,raise_a_suilen__522,raise_a_suilen,0.6164,4
Q3,hello_happy_world__140,hello_happy_world,0.6151,5
Q3,afterglow__042,afterglow,0.6127,6
Q3,pastel_palettes__371,pastel_palettes,0.6046,7
Q3,hello_happy_world__120,hello_happy_world,0.5995,8
Q3,poppin_party__423,poppin_party,0.599,9
Q3,pastel_palettes__343,pastel_palettes,0.597,10
Q3,raise_a_suilen__568,raise_a_suilen,0.5952,11
Q3,poppin_party__383,poppin_party,0.5944,12
Q3,hello_happy_world__109,hello_happy_world,0.5944,13
Q3,afterglow__041,afterglow,0.5941,14
Q3,poppin_party__410,poppin_party,0.5906,15
Q3,poppin_party__443,poppin_party,0.5902,16
Q3,morfonica__189,morfonica,0.5872,17
Q3,hello_happy_world__111,hello_happy_world,0.5857,18
Q3,hello_happy_world__106,hello_happy_world,0.5853,19
Q3,poppin_party__450,poppin_party,0.5842,20
Q3,afterglow__018,afterglow,0.583,21
Q3,roselia__573,roselia,0.5825,22
Q3,afterglow__056,afterglow,0.5823,23
Q3,poppin_party__375,poppin_party,0.5822,24
Q3,hello_happy_world__121,hello_happy_world,0.5808,25
