eval_id,query_id,arm,score
1,Q116,arm2,2
2,Q124,arm2,4
3,Q101,arm1,3
3,Q101,arm2,3
4,Q150,arm2,4
5,Q106,arm1,3
6,Q182,arm1,4
7,Q110,arm2,5
8,Q184,arm1,4
9,Q167,arm1,2
10,Q127,arm1,5
10,Q127,arm2,5
11,Q168,arm1,4
12,Q136,arm2,3
13,Q144,arm2,4
14,Q107,arm2,5
15,Q153,arm2,4
16,Q161,arm1,4
17,Q166,arm2,3
18,Q147,arm1,4
19,Q119,arm1,3
19,Q119,arm2,3
20,Q104,arm2,2
21,Q166,arm1,3
22,Q177,arm2,1
23,Q134,arm2,4
24,Q139,arm1,5
24,Q139,arm2,5
25,Q142,arm2,4
26,Q120,arm1,5
26,Q120,arm2,5
27,Q114,arm1,4
28,Q126,arm1,5
29,Q116,arm1,1
30,Q184,arm2,5
31,Q146,arm1,3
32,Q124,arm1,4
33,Q175,arm1,1
34,Q151,arm1,4
35,Q162,arm2,3
36,Q144,arm1,4
37,Q168,arm2,3
38,Q156,arm2,4
39,Q108,arm1,4
40,Q136,arm1,4
41,Q103,arm1,2
42,Q122,arm2,2
43,Q176,arm2,3
44,Q164,arm2,4
45,Q167,arm2,1
46,Q131,arm1,5
46,Q131,arm2,5
47,Q157,arm1,3
48,Q133,arm1,5
48,Q133,arm2,5
49,Q137,arm1,5
49,Q137,arm2,5
50,Q155,arm2,4
51,Q145,arm1,4
52,Q146,arm2,4
53,Q171,arm1,4
54,Q169,arm2,5
55,Q170,arm2,4
56,Q152,arm1,2
57,Q160,arm2,4
58,Q132,arm1,4
58,Q132,arm2,4
59,Q162,arm1,5
60,Q118,arm1,5
61,Q179,arm1,4
62,Q174,arm1,4
63,Q177,arm1,4
64,Q105,arm1,2
64,Q105,arm2,2
65,Q183,arm1,2
66,Q109,arm2,4
67,Q130,arm1,1
68,Q113,arm1,2
68,Q113,arm2,2
69,Q121,arm1,5
70,Q169,arm1,3
71,Q125,arm1,5
71,Q125,arm2,5
72,Q164,arm1,4
73,Q140,arm1,4
73,Q140,arm2,4
74,Q158,arm2,5
75,Q180,arm2,2
76,Q170,arm1,3
77,Q106,arm2,4
78,Q154,arm2,5
79,Q174,arm2,4
80,Q110,arm1,2
81,Q181,arm2,1
82,Q126,arm2,4
83,Q117,arm2,1
84,Q176,arm1,3
85,Q180,arm1,3
86,Q147,arm2,4
87,Q154,arm1,1
88,Q173,arm1,3
89,Q179,arm2,3
90,Q115,arm1,4
90,Q115,arm2,4
91,Q163,arm1,4
91,Q163,arm2,4
92,Q118,arm2,3
93,Q159,arm1,2
94,Q138,arm1,1
94,Q138,arm2,1
95,Q103,arm2,4
96,Q149,arm2,3
97,Q183,arm2,5
98,Q165,arm2,2
99,Q108,arm2,3
100,Q111,arm1,4
101,Q112,arm2,2
102,Q178,arm1,2
103,Q107,arm1,1
104,Q129,arm1,4
104,Q129,arm2,4
105,Q171,arm2,5
106,Q178,arm2,4
107,Q160,arm1,4
108,Q175,arm2,1
109,Q128,arm2,1
110,Q172,arm1,3
111,Q142,arm1,1
112,Q181,arm1,2
113,Q117,arm1,1
114,Q149,arm1,1
115,Q141,arm1,5
115,Q141,arm2,5
116,Q157,arm2,3
117,Q173,arm2,4
118,Q135,arm1,5
118,Q135,arm2,5
119,Q109,arm1,3
120,Q143,arm2,4
121,Q152,arm2,4
122,Q104,arm1,5
123,Q102,arm1,4
124,Q159,arm2,3
125,Q128,arm1,2
126,Q130,arm2,2
127,Q165,arm1,5
128,Q145,arm2,4
129,Q121,arm2,3
130,Q143,arm1,2
131,Q158,arm1,2
132,Q102,arm2,4
133,Q182,arm2,3
134,Q153,arm1,2
135,Q111,arm2,4
136,Q123,arm1,5
136,Q123,arm2,5
137,Q114,arm2,5
138,Q134,arm1,2
139,Q172,arm2,3
140,Q112,arm1,4
141,Q151,arm2,4
142,Q161,arm2,4
143,Q148,arm1,4
143,Q148,arm2,4
144,Q150,arm1,3
145,Q155,arm1,4
146,Q156,arm1,4
147,Q122,arm1,2
