query_id,arm1,arm2
Q101,3.0,3.0
Q102,4.0,4.0
Q103,2.0,4.0
Q104,5.0,2.0
Q105,2.0,2.0
Q106,3.0,4.0
Q107,1.0,5.0
Q108,4.0,3.0
Q109,3.0,4.0
Q110,2.0,5.0
Q111,4.0,4.0
Q112,4.0,2.0
Q113,2.0,2.0
Q114,4.0,5.0
Q115,4.0,4.0
Q116,1.0,2.0
Q117,1.0,1.0
Q118,5.0,3.0
Q119,3.0,3.0
Q120,5.0,5.0
Q121,5.0,3.0
Q122,2.0,2.0
Q123,5.0,5.0
Q124,4.0,4.0
Q125,5.0,5.0
Q126,5.0,4.0
Q127,5.0,5.0
Q128,2.0,1.0
Q129,4.0,4.0
Q130,1.0,2.0
Q131,5.0,5.0
Q132,4.0,4.0
Q133,5.0,5.0
Q134,2.0,4.0
Q135,5.0,5.0
Q136,4.0,3.0
Q137,5.0,5.0
Q138,1.0,1.0
Q139,5.0,5.0
Q140,4.0,4.0
Q141,5.0,5.0
Q142,1.0,4.0
Q143,2.0,4.0
Q144,4.0,4.0
Q145,4.0,4.0
Q146,3.0,4.0
Q147,4.0,4.0
Q148,4.0,4.0
Q149,1.0,3.0
Q150,3.0,4.0
Q151,4.0,4.0
Q152,2.0,4.0
Q153,2.0,4.0
Q154,1.0,5.0
Q155,4.0,4.0
Q156,4.0,4.0
Q157,3.0,3.0
Q158,2.0,5.0
Q159,2.0,3.0
Q160,4.0,4.0
Q161,4.0,4.0
Q162,5.0,3.0
Q163,4.0,4.0
Q164,4.0,4.0
Q165,5.0,2.0
Q166,3.0,3.0
Q167,2.0,1.0
Q168,4.0,3.0
Q169,3.0,5.0
Q170,3.0,4.0
Q171,4.0,5.0
Q172,3.0,3.0
Q173,3.0,4.0
Q174,4.0,4.0
Q175,1.0,1.0
Q176,3.0,3.0
Q177,4.0,1.0
Q178,2.0,4.0
Q179,4.0,3.0
Q180,3.0,2.0
Q181,2.0,1.0
Q182,4.0,3.0
Q183,2.0,5.0
Q184,4.0,5.0
