eval_id,query_id,tag,arms,intensity,band_pct,intensity_target
1,Q116,mygo__260,arm2,0.1832,0.1591,0.2
2,Q124,poppin_party__415,arm2,0.0415,0.0087,0.0
3,Q101,poppin_party__427,arm1|arm2,0.1987,0.087,0.2
4,Q150,pastel_palettes__344,arm2,0.8059,0.6757,0.8
5,Q106,raise_a_suilen__550,arm1,0.8993,0.8354,0.9
6,Q182,hello_happy_world__175,arm1,0.8008,0.8472,0.8
7,Q110,afterglow__005,arm2,0.8748,0.9861,0.8
8,Q184,morfonica__194,arm1,0.4997,0.6316,0.5
9,Q167,roselia__623,arm1,0.3997,0.3371,0.4
10,Q127,raise_a_suilen__491,arm1|arm2,0.9932,1.0,1.0
11,Q168,raise_a_suilen__509,arm1,0.7009,0.4937,0.7
12,Q136,poppin_party__415,arm2,0.0415,0.0087,0.0
13,Q144,roselia__585,arm2,0.3954,0.3258,0.4
14,Q107,pastel_palettes__343,arm2,0.1372,0.027,0.3
15,Q153,roselia__585,arm2,0.3954,0.3258,0.4
16,Q161,morfonica__194,arm1,0.4997,0.6316,0.5
17,Q166,afterglow__001,arm2,0.8656,0.9722,
18,Q147,morfonica__194,arm1,0.4997,0.6316,0.5
19,Q119,mugendai_mutype__251,arm1|arm2,0.4072,0.2174,0.4
20,Q104,roselia__604,arm2,0.852,0.9438,1.0
21,Q166,raise_a_suilen__491,arm1,0.9932,1.0,
22,Q177,ave_mujica__072,arm2,0.4028,0.5172,0.4
23,Q134,raise_a_suilen__544,arm2,0.0702,0.0127,0.0
24,Q139,raise_a_suilen__491,arm1|arm2,0.9932,1.0,1.0
25,Q142,poppin_party__415,arm2,0.0415,0.0087,0.0
26,Q120,mugendai_mutype__257,arm1|arm2,0.9899,1.0,1.0
27,Q114,morfonica__180,arm1,0.8101,1.0,0.8
28,Q126,ave_mujica__093,arm1,0.0222,0.0345,0.0
29,Q116,mygo__265,arm1,0.2114,0.2045,0.2
30,Q184,poppin_party__423,arm2,0.5008,0.4696,0.5
31,Q146,ave_mujica__075,arm1,0.2994,0.3448,0.3
32,Q124,ave_mujica__093,arm1,0.0222,0.0345,0.0
33,Q175,morfonica__194,arm1,0.4997,0.6316,0.5
34,Q151,morfonica__194,arm1,0.4997,0.6316,0.5
35,Q162,afterglow__071,arm2,0.7038,0.8194,0.7
36,Q144,roselia__623,arm1,0.3997,0.3371,0.4
37,Q168,pastel_palettes__330,arm2,0.6956,0.4865,0.7
38,Q156,poppin_party__423,arm2,0.5008,0.4696,0.5
39,Q108,pastel_palettes__305,arm1,0.7976,0.6486,0.8
40,Q136,ave_mujica__093,arm1,0.0222,0.0345,0.0
41,Q103,roselia__623,arm1,0.3997,0.3371,0.4
42,Q122,poppin_party__415,arm2,0.0415,0.0087,0.0
43,Q176,pastel_palettes__330,arm2,0.6956,0.4865,0.7
44,Q164,poppin_party__423,arm2,0.5008,0.4696,0.5
45,Q167,ave_mujica__072,arm2,0.4028,0.5172,0.4
46,Q131,raise_a_suilen__491,arm1|arm2,0.9932,1.0,1.0
47,Q157,hello_happy_world__175,arm1,0.8008,0.8472,0.8
48,Q133,raise_a_suilen__491,arm1|arm2,0.9932,1.0,1.0
49,Q137,raise_a_suilen__491,arm1|arm2,0.9932,1.0,1.0
50,Q155,poppin_party__423,arm2,0.5008,0.4696,0.5
51,Q145,roselia__647,arm1,0.6011,0.6854,0.6
52,Q146,poppin_party__409,arm2,0.2975,0.2,0.3
53,Q171,roselia__623,arm1,0.3997,0.3371,0.4
54,Q169,ave_mujica__072,arm2,0.4028,0.5172,0.4
55,Q170,poppin_party__438,arm2,0.694,0.8174,0.7
56,Q152,roselia__623,arm1,0.3997,0.3371,0.4
57,Q160,poppin_party__423,arm2,0.5008,0.4696,0.5
58,Q132,morfonica__189,arm1|arm2,0.1993,0.0526,0.2
59,Q162,raise_a_suilen__509,arm1,0.7009,0.4937,0.7
60,Q118,ave_mujica__077,arm1,0.8627,1.0,1.0
61,Q179,roselia__623,arm1,0.3997,0.3371,0.4
62,Q174,raise_a_suilen__509,arm1,0.7009,0.4937,0.7
63,Q177,roselia__623,arm1,0.3997,0.3371,0.4
64,Q105,raise_a_suilen__562,arm1|arm2,0.4135,0.0886,0.4
65,Q183,roselia__647,arm1,0.6011,0.6854,0.6
66,Q109,afterglow__027,arm2,0.2889,0.0972,0.3
67,Q130,morfonica__189,arm1,0.1993,0.0526,0.2
68,Q113,morfonica__189,arm1|arm2,0.1993,0.0526,0.2
69,Q121,roselia__659,arm1,0.858,0.9775,0.9
70,Q169,roselia__623,arm1,0.3997,0.3371,0.4
71,Q125,raise_a_suilen__491,arm1|arm2,0.9932,1.0,1.0
72,Q164,morfonica__194,arm1,0.4997,0.6316,0.5
73,Q140,morfonica__189,arm1|arm2,0.1993,0.0526,0.2
74,Q158,poppin_party__469,arm2,0.4075,0.3391,0.4
75,Q180,afterglow__002,arm2,0.5828,0.625,
76,Q170,raise_a_suilen__509,arm1,0.7009,0.4937,0.7
77,Q106,raise_a_suilen__498,arm2,0.887,0.8101,0.9
78,Q154,poppin_party__409,arm2,0.2975,0.2,0.3
79,Q174,pastel_palettes__330,arm2,0.6956,0.4865,0.7
80,Q110,afterglow__016,arm1,0.7968,0.9444,0.8
81,Q181,ave_mujica__072,arm2,0.4028,0.5172,0.4
82,Q126,poppin_party__415,arm2,0.0415,0.0087,0.0
83,Q117,ave_mujica__100,arm2,0.3611,0.4483,0.3
84,Q176,raise_a_suilen__509,arm1,0.7009,0.4937,0.7
85,Q180,raise_a_suilen__491,arm1,0.9932,1.0,
86,Q147,poppin_party__423,arm2,0.5008,0.4696,0.5
87,Q154,ave_mujica__075,arm1,0.2994,0.3448,0.3
88,Q173,roselia__623,arm1,0.3997,0.3371,0.4
89,Q179,ave_mujica__072,arm2,0.4028,0.5172,0.4
90,Q115,mygo__287,arm1|arm2,0.8291,1.0,1.0
91,Q163,morfonica__189,arm1|arm2,0.1993,0.0526,0.2
92,Q118,ave_mujica__086,arm2,0.7608,0.9655,1.0
93,Q159,roselia__623,arm1,0.3997,0.3371,0.4
94,Q138,raise_a_suilen__491,arm1|arm2,0.9932,1.0,1.0
95,Q103,roselia__585,arm2,0.3954,0.3258,0.4
96,Q149,poppin_party__409,arm2,0.2975,0.2,0.3
97,Q183,mygo__661,arm2,0.597,0.8636,0.6
98,Q165,poppin_party__409,arm2,0.2975,0.2,0.3
99,Q108,pastel_palettes__344,arm2,0.8059,0.6757,0.8
100,Q111,hello_happy_world__149,arm1,0.2834,0.0417,0.3
101,Q112,hello_happy_world__119,arm2,0.7769,0.7917,0.8
102,Q178,raise_a_suilen__509,arm1,0.7009,0.4937,0.7
103,Q107,pastel_palettes__326,arm1,0.3047,0.0811,0.3
104,Q129,raise_a_suilen__550,arm1|arm2,0.8993,0.8354,0.9
105,Q171,ave_mujica__072,arm2,0.4028,0.5172,0.4
106,Q178,poppin_party__438,arm2,0.694,0.8174,0.7
107,Q160,morfonica__194,arm1,0.4997,0.6316,0.5
108,Q175,poppin_party__423,arm2,0.5008,0.4696,0.5
109,Q128,poppin_party__415,arm2,0.0415,0.0087,0.0
110,Q172,raise_a_suilen__491,arm1,0.9932,1.0,
111,Q142,ave_mujica__093,arm1,0.0222,0.0345,0.0
112,Q181,roselia__623,arm1,0.3997,0.3371,0.4
113,Q117,ave_mujica__075,arm1,0.2994,0.3448,0.3
114,Q149,ave_mujica__075,arm1,0.2994,0.3448,0.3
115,Q141,raise_a_suilen__491,arm1|arm2,0.9932,1.0,1.0
116,Q157,pastel_palettes__344,arm2,0.8059,0.6757,0.8
117,Q173,ave_mujica__072,arm2,0.4028,0.5172,0.4
118,Q135,raise_a_suilen__491,arm1|arm2,0.9932,1.0,1.0
119,Q109,afterglow__028,arm1,0.3037,0.1111,0.3
120,Q143,pastel_palettes__344,arm2,0.8059,0.6757,0.8
121,Q152,roselia__585,arm2,0.3954,0.3258,0.4
122,Q104,roselia__635,arm1,0.9566,1.0,1.0
123,Q102,poppin_party__472,arm1,0.8124,0.913,0.8
124,Q159,ave_mujica__072,arm2,0.4028,0.5172,0.4
125,Q128,ave_mujica__093,arm1,0.0222,0.0345,0.0
126,Q130,poppin_party__427,arm2,0.1987,0.087,0.2
127,Q165,ave_mujica__075,arm1,0.2994,0.3448,0.3
128,Q145,raise_a_suilen__514,arm2,0.6064,0.2532,0.6
129,Q121,roselia__604,arm2,0.852,0.9438,0.9
130,Q143,hello_happy_world__175,arm1,0.8008,0.8472,0.8
131,Q158,roselia__623,arm1,0.3997,0.3371,0.4
132,Q102,poppin_party__419,arm2,0.8376,0.9478,0.8
133,Q182,pastel_palettes__344,arm2,0.8059,0.6757,0.8
134,Q153,roselia__623,arm1,0.3997,0.3371,0.4
135,Q111,hello_happy_world__116,arm2,0.3635,0.0556,0.3
136,Q123,raise_a_suilen__491,arm1|arm2,0.9932,1.0,1.0
137,Q114,morfonica__182,arm2,0.7374,0.9298,0.8
138,Q134,ave_mujica__093,arm1,0.0222,0.0345,0.0
139,Q172,afterglow__001,arm2,0.8656,0.9722,
140,Q112,hello_happy_world__175,arm1,0.8008,0.8472,0.8
141,Q151,poppin_party__423,arm2,0.5008,0.4696,0.5
142,Q161,poppin_party__423,arm2,0.5008,0.4696,0.5
143,Q148,morfonica__189,arm1|arm2,0.1993,0.0526,0.2
144,Q150,hello_happy_world__175,arm1,0.8008,0.8472,0.8
145,Q155,morfonica__194,arm1,0.4997,0.6316,0.5
146,Q156,morfonica__194,arm1,0.4997,0.6316,0.5
147,Q122,ave_mujica__093,arm1,0.0222,0.0345,0.0
