query_id,tag,band,lyric_cosine,rank_in_pool
Q101,poppin_party__423,poppin_party,0.6546,1
Q101,poppin_party__443,poppin_party,0.6466,2
Q101,poppin_party__450,poppin_party,0.6454,3
Q101,poppin_party__383,poppin_party,0.642,4
Q101,poppin_party__438,poppin_party,0.6385,5
Q101,poppin_party__480,poppin_party,0.6358,6
Q101,poppin_party__465,poppin_party,0.6323,7
Q101,poppin_party__441,poppin_party,0.6318,8
Q101,poppin_party__375,poppin_party,0.6294,9
Q101,poppin_party__427,poppin_party,0.6291,10
Q101,poppin_party__403,poppin_party,0.6244,11
Q101,poppin_party__475,poppin_party,0.623,12
Q101,poppin_party__446,poppin_party,0.6219,13
Q101,poppin_party__377,poppin_party,0.6196,14
Q101,poppin_party__442,poppin_party,0.6192,15
Q101,poppin_party__469,poppin_party,0.613,16
Q101,poppin_party__454,poppin_party,0.6119,17
Q101,poppin_party__472,poppin_party,0.6115,18
Q101,poppin_party__381,poppin_party,0.6106,19
Q101,poppin_party__409,poppin_party,0.6089,20
Q101,poppin_party__430,poppin_party,0.6024,21
Q101,poppin_party__485,poppin_party,0.6014,22
Q101,poppin_party__417,poppin_party,0.6008,23
Q102,poppin_party__375,poppin_party,0.7199,1
Q102,poppin_party__383,poppin_party,0.7113,2
Q102,poppin_party__443,poppin_party,0.6947,3
Q102,poppin_party__450,poppin_party,0.6858,4
Q102,poppin_party__423,poppin_party,0.6708,5
Q102,poppin_party__440,poppin_party,0.6651,6
Q102,poppin_party__438,poppin_party,0.6616,7
Q102,poppin_party__447,poppin_party,0.6601,8
Q102,poppin_party__394,poppin_party,0.6595,9
Q102,poppin_party__410,poppin_party,0.6595,10
Q102,poppin_party__417,poppin_party,0.6536,11
Q102,poppin_party__397,poppin_party,0.6534,12
Q102,poppin_party__409,poppin_party,0.6531,13
Q102,poppin_party__445,poppin_party,0.6493,14
Q102,poppin_party__485,poppin_party,0.6454,15
Q102,poppin_party__484,poppin_party,0.6444,16
Q102,poppin_party__469,poppin_party,0.6434,17
Q102,poppin_party__419,poppin_party,0.6419,18
Q102,poppin_party__434,poppin_party,0.6418,19
Q102,poppin_party__480,poppin_party,0.6388,20
Q102,poppin_party__458,poppin_party,0.6382,21
Q102,poppin_party__432,poppin_party,0.6356,22
Q102,poppin_party__420,poppin_party,0.6351,23
Q103,roselia__573,roselia,0.6411,1
Q103,roselia__606,roselia,0.6324,2
Q103,roselia__604,roselia,0.616,3
Q103,roselia__612,roselia,0.6107,4
Q103,roselia__622,roselia,0.6099,5
Q103,roselia__617,roselia,0.6088,6
Q103,roselia__598,roselia,0.6086,7
Q103,roselia__640,roselia,0.6068,8
Q103,roselia__645,roselia,0.6051,9
Q103,roselia__624,roselia,0.6048,10
Q103,roselia__618,roselia,0.6028,11
Q103,roselia__595,roselia,0.6018,12
Q103,roselia__594,roselia,0.5973,13
Q103,roselia__574,roselia,0.5957,14
Q103,roselia__625,roselia,0.5953,15
Q103,roselia__580,roselia,0.5953,16
Q103,roselia__585,roselia,0.593,17
Q103,roselia__648,roselia,0.5911,18
Q104,roselia__611,roselia,0.6401,1
Q104,roselia__629,roselia,0.6223,2
Q104,roselia__624,roselia,0.6113,3
Q104,roselia__604,roselia,0.6025,4
Q104,roselia__582,roselia,0.5937,5
Q104,roselia__601,roselia,0.5933,6
Q104,roselia__640,roselia,0.5903,7
Q104,roselia__632,roselia,0.589,8
Q104,roselia__606,roselia,0.5886,9
Q104,roselia__608,roselia,0.5846,10
Q104,roselia__585,roselia,0.583,11
Q104,roselia__648,roselia,0.5814,12
Q104,roselia__574,roselia,0.5787,13
Q104,roselia__621,roselia,0.5785,14
Q104,roselia__573,roselia,0.5775,15
Q104,roselia__623,roselia,0.5774,16
Q104,roselia__618,roselia,0.5771,17
Q104,roselia__586,roselia,0.5728,18
Q105,raise_a_suilen__568,raise_a_suilen,0.708,1
Q105,raise_a_suilen__521,raise_a_suilen,0.7048,2
Q105,raise_a_suilen__522,raise_a_suilen,0.696,3
Q105,raise_a_suilen__504,raise_a_suilen,0.695,4
Q105,raise_a_suilen__491,raise_a_suilen,0.6897,5
Q105,raise_a_suilen__514,raise_a_suilen,0.6808,6
Q105,raise_a_suilen__562,raise_a_suilen,0.6693,7
Q105,raise_a_suilen__544,raise_a_suilen,0.668,8
Q105,raise_a_suilen__567,raise_a_suilen,0.6626,9
Q105,raise_a_suilen__560,raise_a_suilen,0.6622,10
Q105,raise_a_suilen__542,raise_a_suilen,0.6611,11
Q105,raise_a_suilen__550,raise_a_suilen,0.658,12
Q105,raise_a_suilen__524,raise_a_suilen,0.6506,13
Q105,raise_a_suilen__519,raise_a_suilen,0.6501,14
Q105,raise_a_suilen__557,raise_a_suilen,0.6481,15
Q105,raise_a_suilen__553,raise_a_suilen,0.6476,16
Q106,raise_a_suilen__491,raise_a_suilen,0.6712,1
Q106,raise_a_suilen__512,raise_a_suilen,0.6098,2
Q106,raise_a_suilen__504,raise_a_suilen,0.6076,3
Q106,raise_a_suilen__542,raise_a_suilen,0.6026,4
Q106,raise_a_suilen__524,raise_a_suilen,0.5939,5
Q106,raise_a_suilen__526,raise_a_suilen,0.5898,6
Q106,raise_a_suilen__533,raise_a_suilen,0.5869,7
Q106,raise_a_suilen__553,raise_a_suilen,0.5849,8
Q106,raise_a_suilen__513,raise_a_suilen,0.5832,9
Q106,raise_a_suilen__498,raise_a_suilen,0.5824,10
Q106,raise_a_suilen__522,raise_a_suilen,0.5809,11
Q106,raise_a_suilen__521,raise_a_suilen,0.5791,12
Q106,raise_a_suilen__568,raise_a_suilen,0.5682,13
Q106,raise_a_suilen__493,raise_a_suilen,0.567,14
Q106,raise_a_suilen__528,raise_a_suilen,0.5646,15
Q106,raise_a_suilen__531,raise_a_suilen,0.5643,16
Q107,pastel_palettes__331,pastel_palettes,0.7321,1
Q107,pastel_palettes__350,pastel_palettes,0.6762,2
Q107,pastel_palettes__344,pastel_palettes,0.6756,3
Q107,pastel_palettes__368,pastel_palettes,0.6717,4
Q107,pastel_palettes__371,pastel_palettes,0.659,5
Q107,pastel_palettes__343,pastel_palettes,0.6525,6
Q107,pastel_palettes__332,pastel_palettes,0.6429,7
Q107,pastel_palettes__362,pastel_palettes,0.6391,8
Q107,pastel_palettes__358,pastel_palettes,0.639,9
Q107,pastel_palettes__337,pastel_palettes,0.6371,10
Q107,pastel_palettes__341,pastel_palettes,0.6347,11
Q107,pastel_palettes__342,pastel_palettes,0.6295,12
Q107,pastel_palettes__317,pastel_palettes,0.6289,13
Q107,pastel_palettes__330,pastel_palettes,0.6252,14
Q107,pastel_palettes__318,pastel_palettes,0.6176,15
Q108,pastel_palettes__331,pastel_palettes,0.7199,1
Q108,pastel_palettes__344,pastel_palettes,0.7051,2
Q108,pastel_palettes__371,pastel_palettes,0.6873,3
Q108,pastel_palettes__335,pastel_palettes,0.6609,4
Q108,pastel_palettes__342,pastel_palettes,0.6554,5
Q108,pastel_palettes__332,pastel_palettes,0.655,6
Q108,pastel_palettes__368,pastel_palettes,0.6445,7
Q108,pastel_palettes__362,pastel_palettes,0.6416,8
Q108,pastel_palettes__330,pastel_palettes,0.6405,9
Q108,pastel_palettes__341,pastel_palettes,0.6398,10
Q108,pastel_palettes__351,pastel_palettes,0.6385,11
Q108,pastel_palettes__318,pastel_palettes,0.6367,12
Q108,pastel_palettes__343,pastel_palettes,0.6346,13
Q108,pastel_palettes__337,pastel_palettes,0.632,14
Q108,pastel_palettes__352,pastel_palettes,0.6299,15
Q109,afterglow__042,afterglow,0.7088,1
Q109,afterglow__041,afterglow,0.6872,2
Q109,afterglow__043,afterglow,0.6763,3
Q109,afterglow__056,afterglow,0.6664,4
Q109,afterglow__027,afterglow,0.6657,5
Q109,afterglow__005,afterglow,0.6603,6
Q109,afterglow__018,afterglow,0.66,7
Q109,afterglow__012,afterglow,0.6594,8
Q109,afterglow__029,afterglow,0.6588,9
Q109,afterglow__001,afterglow,0.6576,10
Q109,afterglow__071,afterglow,0.6563,11
Q109,afterglow__039,afterglow,0.656,12
Q109,afterglow__007,afterglow,0.6479,13
Q109,afterglow__058,afterglow,0.6419,14
Q109,afterglow__006,afterglow,0.6392,15
Q110,afterglow__036,afterglow,0.7293,1
Q110,afterglow__002,afterglow,0.671,2
Q110,afterglow__006,afterglow,0.6586,3
Q110,afterglow__052,afterglow,0.6533,4
Q110,afterglow__005,afterglow,0.6492,5
Q110,afterglow__058,afterglow,0.6467,6
Q110,afterglow__027,afterglow,0.6392,7
Q110,afterglow__046,afterglow,0.6385,8
Q110,afterglow__035,afterglow,0.6384,9
Q110,afterglow__065,afterglow,0.6369,10
Q110,afterglow__042,afterglow,0.6352,11
Q110,afterglow__071,afterglow,0.6323,12
Q110,afterglow__056,afterglow,0.6314,13
Q110,afterglow__053,afterglow,0.6304,14
Q110,afterglow__055,afterglow,0.6289,15
Q111,hello_happy_world__123,hello_happy_world,0.7163,1
Q111,hello_happy_world__109,hello_happy_world,0.6637,2
Q111,hello_happy_world__116,hello_happy_world,0.6607,3
Q111,hello_happy_world__115,hello_happy_world,0.6598,4
Q111,hello_happy_world__118,hello_happy_world,0.6552,5
Q111,hello_happy_world__111,hello_happy_world,0.6485,6
