eval_id,query_id,method,score
1,R11,method2,1
2,R07,method2,1
3,R02,method1,5
4,R21,method1,5
5,R20,method1,4
6,R04,method2,5
7,R15,method2,4
8,R09,method1,5
8,R09,method2,5
9,R19,method1,4
10,R08,method2,4
11,R02,method2,2
12,R17,method2,4
13,R18,method2,5
14,R01,method1,4
15,R09,method1,5
16,R12,method1,4
17,R06,method1,5
18,R01,method2,5
19,R06,method1,4
19,R06,method2,4
20,R14,method1,1
20,R14,method2,1
21,R23,method2,4
22,R07,method1,4
23,R13,method1,1
24,R20,method2,3
25,R06,method2,4
26,R04,method2,5
27,R24,method2,4
28,R19,method2,5
29,R24,method1,2
30,R08,method1,3
31,R23,method1,5
32,R11,method1,5
33,R16,method2,4
34,R24,method2,1
35,R12,method1,4
35,R12,method2,4
36,R08,method2,4
37,R03,method2,5
38,R19,method1,5
39,R04,method1,4
40,R01,method1,1
41,R15,method2,4
42,R19,method2,4
43,R15,method1,5
44,R04,method1,4
44,R04,method2,4
45,R20,method2,4
46,R03,method1,4
46,R03,method2,4
47,R17,method1,4
48,R13,method2,4
49,R02,method1,5
50,R18,method1,3
51,R08,method1,4
52,R20,method2,4
53,R22,method1,5
54,R09,method2,4
55,R17,method1,4
56,R06,method1,5
57,R24,method1,2
58,R18,method1,5
59,R21,method2,5
60,R01,method2,1
61,R13,method2,5
62,R20,method1,4
63,R16,method2,4
64,R03,method1,5
65,R21,method1,5
66,R18,method1,5
67,R24,method2,2
68,R13,method1,5
69,R14,method2,5
70,R11,method2,4
71,R10,method1,5
71,R10,method2,5
72,R09,method1,5
73,R07,method1,1
74,R15,method2,4
75,R02,method2,5
76,R13,method1,1
77,R21,method2,5
78,R22,method2,4
79,R14,method1,4
79,R14,method2,4
80,R09,method2,4
81,R17,method2,4
82,R05,method2,5
83,R23,method2,4
84,R22,method1,4
85,R11,method1,4
86,R23,method1,4
87,R05,method2,5
88,R02,method1,5
88,R02,method2,5
89,R05,method1,4
90,R07,method1,5
90,R07,method2,5
91,R23,method1,5
91,R23,method2,5
92,R22,method1,4
93,R18,method2,4
94,R14,method1,1
95,R01,method1,1
96,R13,method2,1
97,R08,method2,2
98,R10,method1,5
99,R15,method1,3
100,R16,method1,2
100,R16,method2,2
101,R03,method1,4
101,R03,method2,4
102,R16,method1,4
103,R10,method1,5
103,R10,method2,5
104,R07,method2,1
105,R05,method1,5
105,R05,method2,5
106,R19,method1,4
107,R17,method1,4
107,R17,method2,4
108,R04,method1,5
109,R15,method1,4
110,R12,method2,5
111,R19,method2,5
112,R22,method2,3
113,R21,method2,5
114,R06,method2,5
115,R01,method2,1
116,R12,method1,4
116,R12,method2,4
117,R21,method1,5
118,R08,method1,4
119,R11,method1,2
120,R11,method2,4
121,R20,method1,4
122,R22,method2,5
123,R18,method2,1
124,R10,method2,4
125,R24,method1,1
126,R05,method1,5
127,R16,method1,4
