eval_id,query_id,idx,methods,energy
1,R11,381,method2,0.2777
2,R07,90,method2,0.1725
3,R02,592,method1,0.2131
4,R21,384,method1,0.1708
5,R20,387,method1,0.21
6,R04,660,method2,0.1685
7,R15,451,method2,0.2447
8,R09,104,method1|method2,0.5668
9,R19,505,method1,0.3183
10,R08,440,method2,0.6566
11,R02,573,method2,0.346
12,R17,418,method2,0.5306
13,R18,415,method2,0.0415
14,R01,433,method1,0.6855
15,R09,376,method1,0.5375
16,R12,300,method1,0.4341
17,R06,128,method1,0.7067
18,R01,432,method2,0.6245
19,R06,123,method1|method2,0.6933
20,R14,568,method1|method2,0.151
21,R23,260,method2,0.1832
22,R07,208,method1,0.1573
23,R13,376,method1,0.5375
24,R20,618,method2,0.3031
25,R06,118,method2,0.6344
26,R04,268,method2,0.1207
27,R24,486,method2,0.5461
28,R19,504,method2,0.54
29,R24,593,method1,0.6239
30,R08,390,method1,0.6387
31,R23,242,method1,0.1582
32,R11,405,method1,0.1451
33,R16,442,method2,0.0915
34,R24,83,method2,0.6075
35,R12,420,method1|method2,0.4111
36,R08,459,method2,0.7094
37,R03,513,method2,0.6482
38,R19,568,method1,0.151
39,R04,271,method1,0.2169
40,R01,560,method1,0.6644
41,R15,595,method2,0.2459
42,R19,524,method2,0.626
43,R15,660,method1,0.1685
44,R04,260,method1|method2,0.1832
45,R20,408,method2,0.3048
46,R03,537,method1|method2,0.6174
47,R17,376,method1,0.5375
48,R13,484,method2,0.5387
49,R02,628,method1,0.2022
50,R18,208,method1,0.1573
51,R08,433,method1,0.6855
52,R20,149,method2,0.2834
53,R22,603,method1,0.1695
54,R09,13,method2,0.5785
55,R17,388,method1,0.6026
56,R06,130,method1,0.718
57,R24,626,method1,0.5619
58,R18,638,method1,0.1238
59,R21,628,method2,0.2022
60,R01,332,method2,0.7754
61,R13,55,method2,0.5977
62,R20,430,method1,0.2941
63,R16,603,method2,0.1695
64,R03,560,method1,0.6644
65,R21,271,method1,0.2169
66,R18,91,method1,0.0229
67,R24,475,method2,0.5959
68,R13,21,method1,0.542
69,R14,442,method2,0.0915
70,R11,441,method2,0.2619
71,R10,97,method1|method2,0.0312
72,R09,388,method1,0.6026
73,R07,592,method1,0.2131
74,R15,12,method2,0.1916
75,R02,571,method2,0.2636
76,R13,388,method1,0.6026
77,R21,92,method2,0.1806
78,R22,568,method2,0.151
79,R14,403,method1|method2,0.1461
80,R09,55,method2,0.5977
81,R17,161,method2,0.5246
82,R05,97,method2,0.0312
83,R23,403,method2,0.1461
84,R22,242,method1,0.1582
85,R11,384,method1,0.1708
86,R23,343,method1,0.1372
87,R05,75,method2,0.2994
88,R02,638,method1|method2,0.1238
89,R05,88,method1,0.2259
90,R07,638,method1|method2,0.1238
91,R23,196,method1|method2,0.1205
92,R22,403,method1,0.1461
93,R18,403,method2,0.1461
94,R14,64,method1,0.1444
95,R01,128,method1,0.7067
96,R13,120,method2,0.5743
97,R08,332,method2,0.7754
98,R10,208,method1,0.1573
99,R15,333,method1,0.2524
100,R16,93,method1|method2,0.0222
101,R03,522,method1|method2,0.6766
102,R16,343,method1,0.1372
103,R10,638,method1|method2,0.1238
104,R07,88,method2,0.2259
105,R05,90,method1|method2,0.1725
106,R19,545,method1,0.1616
107,R17,104,method1|method2,0.5668
108,R04,265,method1,0.2114
109,R15,657,method1,0.23
110,R12,106,method2,0.4457
111,R19,512,method2,0.6092
112,R22,260,method2,0.1832
113,R21,88,method2,0.2259
114,R06,121,method2,0.6775
115,R01,123,method2,0.6933
116,R12,573,method1|method2,0.346
117,R21,407,method1,0.1783
118,R08,128,method1,0.7067
119,R11,92,method1,0.1806
120,R11,88,method2,0.2259
121,R20,187,method1,0.298
122,R22,442,method2,0.0915
123,R18,568,method2,0.151
124,R10,568,method2,0.151
125,R24,492,method1,0.524
126,R05,92,method1,0.1806
127,R16,416,method1,0.1198
