idx,tag,threshold,selected_bpm_m4,switched
0,afterglow__000,0.01,92.3,False
0,afterglow__000,0.02,92.3,False
0,afterglow__000,0.05,61.53333333333333,True
0,afterglow__000,0.08,61.53333333333333,True
0,afterglow__000,0.1,61.53333333333333,True
0,afterglow__000,0.15,61.53333333333333,True
0,afterglow__000,0.2,61.53333333333333,True
1,afterglow__001,0.01,90.7,False
1,afterglow__001,0.02,90.7,False
1,afterglow__001,0.05,90.7,False
1,afterglow__001,0.08,60.46666666666667,True
1,afterglow__001,0.1,60.46666666666667,True
1,afterglow__001,0.15,60.46666666666667,True
1,afterglow__001,0.2,60.46666666666667,True
2,afterglow__002,0.01,99.4,False
2,afterglow__002,0.02,99.4,False
2,afterglow__002,0.05,99.4,False
2,afterglow__002,0.08,99.4,False
2,afterglow__002,0.1,66.26666666666667,True
2,afterglow__002,0.15,66.26666666666667,True
2,afterglow__002,0.2,66.26666666666667,True
3,afterglow__003,0.01,99.4,False
3,afterglow__003,0.02,66.26666666666667,True
3,afterglow__003,0.05,66.26666666666667,True
3,afterglow__003,0.08,66.26666666666667,True
3,afterglow__003,0.1,66.26666666666667,True
3,afterglow__003,0.15,66.26666666666667,True
3,afterglow__003,0.2,66.26666666666667,True
4,afterglow__004,0.01,95.7,False
4,afterglow__004,0.02,95.7,False
4,afterglow__004,0.05,63.8,True
4,afterglow__004,0.08,63.8,True
4,afterglow__004,0.1,63.8,True
4,afterglow__004,0.15,63.8,True
4,afterglow__004,0.2,63.8,True
5,afterglow__005,0.01,78.3,False
5,afterglow__005,0.02,78.3,False
5,afterglow__005,0.05,78.3,False
5,afterglow__005,0.08,78.3,False
5,afterglow__005,0.1,104.4,True
5,afterglow__005,0.15,104.4,True
5,afterglow__005,0.2,104.4,True
6,afterglow__006,0.01,136.0,False
6,afterglow__006,0.02,136.0,False
6,afterglow__006,0.05,136.0,False
6,afterglow__006,0.08,136.0,False
6,afterglow__006,0.1,90.66666666666666,True
6,afterglow__006,0.15,90.66666666666666,True
6,afterglow__006,0.2,90.66666666666666,True
7,afterglow__007,0.01,24.85,False
7,afterglow__007,0.02,24.85,False
7,afterglow__007,0.05,66.26666666666667,True
7,afterglow__007,0.08,66.26666666666667,True
7,afterglow__007,0.1,66.26666666666667,True
7,afterglow__007,0.15,66.26666666666667,True
7,afterglow__007,0.2,66.26666666666667,True
8,afterglow__008,0.01,62.66666666666666,True
8,afterglow__008,0.02,62.66666666666666,True
8,afterglow__008,0.05,62.66666666666666,True
8,afterglow__008,0.08,62.66666666666666,True
8,afterglow__008,0.1,62.66666666666666,True
8,afterglow__008,0.15,62.66666666666666,True
8,afterglow__008,0.2,62.66666666666666,True
9,afterglow__009,0.01,105.5,False
9,afterglow__009,0.02,105.5,False
9,afterglow__009,0.05,70.33333333333333,True
9,afterglow__009,0.08,70.33333333333333,True
9,afterglow__009,0.1,70.33333333333333,True
9,afterglow__009,0.15,70.33333333333333,True
9,afterglow__009,0.2,70.33333333333333,True
10,afterglow__010,0.01,105.5,False
10,afterglow__010,0.02,105.5,False
10,afterglow__010,0.05,70.33333333333333,True
10,afterglow__010,0.08,70.33333333333333,True
10,afterglow__010,0.1,70.33333333333333,True
10,afterglow__010,0.15,70.33333333333333,True
10,afterglow__010,0.2,70.33333333333333,True
11,afterglow__011,0.01,90.7,False
11,afterglow__011,0.02,90.7,False
11,afterglow__011,0.05,90.7,False
11,afterglow__011,0.08,90.7,False
