idx,tag,band,song,selected_bpm_m2,selected_bpm_m5,switched
0,afterglow__000,afterglow,ON YOUR MARK,184.6,184.6,False
1,afterglow__001,afterglow,That Is How I Roll!,181.4,181.4,False
2,afterglow__002,afterglow,SENSENFUKOKU,198.8,198.8,False
3,afterglow__003,afterglow,I knew it!,198.8,198.8,False
4,afterglow__004,afterglow,ツナグ、ソラモヨウ,191.4,191.4,False
5,afterglow__005,afterglow,Hey-day狂騒曲(カプリチオ),156.6,156.6,False
6,afterglow__006,afterglow,"Easy come, Easy go!",136.0,136.0,False
7,afterglow__007,afterglow,Sasanqua,198.8,198.8,False
8,afterglow__008,afterglow,RED RED RED,188.0,188.0,False
9,afterglow__009,afterglow,ONE OF US,211.0,211.0,False
10,afterglow__010,afterglow,Y.O.L.O!!!!!,211.0,211.0,False
11,afterglow__011,afterglow,Scarlet Sky,181.4,181.4,False
12,afterglow__012,afterglow,Off we go.,120.2,120.2,False
13,afterglow__013,afterglow,いつも通りのBrand new days,191.4,191.4,False
14,afterglow__014,afterglow,SWITCH ON NOW,198.8,198.8,False
15,afterglow__015,afterglow,ランブリングメモリー,126.0,126.0,False
16,afterglow__016,afterglow,COMIC PANIC!!!,211.0,211.0,False
17,afterglow__017,afterglow,Trouble Joyful!!,195.0,195.0,False
18,afterglow__018,afterglow,Jamboree!Journey!,156.6,156.6,False
19,afterglow__019,afterglow,カナユメ,126.0,126.0,False
20,afterglow__020,afterglow,独創収差,126.0,126.0,False
21,afterglow__021,afterglow,極彩色,184.6,184.6,False
22,afterglow__022,afterglow,サクラゼンセン,139.7,139.7,False
23,afterglow__023,afterglow,True color,159.0,159.0,False
24,afterglow__024,afterglow,Crow Song,175.2,175.2,False
25,afterglow__025,afterglow,カサブタ,172.2,57.39999999999999,True
26,afterglow__026,afterglow,アイのシナリオ,181.4,181.4,False
27,afterglow__027,afterglow,Northern lights,136.0,136.0,False
28,afterglow__028,afterglow,トーキョーワンダー。,136.0,136.0,False
29,afterglow__029,afterglow,Reach Out To The Truth,169.4,169.4,False
30,afterglow__030,afterglow,Listen!!,175.2,175.2,False
31,afterglow__031,afterglow,青い栞,132.5,132.5,False
32,afterglow__032,afterglow,イマジネーション,202.6,202.6,False
33,afterglow__033,afterglow,Butter-Fly,172.2,172.2,False
34,afterglow__034,afterglow,燦々,195.0,195.0,False
35,afterglow__035,afterglow,That's why I'm here.,184.6,184.6,False
36,afterglow__036,afterglow,IGNITE GLOW,132.5,132.5,False
37,afterglow__037,afterglow,ペトリコール・オベーション,184.6,184.6,False
38,afterglow__038,afterglow,Made My Day,191.4,191.4,False
39,afterglow__039,afterglow,Glowing After,198.8,66.26666666666667,True
40,afterglow__040,afterglow,A Sunset So Bright,126.0,126.0,False
41,afterglow__041,afterglow,Start as Usual,181.4,181.4,False
42,afterglow__042,afterglow,“Say cheese!!!!!”,120.2,120.2,False
43,afterglow__043,afterglow,花笑みのデュオ,198.8,198.8,False
44,afterglow__044,afterglow,READY STEADY GO (Cover),143.6,143.6,False
45,afterglow__045,afterglow,abnormalize (Cover),175.2,175.2,False
46,afterglow__046,afterglow,メンタルチェンソー (Cover),188.0,188.0,False
47,afterglow__047,afterglow,Bunny Girl (Cover),159.0,159.0,False
48,afterglow__048,afterglow,オレンジ (Cover),198.8,198.8,False
49,afterglow__049,afterglow,カゲロウデイズ (Cover),198.8,198.8,False
50,afterglow__050,afterglow,DAY×DAY (Cover),191.4,191.4,False
51,afterglow__051,afterglow,ロキ (Cover),147.7,147.7,False
