keyword,n,n_other,feature,role,cohens_d,mwu_p,q_fdr,passes_fdr,passes_effect,passes_threshold
희망,305,356,intensity,verified,-0.3912,3.15915e-07,2.30167e-05,True,True,True
희망,305,356,energy_full,verified,-0.3071,0.000100594,0.00366449,True,True,True
희망,305,356,i_mean,verified,-0.2875,0.000116974,0.00397713,True,False,False
희망,305,356,i_std,verified,-0.1281,0.0813979,0.267825,False,False,False
희망,305,356,i_min,verified,-0.1878,0.0130582,0.0876273,False,False,False
희망,305,356,i_max,verified,-0.3671,1.53299e-05,0.000710751,True,True,True
희망,305,356,i_start,verified,-0.1753,0.00560864,0.0594341,False,False,False
희망,305,356,i_end,verified,-0.3303,2.72154e-05,0.00106768,True,True,True
희망,305,356,mode_score,verified,0.1705,0.0273859,0.133829,False,False,False
희망,305,356,bpm,verified,-0.0904,0.356988,0.611571,False,False,False
희망,305,356,acousticness_proxy,exploratory,0.4411,4.0099e-08,5.11262e-06,True,True,True
희망,305,356,instrumentalness_proxy,exploratory,-0.1155,0.164088,0.396611,False,False,False
희망,305,356,cen_mean,librosa_direct,-0.1871,0.0176304,0.0999058,False,False,False
희망,305,356,cen_p90,librosa_direct,-0.2189,0.00933195,0.0709724,False,False,False
희망,305,356,roll_mean,librosa_direct,-0.2141,0.00310895,0.0406556,True,False,False
희망,305,356,roll_p90,librosa_direct,-0.2224,0.00594341,0.0594341,False,False,False
희망,305,356,bw_mean,librosa_direct,-0.1468,0.0166971,0.0971681,False,False,False
희망,305,356,bw_p90,librosa_direct,-0.2073,0.00734119,0.0646952,False,False,False
희망,305,356,flat_mean,librosa_direct,-0.3811,2.05429e-06,0.00011641,True,True,True
희망,305,356,flat_p90,librosa_direct,-0.3436,1.94437e-05,0.000826355,True,True,True
희망,305,356,contrast_mean,librosa_direct,0.462,1.75775e-10,8.96454e-08,True,True,True
희망,305,356,contrast_p90,librosa_direct,0.4382,1.55321e-09,2.64045e-07,True,True,True
희망,305,356,zcr_mean,librosa_direct,-0.217,0.00467132,0.0529416,False,False,False
희망,305,356,zcr_p90,librosa_direct,-0.2272,0.00807392,0.0675033,False,False,False
희망,305,356,perc_mean,librosa_direct,-0.4731,1.22963e-09,2.64045e-07,True,True,True
희망,305,356,perc_p90,librosa_direct,-0.417,1.64215e-07,1.67499e-05,True,True,True
희망,305,356,perc_p95,librosa_direct,-0.406,2.53128e-07,2.15158e-05,True,True,True
희망,305,356,onset_mean,librosa_direct,-0.2424,0.00106258,0.0159387,True,False,False
희망,305,356,onset_p90,librosa_direct,-0.1644,0.0651589,0.229179,False,False,False
희망,305,356,onset_rate,librosa_direct,0.0097,0.892258,0.939056,False,False,False
희망,305,356,rms_mean,librosa_direct,-0.0175,0.677003,0.831979,False,False,False
희망,305,356,rms_p90,librosa_direct,-0.0917,0.151006,0.385366,False,False,False
희망,305,353,energy,negative_control,-0.0012,0.989172,0.992667,False,False,False
희망,305,356,energy_proxy,negative_control,0.1091,0.0986748,0.292582,False,False,False
사랑,65,596,intensity,verified,-0.2832,0.0497427,0.196346,False,False,False
사랑,65,596,energy_full,verified,-0.1747,0.179457,0.41983,False,False,False
사랑,65,596,i_mean,verified,-0.3326,0.02623,0.129877,False,True,False
사랑,65,596,i_std,verified,0.3544,0.0018818,0.0259383,True,True,True
사랑,65,596,i_min,verified,-0.4147,0.0169568,0.0971681,False,True,False
사랑,65,596,i_max,verified,-0.0482,0.655848,0.822283,False,False,False
사랑,65,596,i_start,verified,-0.2395,0.201807,0.443628,False,False,False
사랑,65,596,i_end,verified,-0.1573,0.208286,0.455905,False,False,False
사랑,65,596,mode_score,verified,0.1789,0.324615,0.576842,False,False,False
사랑,65,596,bpm,verified,-0.0623,0.761064,0.880142,False,False,False
사랑,65,596,acousticness_proxy,exploratory,0.0358,0.571364,0.774143,False,False,False
사랑,65,596,instrumentalness_proxy,exploratory,-0.0475,0.816092,0.912734,False,False,False
사랑,65,596,cen_mean,librosa_direct,-0.2831,0.0331914,0.152501,False,False,False
사랑,65,596,cen_p90,librosa_direct,-0.197,0.115572,0.329283,False,False,False
사랑,65,596,roll_mean,librosa_direct,-0.3324,0.0133417,0.0883669,False,True,False
사랑,65,596,roll_p90,librosa_direct,-0.0845,0.433484,0.676076,False,False,False
사랑,65,596,bw_mean,librosa_direct,-0.3501,0.0124976,0.0873119,False,True,False
사랑,65,596,bw_p90,librosa_direct,-0.1359,0.26559,0.518969,False,False,False
사랑,65,596,flat_mean,librosa_direct,-0.2127,0.0943625,0.287736,False,False,False
사랑,65,596,flat_p90,librosa_direct,-0.2205,0.0677403,0.236627,False,False,False
사랑,65,596,contrast_mean,librosa_direct,0.369,0.0360607,0.161324,False,True,False
사랑,65,596,contrast_p90,librosa_direct,0.385,0.0117011,0.0844984,False,True,False
사랑,65,596,zcr_mean,librosa_direct,-0.1208,0.280555,0.527981,False,False,False
사랑,65,596,zcr_p90,librosa_direct,-0.0908,0.231265,0.483381,False,False,False
사랑,65,596,perc_mean,librosa_direct,-0.1271,0.224552,0.475192,False,False,False
사랑,65,596,perc_p90,librosa_direct,0.0201,0.874716,0.934597,False,False,False
사랑,65,596,perc_p95,librosa_direct,0.0414,0.975716,0.982039,False,False,False
사랑,65,596,onset_mean,librosa_direct,-0.0981,0.504156,0.736732,False,False,False
사랑,65,596,onset_p90,librosa_direct,-0.0381,0.976262,0.982039,False,False,False
사랑,65,596,onset_rate,librosa_direct,0.012,0.998636,0.998636,False,False,False
