eval_id,query_id,tag,arms,rank_A,rank_B,rank_C,lyr_rank,acou_rank,acou_match,in_method1
e001,T1-Q2,pastel_palettes__334,A|C,3.0,,2.0,0.9962,0.8185,1.0,True
e002,T1-Q1,afterglow__063,B,,3.0,,0.1551,0.9796,1.0,False
e003,T3-Q1,ave_mujica__081,C,,,3.0,0.9856,0.8495,1.0,False
e004,T1-Q2,mygo__260,C,,,3.0,0.9932,0.8185,1.0,False
e005,T3-Q1,poppin_party__450,C,,,2.0,0.9887,0.8495,1.0,False
e006,T3-Q2,roselia__611,B,,3.0,,0.7784,0.9334,1.0,False
e007,T2-Q2,pastel_palettes__348,B,,3.0,,0.851,0.9924,0.7924,False
e008,T2-Q2,poppin_party__411,B,,1.0,,0.2731,0.9924,0.7924,False
e009,T3-Q1,afterglow__022,B,,2.0,,0.1884,0.8495,1.0,False
e010,T1-Q2,raise_a_suilen__564,B,,2.0,,0.562,0.8185,1.0,False
e011,T3-Q2,hello_happy_world__123,A|C,2.0,,1.0,0.9977,0.9334,1.0,True
e012,T3-Q2,pastel_palettes__371,C,,,2.0,0.9856,0.9334,1.0,False
e013,T3-Q2,roselia__641,B,,1.0,,0.792,0.9334,1.0,False
e014,T2-Q1,raise_a_suilen__546,B,,1.0,,0.0794,0.9713,1.0,False
e015,T2-Q2,poppin_party__438,C,,,2.0,0.9735,0.9539,0.7539,False
e016,T1-Q1,poppin_party__450,C,,,2.0,0.9463,0.9796,1.0,False
e017,T1-Q1,hello_happy_world__123,A,2.0,,,0.9977,0.6785,0.8284,True
e018,T2-Q2,poppin_party__447,C,,,1.0,0.9372,0.9924,0.7924,False
e019,T3-Q1,roselia__659,B,,1.0,,0.9327,0.8495,1.0,False
e020,T3-Q1,poppin_party__465,A,1.0,,,0.9992,0.1029,0.8078,True
e021,T2-Q1,morfonica__181,A,2.0,,,0.9977,0.3623,0.7124,True
e022,T1-Q2,poppin_party__465,A,2.0,,,0.9977,0.0537,0.7976,True
e023,T2-Q1,ave_mujica__077,C,,,2.0,0.975,0.9713,1.0,False
e024,T1-Q1,hello_happy_world__111,A,3.0,,,0.9962,0.472,0.7554,True
e025,T2-Q2,hello_happy_world__115,A,2.0,,,0.9977,0.0492,0.0292,True
e026,T2-Q1,raise_a_suilen__554,B,,3.0,,0.5091,0.9713,1.0,False
e027,T3-Q2,hello_happy_world__115,A,3.0,,,0.9962,0.5076,0.8128,True
e028,T3-Q2,hello_happy_world__116,A,1.0,,,0.9992,0.0068,0.5341,True
e029,T3-Q1,pastel_palettes__368,A|C,3.0,,1.0,0.9962,0.8495,1.0,True
e030,T1-Q1,poppin_party__423,B|C,,1.0,1.0,0.9932,0.9796,1.0,False
e031,T2-Q1,ave_mujica__081,A,3.0,,,0.9962,0.6725,0.8306,True
e032,T3-Q2,hello_happy_world__109,C,,,3.0,0.9841,0.9334,1.0,False
e033,T3-Q2,roselia__640,B,,2.0,,0.7118,0.9334,1.0,False
e034,T2-Q1,raise_a_suilen__549,B|C,,2.0,1.0,0.9766,0.9713,1.0,False
e035,T2-Q2,poppin_party__375,A,1.0,,,0.9992,0.4947,0.2947,True
e036,T1-Q1,hello_happy_world__109,A,1.0,,,0.9992,0.6498,0.8182,True
e037,T1-Q1,poppin_party__454,B,,2.0,,0.8585,0.9796,1.0,False
e038,T2-Q2,poppin_party__396,B,,2.0,,0.7526,0.9924,0.7924,False
e039,T2-Q2,poppin_party__383,A,3.0,,,0.9962,0.82,0.62,True
e040,T3-Q1,poppin_party__480,A,2.0,,,0.9977,0.149,0.8218,True
e041,T1-Q1,roselia__624,C,,,3.0,0.9342,0.9796,1.0,False
e042,T1-Q2,roselia__592,B,,3.0,,0.4002,0.8185,1.0,False
e043,T1-Q2,raise_a_suilen__566,B,,1.0,,0.143,0.8185,1.0,False
e044,T3-Q1,afterglow__027,B,,3.0,,0.9841,0.8495,1.0,False
e045,T1-Q2,poppin_party__472,A|C,1.0,,1.0,0.9992,0.8185,1.0,True
e046,T2-Q1,poppin_party__472,A|C,1.0,,3.0,0.9992,0.907,0.9669,True
e047,T2-Q2,ave_mujica__083,C,,,3.0,0.9705,0.9539,0.7539,False
