idx,band,song,url,energy_full,excerpt_start_sec,excerpt_end_sec,wonder,transcendence,tenderness,nostalgia,peacefulness,power,joyful_activation,tension,sadness,rater_note
31,afterglow,青い栞,https://youtu.be/bzJW33heiqw,0.062021,157.57552203433227,187.3377019103546,1,1,5,4,5,1,3,1,1,
61,afterglow,Redo (Cover),https://youtu.be/Q5ld_AEJAWw,0.493874,0,30,1,1,2,2,2,3,4,3,1,
68,afterglow,Don't say “lazy” (Cover),https://youtu.be/PThqwHLyPpU,0.953292,0,30,1,1,1,3,2,2,4,2,1,
91,ave_mujica,in your blue eyes,https://youtu.be/kVMuEQ3uXWc,0.003828,0,30,4,3,1,4,1,4,1,4,5,
94,ave_mujica,DIVINE,https://youtu.be/6bA-vjvi9oI,0.1049,0,30,4,4,1,1,1,4,4,5,1,
84,ave_mujica,Ave Mujica,https://youtu.be/QDsd0nyzwz0,0.993109,0,30,5,5,1,1,1,5,2,5,3,
131,hello_happy_world,ひまわりの約束,https://youtu.be/WC3paFpeKTo,0.132466,0,30,1,1,4,4,5,3,2,1,1,
135,hello_happy_world,コレカラ,https://youtu.be/9DpyAgb_DO8,0.771057,0,30,1,1,2,4,4,3,4,1,1,
157,hello_happy_world,強風オールバック (Cover),https://youtu.be/EGxEKCHDAFE,0.997703,0,30,1,1,3,3,2,1,5,3,1,
178,ikka_dumb_rock,ホーミー・タイッ！！,https://youtu.be/BSP-xypGSak,0.689127,143.6408519485016,173.41212595803833,1,1,5,4,4,4,5,2,1,
179,millsage,起死開戦,https://youtu.be/bzPxdHmMW3s,0.163859,0,30,5,5,2,4,2,4,3,4,4,
189,morfonica,Sweet Cheers!,https://youtu.be/e8IQBZMVIGw,0.045176,0,30,4,4,4,4,4,5,2,1,1,
185,morfonica,fly with the night,https://youtu.be/DpnFf8UINbs,0.232006,0,30,4,3,3,4,2,4,4,3,2,
207,morfonica,わたしまちがいさがし,https://youtu.be/UgP_YbdsoB8,0.959418,0,30,3,3,2,3,2,3,2,4,4,
245,mugendai_mutype,テレパシー,https://youtu.be/mKiBvYqfBfk,0.065084,0,30,3,5,4,4,5,2,1,1,2,
239,mugendai_mutype,みゅーたんとミュータント,https://youtu.be/qnHJDWgLkvw,0.826187,0,30,1,1,3,2,2,2,4,3,1,
257,mugendai_mutype,やわやわNERD 超FreQuency,https://youtu.be/xzkEK0GF7fw,0.99464,0,30,2,3,2,1,1,2,5,3,1,
278,mygo,処救生,https://youtu.be/Z2OLVzWFaY0,0.000766,0,30,4,3,3,4,2,3,3,4,3,
298,mygo,swim (Cover),https://youtu.be/YcBvpV_CzuU,0.048239,0,30,1,1,4,4,3,3,5,1,1,
300,mygo,春日影,https://youtu.be/wRwQUk0Dl30,0.74196,0,30,1,1,5,5,5,3,2,1,4,
339,pastel_palettes,everyday flower,https://youtu.be/zEHPkLXcX1I,0.121746,0,30,1,1,4,4,5,3,2,1,4,
341,pastel_palettes,フレっとパレットFight Song!!,https://youtu.be/ZvK22__1ECE,0.709801,0,30,1,1,4,2,3,2,4,1,1,
368,pastel_palettes,ハッピーシンセサイザ (Cover),https://youtu.be/AD3WCMhAGVs,0.999234,0,30,1,1,4,4,3,3,4,1,1,
415,poppin_party,キミにもらったもの,https://youtu.be/gu85qKfXfj8,0.066616,0,30,2,2,5,5,5,3,1,1,2,
396,poppin_party,STAR BEAT!～ホシノコドウ～ ～Popipa Acoustic Ver.～,https://youtu.be/kj5orLd_XnA,0.535222,0,30,1,1,5,5,5,4,2,1,2,
414,poppin_party,夏のドーン！,https://youtu.be/xtgdECulbbw,0.979326,148.44275121743775,177.80656303051757,1,1,3,3,4,3,4,2,1,
536,raise_a_suilen,Drown Out the Noise and Push Through the Trash,https://youtu.be/EELGtL1U1vw,0.039051,0,30,4,3,1,1,1,4,5,4,1,
560,raise_a_suilen,Just Awake (Cover),https://youtu.be/nyn9h6BraQ4,0.590352,0,30,5,4,2,1,1,4,5,2,1,
491,raise_a_suilen,A DECLARATION OF ×××,https://youtu.be/9iOltuunbvs,0.996172,0,30,4,4,1,1,1,4,4,4,1,
580,roselia,軌跡,https://youtu.be/P2BT98BC1N8,0.042113,0,30,5,5,5,5,5,5,1,1,4,
654,roselia,Paradisus‐Paradoxum (Cover),https://youtu.be/A12CMqrBFSw,0.43415,0,30,4,4,1,1,1,5,3,4,3,
656,roselia,Preserved Roses (Cover),https://youtu.be/rB5eL98q6f8,0.977795,0,30,2,1,2,2,1,4,4,4,2,
101,various_artists,Don't be afraid!,https://youtu.be/hPnvMOyGgzc,0.454824,0,30,1,1,4,4,5,3,4,1,1,
103,various_artists,"Be shine, shining!",https://youtu.be/tv1Pf0FE6iw,0.594181,0,30,1,1,5,5,5,3,4,1,1,
104,various_artists,"Here, the world",https://youtu.be/LuwRRghPD1A,0.673813,0,30,1,1,4,3,5,2,4,1,1,
