idx,band,song,duration_sec,bpm_autocorr,extract_sec,error,bpm_madmom,beat_count,beat_interval_median_sec,halftime_flag,official_bpm,ratio,octave_class
0,afterglow,ON YOUR MARK,241.35,143.5546875,13.1,,187.49999999999568,745.0,0.32,False,185.0,1.01351351351349,
1,afterglow,That Is How I Roll!,239.31,112.34714673913044,12.44,,181.8181818181749,720.0,0.33,False,180.0,1.0101010101009718,
2,afterglow,SENSENFUKOKU,246.27,129.19921875,13.01,,200.0000000000007,821.0,0.3,False,200.0,1.0000000000000036,
3,afterglow,I knew it!,291.03,80.74951171875,23.38,,199.99999999999952,970.0,0.3,False,200.0,0.9999999999999976,
4,afterglow,ツナグ、ソラモヨウ,248.73,75.99954044117646,19.84,,193.5483870967728,796.0,0.31,False,192.0,1.0080645161290251,
5,afterglow,Hey-day狂騒曲(カプリチオ),233.42,129.19921875,18.63,,157.89473684210716,616.0,0.38,False,158.0,0.9993337774816909,
6,afterglow,"Easy come, Easy go!",243.39,287.109375,19.27,,136.36363636363706,677.0,0.44,True,135.0,1.0101010101010153,
7,afterglow,Sasanqua,236.61,129.19921875,18.98,,199.9999999999924,781.0,0.3,False,198.0,1.0101010101009718,
8,afterglow,RED RED RED,224.08,117.45383522727272,17.85,,187.500000000004,703.0,0.32,False,188.0,0.9973404255319362,
9,afterglow,ONE OF US,282.0,135.99917763157896,22.99,,206.8965517241436,986.0,0.29,False,210.0,0.9852216748768743,
10,afterglow,Y.O.L.O!!!!!,270.64,129.19921875,22.21,,206.8965517241436,935.0,0.29,False,210.0,0.9852216748768743,
11,afterglow,Scarlet Sky,228.85,73.828125,17.91,,181.8181818181749,688.0,0.33,False,180.0,1.0101010101009718,
12,afterglow,Off we go.,251.64,151.99908088235293,19.63,,181.8181818181749,757.0,0.33,False,180.0,1.0101010101009718,
13,afterglow,いつも通りのBrand new days,237.08,95.703125,18.41,,193.5483870967728,759.0,0.31,False,192.0,1.0080645161290251,
14,afterglow,SWITCH ON NOW,207.03,143.5546875,16.57,,200.0000000000007,688.0,0.3,False,200.0,1.0000000000000036,
15,afterglow,ランブリングメモリー,324.56,71.77734375,24.5,,125.0000000000008,682.0,0.48,False,125.0,1.0000000000000064,
16,afterglow,COMIC PANIC!!!,280.31,103.359375,21.78,,206.8965517241436,980.0,0.29,False,210.0,0.9852216748768743,
17,afterglow,Trouble Joyful!!,237.65,161.4990234375,18.28,,193.5483870967728,769.0,0.31,False,194.0,0.9976720984369732,
18,afterglow,Jamboree!Journey!,259.57,135.99917763157896,18.74,,157.89473684209534,676.0,0.38,False,156.0,1.0121457489877907,
19,afterglow,カナユメ,307.22,123.046875,22.96,,124.99999999999989,641.0,0.48,False,125.0,0.9999999999999991,
20,afterglow,独創収差,276.29,184.5703125,21.08,,125.00000000000269,582.0,0.48,False,126.0,0.9920634920635134,
21,afterglow,極彩色,238.29,99.38401442307692,18.33,,187.49999999999568,735.0,0.32,False,185.0,1.01351351351349,
22,afterglow,サクラゼンセン,249.07,143.5546875,18.9,,142.85714285714226,702.0,0.42,True,140.0,1.020408163265302,
23,afterglow,True color,253.03,103.359375,19.33,,162.16216216216017,680.0,0.37,False,160.0,1.0135135135135012,
24,afterglow,Crow Song,244.03,172.265625,19.16,,171.4285714285742,710.0,0.35,False,174.0,0.9852216748768632,
25,afterglow,カサブタ,196.59,234.90767045454547,14.73,,171.4285714285742,565.0,0.35,False,172.0,0.9966777408638035,
26,afterglow,アイのシナリオ,259.66,172.265625,19.81,,181.8181818181749,780.0,0.33,False,180.0,1.0101010101009718,
27,afterglow,Northern lights,208.64,161.4990234375,17.1,,136.36363636363265,470.0,0.44,False,135.0,1.0101010101009826,
28,afterglow,トーキョーワンダー。,153.29,86.1328125,12.45,,136.36363636363706,352.0,0.44,False,138.0,0.9881422924901236,
29,afterglow,Reach Out To The Truth,171.18,172.265625,13.87,,171.4285714285707,486.0,0.35,False,170.0,1.0084033613445336,
30,afterglow,Listen!!,227.32,135.99917763157896,18.12,,176.47058823529235,665.0,0.34,False,175.0,1.0084033613445278,
31,afterglow,青い栞,336.32,123.046875,26.63,,133.33333333332828,740.0,0.45,False,132.0,1.0101010101009718,
32,afterglow,イマジネーション,177.7,129.19921875,14.14,,206.89655172413347,606.0,0.29,False,204.0,1.0141987829614385,
33,afterglow,Butter-Fly,250.03,86.1328125,19.92,,171.4285714285742,714.0,0.35,False,171.0,1.0025062656641766,
34,afterglow,燦々,194.62,143.5546875,16.06,,193.548387096775,636.0,0.31,False,196.0,0.9874917709019133,
36,afterglow,IGNITE GLOW,267.1,143.5546875,21.04,,133.33333333332828,588.0,0.45,False,132.0,1.0101010101009718,
37,afterglow,ペトリコール・オベーション,218.95,123.046875,17.17,,187.49999999999568,676.0,0.32,False,185.0,1.01351351351349,
38,afterglow,Made My Day,243.91,123.046875,19.21,,187.500000000004,703.0,0.32,False,190.0,0.986842105263179,
39,afterglow,Glowing After,254.3,198.76802884615384,19.35,,199.9999999999924,839.0,0.3,False,198.0,1.0101010101009718,
40,afterglow,A Sunset So Bright,231.1,151.99908088235293,18.05,,187.500000000004,732.0,0.32,False,190.0,0.986842105263179,
41,afterglow,Start as Usual,275.96,78.30255681818181,21.73,,181.8181818181749,824.0,0.33,False,180.0,1.0101010101009718,
42,afterglow,“Say cheese!!!!!”,260.59,129.19921875,19.9,,120.0,523.0,0.5,False,120.0,1.0,
43,afterglow,花笑みのデュオ,250.1,161.4990234375,19.66,,200.0000000000007,834.0,0.3,False,200.0,1.0000000000000036,
44,afterglow,READY STEADY GO (Cover),220.86,258.3984375,17.67,,142.85714285714468,529.0,0.42,False,144.0,0.9920634920635047,
45,afterglow,abnormalize (Cover),219.03,161.4990234375,17.64,,176.47058823529235,640.0,0.34,False,175.0,1.0084033613445278,
46,afterglow,メンタルチェンソー (Cover),177.1,103.359375,13.96,,187.5,556.0,0.32,False,188.0,0.9973404255319149,
47,afterglow,Bunny Girl (Cover),216.92,143.5546875,16.94,,162.16216216216017,580.0,0.37,False,160.0,1.0135135135135012,
48,afterglow,オレンジ (Cover),235.31,198.76802884615384,18.4,,199.9999999999924,627.0,0.3,True,200.0,0.999999999999962,
49,afterglow,カゲロウデイズ (Cover),233.48,135.99917763157896,18.48,,200.00000000000043,779.0,0.3,False,200.0,1.0000000000000022,
50,afterglow,DAY×DAY (Cover),218.77,95.703125,17.15,,193.5483870967728,704.0,0.31,False,193.0,1.0028413839211026,
51,afterglow,ロキ (Cover),229.61,161.4990234375,18.1,,149.99999999999787,572.0,0.4,False,150.0,0.9999999999999858,
52,afterglow,CHAINSAW BLOOD (Cover),202.68,184.5703125,16.02,,146.34146341463537,497.0,0.41,False,147.0,0.9955201592832338,
53,afterglow,チルドレンレコード (Re:boot) (Cover),189.42,143.5546875,14.66,,206.89655172413347,584.0,0.29,False,206.0,1.0043521928355994,
54,afterglow,青のすみか (Cover),197.15,99.38401442307692,15.36,,153.846153846148,503.0,0.39,False,152.0,1.0121457489878158,
55,afterglow,GO!!! (Cover),239.34,123.046875,18.92,,133.3333333333367,535.0,0.45,False,134.0,0.9950248756219157,
56,afterglow,天ノ弱 (Cover),187.52,184.5703125,15.42,,200.0000000000019,625.0,0.3,False,200.0,1.0000000000000095,
57,afterglow,アスノヨゾラ哨戒班 (Cover),191.76,123.046875,15.38,,187.49999999999568,592.0,0.32,False,185.0,1.01351351351349,
58,afterglow,瞬間センチメンタル (Cover),230.69,107.666015625,18.52,,166.66666666666694,648.0,0.36,False,168.0,0.9920634920634936,
59,afterglow,プライド革命 (Cover),238.25,135.99917763157896,18.54,,187.49999999999568,735.0,0.32,False,185.0,1.01351351351349,
