idx,band,song,duration_sec,bpm_autocorr,extract_sec,error,bpm_madmom,beat_count,beat_interval_median_sec,halftime_flag
0,afterglow,ON YOUR MARK,241.35,143.5546875,13.1,,187.49999999999568,745,0.32,False
1,afterglow,That Is How I Roll!,239.31,112.34714673913044,12.44,,181.81818181817493,720,0.33,False
2,afterglow,SENSENFUKOKU,246.27,129.19921875,13.01,,200.0000000000007,821,0.3,False
3,afterglow,I knew it!,291.03,80.74951171875,23.38,,199.99999999999952,970,0.3,False
4,afterglow,ツナグ、ソラモヨウ,248.73,,19.84,,193.54838709677279,796,0.31,False
5,afterglow,Hey-day狂騒曲(カプリチオ),233.42,,18.63,,157.89473684210716,616,0.38,False
6,afterglow,"Easy come, Easy go!",243.39,,19.27,,136.36363636363706,677,0.44,True
7,afterglow,Sasanqua,236.61,,18.98,,199.9999999999924,781,0.3,False
8,afterglow,RED RED RED,224.08,,17.85,,187.500000000004,703,0.32,False
9,afterglow,ONE OF US,282.0,,22.99,,206.89655172414362,986,0.29,False
10,afterglow,Y.O.L.O!!!!!,270.64,,22.21,,206.89655172414362,935,0.29,False
11,afterglow,Scarlet Sky,228.85,,17.91,,181.81818181817493,688,0.33,False
12,afterglow,Off we go.,251.64,,19.63,,181.81818181817493,757,0.33,False
13,afterglow,いつも通りのBrand new days,237.08,,18.41,,193.54838709677279,759,0.31,False
14,afterglow,SWITCH ON NOW,207.03,,16.57,,200.0000000000007,688,0.3,False
15,afterglow,ランブリングメモリー,324.56,,24.5,,125.00000000000081,682,0.48,False
16,afterglow,COMIC PANIC!!!,280.31,,21.78,,206.89655172414362,980,0.29,False
17,afterglow,Trouble Joyful!!,237.65,,18.28,,193.54838709677279,769,0.31,False
18,afterglow,Jamboree!Journey!,259.57,,18.74,,157.89473684209534,676,0.38,False
19,afterglow,カナユメ,307.22,,22.96,,124.99999999999989,641,0.48,False
20,afterglow,独創収差,276.29,,21.08,,125.00000000000267,582,0.48,False
21,afterglow,極彩色,238.29,,18.33,,187.49999999999568,735,0.32,False
22,afterglow,サクラゼンセン,249.07,,18.9,,142.85714285714226,702,0.42,True
23,afterglow,True color,253.03,,19.33,,162.16216216216017,680,0.37,False
24,afterglow,Crow Song,244.03,,19.16,,171.4285714285742,710,0.35,False
25,afterglow,カサブタ,196.59,,14.73,,171.4285714285742,565,0.35,False
26,afterglow,アイのシナリオ,259.66,,19.81,,181.81818181817493,780,0.33,False
27,afterglow,Northern lights,208.64,,17.1,,136.36363636363265,470,0.44,False
28,afterglow,トーキョーワンダー。,153.29,,12.45,,136.36363636363706,352,0.44,False
29,afterglow,Reach Out To The Truth,171.18,,13.87,,171.42857142857073,486,0.35,False
30,afterglow,Listen!!,227.32,,18.12,,176.47058823529235,665,0.34,False
31,afterglow,青い栞,336.32,,26.63,,133.33333333332828,740,0.45,False
32,afterglow,イマジネーション,177.7,,14.14,,206.89655172413347,606,0.29,False
33,afterglow,Butter-Fly,250.03,,19.92,,171.4285714285742,714,0.35,False
34,afterglow,燦々,194.62,,16.06,,193.548387096775,636,0.31,False
35,afterglow,That's why I'm here.,261.59,,20.28,,187.49999999999568,807,0.32,False
36,afterglow,IGNITE GLOW,267.1,,21.04,,133.33333333332828,588,0.45,False
37,afterglow,ペトリコール・オベーション,218.95,,17.17,,187.49999999999568,676,0.32,False
38,afterglow,Made My Day,243.91,,19.21,,187.500000000004,703,0.32,False
39,afterglow,Glowing After,254.3,,19.35,,199.9999999999924,839,0.3,False
40,afterglow,A Sunset So Bright,231.1,,18.05,,187.500000000004,732,0.32,False
41,afterglow,Start as Usual,275.96,,21.73,,181.81818181817493,824,0.33,False
42,afterglow,“Say cheese!!!!!”,260.59,,19.9,,120.0,523,0.5,False
43,afterglow,花笑みのデュオ,250.1,,19.66,,200.0000000000007,834,0.3,False
44,afterglow,READY STEADY GO (Cover),220.86,,17.67,,142.85714285714468,529,0.42,False
45,afterglow,abnormalize (Cover),219.03,,17.64,,176.47058823529235,640,0.34,False
46,afterglow,メンタルチェンソー (Cover),177.1,,13.96,,187.5,556,0.32,False
47,afterglow,Bunny Girl (Cover),216.92,,16.94,,162.16216216216017,580,0.37,False
48,afterglow,オレンジ (Cover),235.31,,18.4,,199.9999999999924,627,0.3,True
49,afterglow,カゲロウデイズ (Cover),233.48,,18.48,,200.00000000000043,779,0.3,False
50,afterglow,DAY×DAY (Cover),218.77,,17.15,,193.54838709677279,704,0.31,False
51,afterglow,ロキ (Cover),229.61,,18.1,,149.99999999999787,572,0.4,False
