idx,band,song,duration_sec,crowd_median,crowd_p10,crowd_p90,crowd_std,noise_floor_db,rt60_est_sec,n_patches,extract_sec,error
0,afterglow,ON YOUR MARK,241.63,0.0008027019794099033,0.0005090372287668288,0.0013521412620320916,0.0004828111850656569,-18.45,5.0,121,4.71,
1,afterglow,That Is How I Roll!,239.6,0.0006780719850212336,0.000352612289134413,0.0010961616644635797,0.0002851936442311853,-18.52,5.0,120,4.38,
2,afterglow,SENSENFUKOKU,246.53,0.0011175198014825583,0.0005130682839080691,0.0021553949918597937,0.0006264750263653696,-20.69,5.0,124,4.56,
3,afterglow,I knew it!,291.3,0.0007414923748001456,0.00047050596913322806,0.001399623928591609,0.0004133586771786213,-17.26,5.0,146,2.7,
4,afterglow,ツナグ、ソラモヨウ,248.93,0.0009775747312232852,0.00048462790437042713,0.0016489244299009442,0.0008492688066326082,-19.54,5.0,125,2.35,
5,afterglow,Hey-day狂騒曲(カプリチオ),233.7,0.0007609493914060295,0.0003556350420694798,0.0013675648951902986,0.00041503531974740326,-19.97,5.0,117,1.12,
6,afterglow,"Easy come, Easy go!",243.4,0.0008764129015617073,0.0005103270523250103,0.0014615508262068033,0.0006031571538187563,-18.24,5.0,122,1.18,
7,afterglow,Sasanqua,236.8,0.0007180208922363818,0.0004488005652092397,0.001245486899279058,0.0003230463189538568,-18.67,5.0,119,1.15,
8,afterglow,RED RED RED,224.37,0.0010693370131775737,0.0006195426103658974,0.0020277919247746468,0.0007434001890942454,-20.1,5.0,113,1.1,
9,afterglow,ONE OF US,,,,,,-22.42,5.0,,1.43,
10,afterglow,Y.O.L.O!!!!!,270.93,0.000979298958554864,0.0005541424034163356,0.0019015679135918617,0.001018896815367043,-19.56,5.0,136,1.39,
11,afterglow,Scarlet Sky,229.0,0.0006335368379950523,0.00044382555643096566,0.0009739641100168228,0.00022647646255791187,-16.9,5.0,115,1.07,
12,afterglow,Off we go.,251.83,0.0007473917794413865,0.0005062023410573602,0.0013065125094726682,0.0003797883982770145,-19.41,5.0,126,1.14,
13,afterglow,いつも通りのBrand new days,237.33,0.0009997593006119132,0.0005422994145192206,0.0020291695836931467,0.0007796913268975914,-19.67,5.0,119,1.07,
14,afterglow,SWITCH ON NOW,207.33,0.000723554752767086,0.0004425812803674489,0.0014190240763127804,0.0008014498744159937,-17.65,5.0,104,0.98,
15,afterglow,ランブリングメモリー,325.03,0.0008271105471067131,0.0004981209058314562,0.0015706077683717012,0.00041315125417895615,-20.4,5.0,163,1.47,
16,afterglow,COMIC PANIC!!!,280.5,0.0008307036478072405,0.0004112794704269618,0.0014265034114941955,0.000496279972139746,-19.04,5.0,141,1.34,
17,afterglow,Trouble Joyful!!,237.93,0.0006927463691681623,0.0003761515545193106,0.0014798245392739773,0.0005658278823830187,-18.45,5.0,119,1.05,
18,afterglow,Jamboree!Journey!,259.8,0.0008885950082913041,0.000492983206640929,0.001484961248934269,0.00046855720574967563,-20.14,5.0,130,1.08,
19,afterglow,カナユメ,307.47,0.0008973427466116846,0.0004720692813862115,0.0016343070892617106,0.0005172426463104784,-18.33,5.0,154,1.33,
20,afterglow,独創収差,,,,,,-22.97,5.0,,1.18,
21,afterglow,極彩色,238.6,0.0007322088931687176,0.0004110732115805149,0.0014155360404402018,0.0010164239211007953,-19.14,5.0,120,1.07,
22,afterglow,サクラゼンセン,249.33,0.000890989089384675,0.0005370671860873699,0.0018393222708255053,0.0006780910189263523,-19.03,5.0,125,1.1,
23,afterglow,True color,253.33,0.0006577569874934852,0.0003573931462597102,0.0011021376121789217,0.00032385674421675503,-18.0,5.0,127,1.12,
24,afterglow,Crow Song,,,,,,-19.24,5.0,,1.09,
25,afterglow,カサブタ,196.67,0.0007701286231167614,0.00047118813381530344,0.001689233584329486,0.0007770603988319635,-18.19,5.0,99,0.92,
26,afterglow,アイのシナリオ,259.83,0.000950260553508997,0.0005755386664532125,0.0018815300427377224,0.0010085314279422164,-19.88,5.0,130,1.13,
27,afterglow,Northern lights,209.1,0.0009405653108842671,0.0005081366980448365,0.0022246302105486393,0.0006916234269738197,-17.99,5.0,105,0.84,
28,afterglow,トーキョーワンダー。,153.77,0.0017212830716744065,0.0006674418109469116,0.004546049982309341,0.0027315460611134768,-21.57,5.0,77,0.67,
29,afterglow,Reach Out To The Truth,171.47,0.0006980524631217122,0.0003757986123673618,0.0013742445735260844,0.0005683057243004441,-17.85,5.0,86,0.94,
30,afterglow,Listen!!,227.47,0.0009478022111579776,0.000499430694617331,0.0019217629451304674,0.000690438668243587,-19.13,5.0,114,1.07,
31,afterglow,青い栞,336.8,0.000722493336070329,0.00040786710451357067,0.0014571911888197064,0.0007857230375520885,-21.5,5.0,169,1.29,
32,afterglow,イマジネーション,177.97,0.000867141701746732,0.0005404837429523468,0.0016143842367455363,0.0006551106926053762,-20.67,5.0,89,0.83,
33,afterglow,Butter-Fly,,,,,,-17.09,5.0,,1.1,
34,afterglow,燦々,194.9,0.0008511382038705051,0.00048445220454595983,0.0016271955100819468,0.0004927580594085157,-18.46,5.0,98,0.88,
35,afterglow,That's why I'm here.,261.87,0.000935783376917243,0.00048096870887093246,0.0020481878891587257,0.000639116857200861,-19.25,5.0,131,1.2,
36,afterglow,IGNITE GLOW,267.37,0.0010980273364111781,0.0005307167302817106,0.002040492370724678,0.0006003202288411558,-18.97,5.0,134,1.26,
37,afterglow,ペトリコール・オベーション,219.13,0.0010192431509494781,0.0005476115038618445,0.0017874983604997396,0.0005071785417385399,-18.09,5.0,110,1.01,
38,afterglow,Made My Day,243.97,0.0009582974016666412,0.0005031926557421684,0.00170978216920048,0.000541580084245652,-16.51,5.0,122,1.04,
39,afterglow,Glowing After,254.49,0.0011519941035658121,0.0005477746017277241,0.002448389772325754,0.0010718816192820668,-20.05,5.0,128,1.1,
40,afterglow,A Sunset So Bright,231.11,0.0008479033131152391,0.00040421891026198864,0.0014912968035787344,0.0004979658988304436,-15.97,5.0,116,1.07,
41,afterglow,Start as Usual,,,,,,-17.49,5.0,,1.29,
42,afterglow,“Say cheese!!!!!”,261.07,0.0009906094055622816,0.0004910149145871401,0.0018895389512181282,0.000684238679241389,-16.54,5.0,131,1.28,
43,afterglow,花笑みのデュオ,,,,,,-17.68,5.0,,1.12,
44,afterglow,READY STEADY GO (Cover),221.33,0.0009339177631773055,0.00048637480358593166,0.001609544618986547,0.0012686779955402017,-18.19,5.0,111,1.06,
45,afterglow,abnormalize (Cover),219.03,0.0009820320410653949,0.00043414655374363065,0.0023736637085676193,0.001364428666420281,-19.21,5.0,110,0.95,
46,afterglow,メンタルチェンソー (Cover),177.4,0.0008844587136991322,0.00039972321246750653,0.0016657619271427393,0.0005898395902477205,-19.15,5.0,89,0.84,
47,afterglow,Bunny Girl (Cover),217.23,0.0007194171193987131,0.00041195470839738846,0.0014903061091899872,0.0005030785105191171,-21.8,5.0,109,1.0,
48,afterglow,オレンジ (Cover),235.6,0.0008961411076597869,0.0004087808192707598,0.001897093839943409,0.0008053927449509501,-19.96,5.0,118,1.03,
49,afterglow,カゲロウデイズ (Cover),233.71,0.0007435553707182407,0.00040843692841008306,0.0015769677702337503,0.0008893255144357681,-21.21,5.0,117,0.99,
