idx,band,song,duration_sec,speech_median,speech_p10,speech_p90,speech_std,n_frames,error,vad_speech_ratio,vad_n_frames,vad_error
0,afterglow,ON YOUR MARK,241.63333333333333,0.0608871728181839,0.0099115911871194,0.2614924311637878,0.1101464629173278,482,,0.2401158366471519,29,
1,afterglow,That Is How I Roll!,239.6,0.0636275708675384,0.0077929538674652,0.2171059399843216,0.0874715000391006,478,,0.3168614357262104,36,
2,afterglow,SENSENFUKOKU,246.53333333333333,0.0791971608996391,0.0141922198235988,0.2310066521167755,0.0923694968223571,492,,0.0764196734012179,22,
3,afterglow,I knew it!,291.3,0.0668896362185478,0.009658976458013,0.2257406413555145,0.0865757390856742,581,,0.1877102643323034,40,
4,afterglow,ツナグ、ソラモヨウ,248.9333333333333,0.0633150860667228,0.0068842628970742,0.2471375912427902,0.0982225090265274,496,,0.0976164807149703,52,
5,afterglow,Hey-day狂騒曲(カプリチオ),233.70231292517008,0.066951222717762,0.0091573884710669,0.2450006604194641,0.0890735685825347,466,,0.2823249769939697,27,
6,afterglow,"Easy come, Easy go!",243.4,0.0526451803743839,0.0057698283344507,0.2430542111396789,0.1026999950408935,485,,0.1984387838948233,37,
7,afterglow,Sasanqua,236.80231292517007,0.0505071282386779,0.0047523351386189,0.2213507443666458,0.0913327783346176,472,,0.0913842427108899,34,
8,afterglow,RED RED RED,224.36666666666667,0.0684771537780761,0.0072309980168938,0.2165960967540741,0.0869705751538276,447,,0.0664982853125199,29,
9,afterglow,ONE OF US,282.3,0.0940331071615219,0.0243847891688346,0.2623534500598907,0.1020921841263771,563,,0.0783563584838823,25,
10,afterglow,Y.O.L.O!!!!!,270.93333333333334,0.0937601998448371,0.0131432097405195,0.271421879529953,0.1095784157514572,540,,0.1620324553960913,43,
11,afterglow,Scarlet Sky,229.0,0.0545439980924129,0.0076396209187805,0.1848679780960083,0.0786767154932022,457,,0.4863755458515282,17,
12,afterglow,Off we go.,251.8333333333333,0.0631847977638244,0.0084910178557038,0.2248644232749939,0.0905740186572074,502,,0.3079814182691234,27,
13,afterglow,いつも通りのBrand new days,237.3333333333333,0.0779084339737892,0.0141214421018958,0.2398562282323837,0.0875071287155151,473,,0.1431741321674627,23,
14,afterglow,SWITCH ON NOW,207.3333333333333,0.0663212239742279,0.0063804714009165,0.2443675547838211,0.0974414050579071,413,,0.226398668328242,33,
15,afterglow,ランブリングメモリー,325.03333333333336,0.0561996586620807,0.0063150832429528,0.2125010192394256,0.0938416570425033,649,,0.0223976999285074,28,
16,afterglow,COMIC PANIC!!!,280.5,0.1218415200710296,0.0161829926073551,0.321970671415329,0.122058592736721,560,,0.1047415329768272,50,
17,afterglow,Trouble Joyful!!,237.9333333333333,0.0854946672916412,0.0140068875625729,0.2906820774078369,0.1102174296975135,474,,0.2356121750469013,33,
18,afterglow,Jamboree!Journey!,259.8,0.0821775943040847,0.0134691968560218,0.2375736981630325,0.0884703248739242,518,,0.1608929946112395,37,
19,afterglow,カナユメ,307.46666666666664,0.0613674819469451,0.0093311453238129,0.2314750254154205,0.0943687036633491,613,,0.0511925377281725,27,
20,afterglow,独創収差,276.3,0.0588974021375179,0.0103992857038974,0.2260024100542068,0.0969654768705368,551,,0.1773434672457471,31,
21,afterglow,極彩色,238.6,0.0617326349020004,0.0078025991097092,0.219734251499176,0.0965078249573707,476,,0.5135792120704108,22,
22,afterglow,サクラゼンセン,249.3333333333333,0.0766149759292602,0.0086208712309598,0.2323171496391296,0.0905498787760734,497,,0.4140641019277905,27,
23,afterglow,True color,253.3333333333333,0.0563845187425613,0.0088623370975255,0.2110724002122879,0.0852878838777542,505,,0.2387368028393416,33,
24,afterglow,Crow Song,244.2,0.0448824800550937,0.0076280096545815,0.1778381317853927,0.0732450559735298,487,,0.0551187551187551,32,
25,afterglow,カサブタ,196.66666666666663,0.065502144396305,0.0127888638526201,0.2174592018127441,0.0829976648092269,392,,0.0,31,
26,afterglow,アイのシナリオ,259.8333333333333,0.0770693570375442,0.0095509933307766,0.2448418140411377,0.0952658727765083,518,,0.3692366309755243,47,
27,afterglow,Northern lights,209.1,0.0718007311224937,0.0128806820139288,0.2460430562496185,0.0991811752319336,417,,0.178861788617886,25,
28,afterglow,トーキョーワンダー。,153.76666666666668,0.0754400044679641,0.0140763819217681,0.2325249910354614,0.0874196663498878,306,,0.2178625328063986,20,
29,afterglow,Reach Out To The Truth,171.46666666666667,0.0886909663677215,0.0217120945453643,0.2531043589115143,0.0893139019608497,341,,0.2631414921338584,14,
30,afterglow,Listen!!,227.46666666666667,0.0620610602200031,0.0115273892879486,0.2327258586883545,0.0922682136297226,453,,0.2457502705753342,30,
31,afterglow,青い栞,336.8,0.0769842118024826,0.0083296438679099,0.2522822022438049,0.0985315665602684,672,,0.234857482185273,67,
32,afterglow,イマジネーション,177.96666666666667,0.1045858412981033,0.0157421771436929,0.3355844914913177,0.129653200507164,354,,0.2460010950083003,21,
33,afterglow,Butter-Fly,250.2,0.0450482480227947,0.0062656346708536,0.168037012219429,0.0681099370121955,499,,0.2019184652278177,24,
34,afterglow,燦々,194.9,0.0556374192237854,0.0113259628415107,0.2068896442651748,0.0907312408089637,388,,0.2448435094920472,20,
35,afterglow,That's why I'm here.,261.8666666666667,0.0645667612552642,0.0091133872047066,0.2048002481460571,0.0874286368489265,522,,0.4254836728707619,49,
36,afterglow,IGNITE GLOW,267.3666666666667,0.0717904716730117,0.0106037547811865,0.2182157784700393,0.0881995782256126,533,,0.1336740950571862,40,
37,afterglow,ペトリコール・オベーション,219.13333333333333,0.0681823343038559,0.013374944217503,0.1993033587932586,0.0825315490365028,437,,0.2843930095084785,15,
38,afterglow,Made My Day,243.96666666666667,0.0501341968774795,0.006457494571805,0.1843975484371185,0.0806155428290367,486,,0.0573848837456548,21,
39,afterglow,Glowing After,254.4933333333333,0.0776608511805534,0.0117688793689012,0.2425700575113296,0.097753144800663,507,,0.2913238900619713,31,
40,afterglow,A Sunset So Bright,231.10666666666663,0.0309243891388177,0.0059134121984243,0.1720247417688369,0.0756286457180976,461,,0.1435700557129053,17,
41,afterglow,Start as Usual,276.26666666666665,0.0625992566347122,0.0101511999964714,0.2168141603469848,0.094804510474205,551,,0.6255549721317741,27,
42,afterglow,“Say cheese!!!!!”,261.06666666666666,0.0620506443083286,0.0086559178307652,0.2584419250488281,0.0983937680721283,521,,0.1355975376981025,30,
43,afterglow,花笑みのデュオ,250.30666666666667,0.065578743815422,0.0045906146988272,0.2379526644945144,0.0988043546676635,499,,0.1610823921753986,40,
44,afterglow,READY STEADY GO (Cover),221.3333333333333,0.0481807775795459,0.0060352701693773,0.1746184229850769,0.0793989151716232,441,,0.0,19,
45,afterglow,abnormalize (Cover),219.03333333333333,0.0746541246771812,0.0114760370925068,0.2511289417743683,0.0957852005958557,437,,0.0887535974825753,62,
46,afterglow,メンタルチェンソー (Cover),177.39755102040817,0.076689712703228,0.0175583362579345,0.2749256491661072,0.1143388152122497,353,,0.1689989398811498,35,
47,afterglow,Bunny Girl (Cover),217.22666666666663,0.0799342468380928,0.0136132184416055,0.2453483492136001,0.0911745727062225,433,,0.576724717583331,39,
48,afterglow,オレンジ (Cover),235.6,0.0613279119133949,0.0065141036175191,0.2289423793554306,0.0964278727769851,470,,0.1241086587436333,17,
49,afterglow,カゲロウデイズ (Cover),233.70666666666668,0.054078783839941,0.0079614277929067,0.2023341655731201,0.0879576578736305,466,,0.4284002356586396,36,
50,afterglow,DAY×DAY (Cover),219.06666666666663,0.0850098207592964,0.0115424497053027,0.2392498403787613,0.0973789095878601,437,,0.3306755619792717,28,
51,afterglow,ロキ (Cover),230.03333333333333,0.0721908882260322,0.0124818058684468,0.2255207151174545,0.087860882282257,459,,0.1473699196910013,44,
52,afterglow,CHAINSAW BLOOD (Cover),203.12,0.0983046740293502,0.0127128604799509,0.2856744825839996,0.1044939085841178,405,,0.0721740842851516,24,
53,afterglow,チルドレンレコード (Re:boot) (Cover),189.70666666666668,0.0751443952322006,0.0112464670091867,0.243723452091217,0.0929529890418052,378,,0.5651882989101266,21,
54,afterglow,青のすみか (Cover),197.4,0.061123851686716,0.0076952534727752,0.2264794409275055,0.0916236639022827,393,,0.3012158054711247,22,
55,afterglow,GO!!! (Cover),239.66666666666663,0.1125637590885162,0.0171684082597494,0.2663852274417877,0.0985117256641388,478,,0.0459805245149057,26,
56,afterglow,天ノ弱 (Cover),187.76666666666668,0.0707379952073097,0.0077711082994937,0.2260403484106063,0.088467851281166,374,,0.4027338448946115,21,
57,afterglow,アスノヨゾラ哨戒班 (Cover),192.03333333333333,0.0601432509720325,0.0061729438602924,0.2466964125633239,0.0994118601083755,383,,0.2564137614099633,12,
58,afterglow,瞬間センチメンタル (Cover),230.9333333333333,0.0724614560604095,0.0079016089439392,0.2499005794525146,0.0972668156027793,460,,0.0976039084865928,34,
59,afterglow,プライド革命 (Cover),238.53333333333333,0.0850421637296676,0.00918919313699,0.2749692797660827,0.1064822450280189,476,,0.2606763099712986,26,
60,afterglow,命に嫌われている。 (Cover),274.1,0.0741012468934059,0.0153539320454001,0.2438331097364425,0.0993857011198997,547,,0.334184604159066,17,
61,afterglow,Redo (Cover),261.56666666666666,0.0769049003720283,0.0072094993665814,0.2103853821754455,0.082009918987751,522,,0.1141582679560447,41,
62,afterglow,インフェルノ (Cover),214.16666666666663,0.077574498951435,0.0133597757667303,0.2104733884334564,0.0852264761924743,427,,0.3944591055973631,19,
63,afterglow,ドラマツルギー (Cover),238.6,0.0970053672790527,0.0158951543271541,0.2537527680397033,0.0919370278716087,476,,0.3888516345347863,36,
64,afterglow,COLORS (Cover),218.8,0.0721894949674606,0.0107612153515219,0.2147481739521026,0.0821609795093536,436,,0.2795246800731262,24,
65,afterglow,午夜の待ち合わせ (Cover),171.53333333333333,0.0710512921214103,0.0103814154863357,0.2407155781984329,0.1003689542412757,342,,0.2201320879974523,19,
66,afterglow,サムライハート（Some Like It Hot!!） (Cover),190.63333333333333,0.1268771588802337,0.0233070757240057,0.3174912333488464,0.1138675734400749,380,,0.1884245085625746,28,
67,afterglow,ベノム (Cover),198.5,0.071797639131546,0.0121413208544254,0.2047707438468933,0.0834468305110931,396,,0.2546095717884131,30,
68,afterglow,Don't say “lazy” (Cover),275.6666666666667,0.0614631213247776,0.0117008192464709,0.184700921177864,0.0712809711694717,550,,0.1366868095006944,28,
