idx,vad_speech_ratio,vad_n_frames,vad_error
0,0.0,29,
1,0.0,36,
2,0.0,22,
3,0.0,40,
4,0.0,52,
5,0.0,28,
6,0.0,37,
7,0.0,34,
8,0.0,29,
9,0.0,25,
10,0.0,43,
11,0.0,17,
12,0.0,27,
13,0.0,23,
14,0.0,33,
15,0.0,28,
16,0.0,50,
17,0.0,33,
18,0.0,37,
19,0.0,27,
20,0.0,31,
21,0.0,22,
22,0.0,27,
23,0.0,33,
25,0.0,31,
24,0.0,32,
26,0.0,47,
27,0.0,25,
28,0.0,20,
29,0.0,14,
30,0.0,31,
31,0.0,67,
32,0.0,21,
33,0.0,24,
34,0.0,20,
35,0.0,49,
36,0.0,40,
37,0.0,15,
38,0.0,21,
39,0.0,31,
40,0.0,17,
42,0.0,30,
41,0.0,27,
43,0.0,40,
44,0.0,19,
45,0.0,63,
46,0.0,35,
48,0.0,17,
47,0.0,39,
49,0.0,36,
50,0.0,28,
51,0.0,44,
52,0.0,24,
54,0.0,22,
53,0.0,23,
55,0.0,26,
56,0.0,21,
57,0.0,12,
58,0.0,34,
59,0.0,26,
60,0.0,17,
61,0.0,41,
62,0.0,19,
63,0.0,36,
64,0.0,24,
65,0.0,19,
66,0.0,28,
67,0.0,30,
68,0.0,28,
69,0.0,11,
70,0.0,24,
71,0.0,41,
72,0.0,11,
73,0.0,38,
74,0.0,33,
75,0.0,36,
76,0.0,38,
77,0.0,36,
78,0.0,27,
79,0.0,17,
80,0.0,39,
81,0.0,40,
82,0.0,28,
83,0.0,32,
84,0.0,23,
85,0.0,30,
86,0.0,29,
88,0.0,29,
87,0.0,21,
90,0.0,53,
89,0.0,17,
91,0.0,32,
92,0.0,28,
93,0.0,27,
94,0.0,36,
95,0.0,22,
96,0.0,37,
97,0.0,33,
98,0.0,19,
99,0.0,39,
100,0.0,33,
101,0.0,31,
102,0.0,13,
103,0.0,10,
104,0.0,26,
105,0.0,54,
106,0.0,26,
107,0.0,31,
108,0.0,40,
109,0.0,42,
110,0.0,35,
111,0.0,30,
112,0.0,46,
113,0.0,30,
114,0.0,26,
115,0.0,40,
116,0.0,47,
117,0.0,33,
118,0.0,31,
119,0.0,57,
120,0.0,36,
121,0.0,28,
122,0.0,44,
123,0.0,50,
125,0.0,37,
124,0.0,42,
127,0.0,28,
126,0.0,32,
128,0.0,22,
129,0.0,31,
130,0.0,45,
131,0.0,44,
132,0.0,25,
133,0.0,34,
134,0.0,54,
135,0.0,20,
136,0.0,22,
137,0.0,73,
138,0.0,34,
139,0.0,27,
140,0.0,29,
141,0.0,37,
142,0.0,48,
143,0.0,27,
144,0.0,21,
145,0.0,44,
146,0.0,35,
147,0.0,23,
148,0.0,56,
149,0.0,28,
150,0.0,34,
151,0.0,37,
152,0.0,14,
153,0.0,38,
154,0.0,39,
155,0.0,26,
156,0.0,34,
157,0.0,25,
159,0.0,24,
158,0.0,22,
160,0.0,56,
161,0.0,38,
162,0.0,43,
163,0.0,38,
164,0.0,29,
165,0.0,38,
166,0.0,46,
167,0.0,25,
168,0.0,54,
169,0.0,35,
171,0.0,44,
170,0.0,42,
173,0.0,47,
172,0.0,45,
174,0.0,26,
175,0.0,33,
176,0.0,50,
177,0.0,42,
178,0.0,31,
179,0.0,36,
181,0.0,44,
180,0.0,44,
182,0.0,40,
183,0.0,40,
184,0.0,43,
185,0.0,17,
186,0.0,28,
187,0.0,16,
188,0.0,35,
189,0.0,31,
190,0.0,17,
191,0.0,44,
192,0.0,15,
193,0.0,28,
194,0.0,30,
195,0.0,25,
196,0.0,42,
197,0.0,30,
198,0.0,32,
199,0.0,58,
200,0.0,20,
201,0.0,41,
202,0.0,34,
203,0.0,27,
204,0.0,23,
205,0.0,41,
206,0.0,43,
207,0.0,34,
208,0.0,15,
209,0.0,23,
210,0.0,36,
211,0.0,29,
212,0.0,15,
213,0.0,21,
214,0.0,27,
215,0.0,16,
216,0.0,25,
217,0.0,25,
218,0.0,41,
219,0.0,19,
220,0.0,25,
221,0.0,42,
222,0.0,51,
223,0.0,28,
224,0.0,35,
225,0.0,46,
226,0.0,24,
227,0.0,19,
228,0.0,42,
229,0.0,60,
230,0.0,37,
231,0.0,29,
232,0.0,29,
233,0.0,44,
234,0.0,26,
235,0.0,50,
236,0.0,26,
237,0.0,47,
238,0.0,25,
239,0.0,35,
240,0.0,30,
242,0.0,27,
241,0.0,40,
243,0.0,24,
244,0.0,27,
246,0.0,42,
245,0.0,72,
247,0.0,23,
248,0.0,30,
249,0.0,22,
250,0.0,32,
251,0.0,53,
252,0.0,34,
253,0.0,26,
254,0.0,28,
255,0.0,18,
256,0.0,23,
257,0.0,24,
258,0.0,29,
259,0.0,31,
260,0.0,20,
261,0.0,18,
262,0.0,42,
263,0.0,29,
264,0.0,32,
265,0.0,30,
266,0.0,34,
267,0.0,41,
268,0.0,33,
269,0.0,28,
270,0.0,19,
271,0.0,26,
272,0.0,49,
273,0.0,21,
274,0.0,33,
275,0.0,24,
276,0.0,30,
278,0.0,15,
277,0.0,26,
280,0.0,23,
279,0.0,35,
281,0.0,57,
282,0.0,30,
283,0.0,41,
284,0.0,52,
285,0.0,24,
286,0.0,34,
288,0.0,17,
287,0.0,22,
290,0.0,21,
289,0.0,31,
292,0.0,23,
291,0.0,56,
293,0.0,39,
294,0.0,28,
295,0.0,15,
296,0.0,26,
297,0.0,20,
298,0.0,37,
299,0.0,16,
300,0.0,14,
301,0.0,30,
302,0.0,17,
303,0.0,28,
304,0.0,24,
305,0.0,20,
306,0.0,44,
307,0.0,22,
308,0.0,24,
309,0.0,14,
310,0.0,31,
311,0.0,49,
312,0.0,32,
313,0.0,32,
314,0.0,36,
315,0.0,38,
316,0.0,23,
317,0.0,29,
318,0.0,19,
319,0.0,14,
320,0.0,26,
321,0.0,18,
322,0.0,43,
323,0.0,30,
324,0.0,15,
325,0.0,29,
326,0.0,38,
327,0.0,30,
328,0.0,24,
329,0.0,46,
330,0.0,37,
331,0.0,16,
332,0.0,29,
333,0.0,37,
334,0.0,21,
335,0.0,27,
336,0.0,36,
338,0.0,26,
337,0.0,32,
340,0.0,25,
339,0.0,18,
342,0.0,42,
341,0.0,52,
343,0.0,16,
344,0.0,43,
345,0.0,15,
346,0.0,44,
347,0.0,27,
348,0.0,36,
349,0.0,38,
350,0.0,49,
351,0.0,28,
352,0.0,57,
353,0.0,29,
354,0.0,24,
355,0.0,20,
356,0.0,14,
357,0.0,15,
358,0.0,25,
359,0.0,21,
360,0.0,46,
361,0.0,26,
362,0.0,36,
363,0.0,21,
364,0.0,53,
365,0.0,32,
366,0.0,38,
367,0.0,37,
368,0.0,15,
370,0.0,48,
369,0.0,42,
371,0.0,48,
372,0.0,32,
373,0.0,28,
374,0.0,49,
375,0.0,40,
376,0.0,21,
377,0.0,26,
378,0.0,26,
379,0.0,39,
380,0.0,30,
381,0.0,34,
382,0.0,29,
383,0.0,34,
384,0.0,24,
385,0.0,29,
386,0.0,29,
387,0.0,28,
388,0.0,34,
389,0.0,28,
390,0.0,24,
391,0.0,26,
392,0.0,38,
393,0.0,30,
394,0.0,32,
395,0.0,36,
396,0.0,14,
397,0.0,26,
398,0.0,35,
399,0.0,31,
400,0.0,68,
401,0.0,33,
402,0.0,37,
403,0.0,33,
404,0.0,30,
405,0.0,23,
406,0.0,24,
407,0.0,29,
408,0.0,41,
409,0.0,27,
410,0.0,33,
411,0.0,35,
412,0.0,44,
414,0.0,24,
413,0.0,33,
415,0.0,27,
416,0.0,14,
417,0.0,19,
418,0.0,31,
420,0.0,30,
419,0.0,58,
421,0.0,29,
422,0.0,18,
424,0.0,41,
423,0.0,28,
425,0.0,26,
426,0.0,30,
428,0.0,40,
427,0.0,49,
429,0.0,25,
430,0.0,18,
431,0.0,32,
432,0.0,15,
433,0.0,60,
434,0.0,38,
435,0.0,16,
436,0.0,28,
437,0.0,30,
438,0.0,56,
439,0.0,30,
440,0.0,33,
441,0.0,25,
442,0.0,17,
443,0.0,40,
444,0.0,22,
445,0.0,20,
446,0.0,28,
447,0.0,25,
448,0.0,31,
449,0.0,35,
450,0.0,46,
451,0.0,31,
452,0.0,21,
453,0.0,25,
454,0.0,30,
455,0.0,20,
456,0.0,26,
457,0.0,39,
458,0.0,16,
459,0.0,38,
460,0.0,52,
461,0.0,37,
462,0.0,31,
463,0.0,29,
464,0.0,43,
465,0.0,19,
466,0.0,31,
467,0.0,45,
468,0.0,28,
469,0.0,52,
470,0.0,17,
471,0.0,26,
472,0.0,31,
473,0.0,21,
474,0.0,42,
475,0.0,39,
476,0.0,13,
477,0.0,36,
478,0.0,35,
479,0.0,47,
480,0.0,30,
481,0.0,40,
482,0.0,21,
483,0.0,27,
484,0.0,30,
485,0.0,49,
486,0.0,30,
487,0.0,30,
488,0.0,35,
489,0.0,26,
490,0.0,21,
492,0.0,25,
491,0.0,36,
493,0.0,32,
494,0.0,29,
495,0.0,23,
496,0.0,33,
497,0.0,20,
498,0.0,17,
499,0.0,39,
500,0.0,44,
501,0.0,22,
502,0.0,52,
504,0.0,24,
503,0.0,33,
505,0.0,37,
506,0.0,19,
507,0.0,42,
508,0.0,27,
509,0.0,51,
510,0.0,26,
511,0.0,35,
512,0.0,28,
513,0.0,26,
514,0.0,42,
515,0.0,33,
516,0.0,66,
518,0.0,35,
517,0.0,42,
520,0.0,13,
519,0.0,63,
521,0.0,40,
522,0.0,47,
523,0.0,24,
524,0.0,49,
526,0.0,57,
527,0.0,77,
528,0.0,35,
529,0.0,24,
530,0.0,32,
531,0.0,22,
532,0.0,27,
533,0.0,32,
534,0.0,36,
535,0.0,39,
536,0.0,27,
537,0.0,34,
538,0.0,16,
539,0.0,26,
540,0.0,39,
541,0.0,20,
542,0.0,22,
543,0.0,50,
544,0.0,28,
545,0.0,37,
546,0.0,41,
547,0.0,41,
548,0.0,26,
549,0.0,31,
550,0.0,23,
551,0.0,35,
552,0.0,33,
553,0.0,33,
554,0.0,28,
555,0.0,22,
556,0.0,20,
557,0.0,19,
558,0.0,52,
559,0.0,36,
560,0.0,27,
561,0.0,22,
562,0.0,26,
563,0.0,29,
564,0.0,31,
565,0.0,32,
566,0.0,27,
567,0.0,50,
568,0.0,77,
569,0.0,19,
571,0.0,27,
570,0.0,27,
572,0.0,18,
573,0.0,16,
574,0.0,43,
575,0.0,28,
576,0.0,20,
577,0.0,34,
578,0.0,21,
579,0.0,28,
581,0.0,26,
580,0.0,39,
582,0.0,24,
583,0.0,31,
584,0.0,49,
585,0.0,22,
586,0.0,23,
587,0.0,19,
589,0.0,25,
590,0.0,28,
591,0.0,16,
592,0.0,33,
593,0.0,30,
594,0.0,35,
595,0.0,19,
596,0.0,23,
597,0.0,37,
598,0.0,30,
599,0.0,37,
600,0.0,40,
601,0.0,41,
602,0.0,27,
604,0.0,38,
603,0.0,34,
605,0.0,69,
606,0.0,21,
607,0.0,17,
608,0.0,18,
609,0.0,51,
610,0.0,38,
611,0.0,20,
612,0.0,23,
613,0.0,19,
614,0.0,19,
615,0.0,30,
616,0.0,26,
617,0.0,20,
618,0.0,31,
619,0.0,26,
620,0.0,30,
621,0.0,25,
622,0.0,22,
623,0.0,52,
624,0.0,51,
625,0.0,34,
626,0.0,21,
627,0.0,25,
628,0.0,26,
629,0.0,40,
630,0.0,28,
631,0.0,14,
632,0.0,30,
633,0.0,34,
635,0.0,34,
634,0.0,47,
637,0.0,41,
636,0.0,33,
638,0.0,15,
639,0.0,39,
640,0.0,30,
641,0.0,31,
642,0.0,30,
643,0.0,34,
644,0.0,27,
645,0.0,28,
646,0.0,46,
647,0.0,29,
648,0.0,40,
649,0.0,35,
650,0.0,35,
651,0.0,25,
652,0.0,18,
653,0.0,26,
654,0.0,32,
655,0.0,43,
656,0.0,19,
657,0.0,56,
658,0.0,30,
659,0.0,18,
660,0.0,35,
661,0.0,18,
662,0.0,23,
