idx,band,song,duration_sec,speech_median,speech_p10,speech_p90,speech_std,n_frames,error,vad_speech_ratio,vad_n_frames,vad_error
0,afterglow,ON YOUR MARK,241.63333333333333,0.0608871728181839,0.009911591187119484,0.26149243116378784,0.11014646291732788,482,,,,
1,afterglow,That Is How I Roll!,239.6,0.06362757086753845,0.007792953867465258,0.2171059399843216,0.08747150003910065,478,,,,
2,afterglow,SENSENFUKOKU,246.53333333333333,0.07919716089963913,0.014192219823598862,0.2310066521167755,0.09236949682235718,492,,,,
3,afterglow,I knew it!,,,,,,,no_stem,,,
4,afterglow,ツナグ、ソラモヨウ,,,,,,,no_stem,,,
5,afterglow,Hey-day狂騒曲(カプリチオ),,,,,,,no_stem,,,
6,afterglow,"Easy come, Easy go!",,,,,,,no_stem,,,
7,afterglow,Sasanqua,,,,,,,no_stem,,,
8,afterglow,RED RED RED,,,,,,,no_stem,,,
9,afterglow,ONE OF US,,,,,,,no_stem,,,
10,afterglow,Y.O.L.O!!!!!,,,,,,,no_stem,,,
11,afterglow,Scarlet Sky,,,,,,,no_stem,,,
12,afterglow,Off we go.,,,,,,,no_stem,,,
13,afterglow,いつも通りのBrand new days,,,,,,,no_stem,,,
14,afterglow,SWITCH ON NOW,,,,,,,no_stem,,,
15,afterglow,ランブリングメモリー,,,,,,,no_stem,,,
16,afterglow,COMIC PANIC!!!,,,,,,,no_stem,,,
17,afterglow,Trouble Joyful!!,,,,,,,no_stem,,,
18,afterglow,Jamboree!Journey!,,,,,,,no_stem,,,
19,afterglow,カナユメ,,,,,,,no_stem,,,
20,afterglow,独創収差,,,,,,,no_stem,,,
21,afterglow,極彩色,,,,,,,no_stem,,,
22,afterglow,サクラゼンセン,,,,,,,no_stem,,,
23,afterglow,True color,,,,,,,no_stem,,,
24,afterglow,Crow Song,,,,,,,no_stem,,,
25,afterglow,カサブタ,,,,,,,no_stem,,,
26,afterglow,アイのシナリオ,,,,,,,no_stem,,,
27,afterglow,Northern lights,,,,,,,no_stem,,,
28,afterglow,トーキョーワンダー。,,,,,,,no_stem,,,
29,afterglow,Reach Out To The Truth,,,,,,,no_stem,,,
30,afterglow,Listen!!,,,,,,,no_stem,,,
31,afterglow,青い栞,,,,,,,no_stem,,,
32,afterglow,イマジネーション,,,,,,,no_stem,,,
33,afterglow,Butter-Fly,,,,,,,no_stem,,,
34,afterglow,燦々,,,,,,,no_stem,,,
35,afterglow,That's why I'm here.,,,,,,,no_stem,,,
36,afterglow,IGNITE GLOW,,,,,,,no_stem,,,
37,afterglow,ペトリコール・オベーション,,,,,,,no_stem,,,
38,afterglow,Made My Day,,,,,,,no_stem,,,
39,afterglow,Glowing After,,,,,,,no_stem,,,
40,afterglow,A Sunset So Bright,,,,,,,no_stem,,,
41,afterglow,Start as Usual,,,,,,,no_stem,,,
42,afterglow,“Say cheese!!!!!”,,,,,,,no_stem,,,
43,afterglow,花笑みのデュオ,,,,,,,no_stem,,,
44,afterglow,READY STEADY GO (Cover),,,,,,,no_stem,,,
45,afterglow,abnormalize (Cover),,,,,,,no_stem,,,
46,afterglow,メンタルチェンソー (Cover),,,,,,,no_stem,,,
47,afterglow,Bunny Girl (Cover),,,,,,,no_stem,,,
48,afterglow,オレンジ (Cover),,,,,,,no_stem,,,
49,afterglow,カゲロウデイズ (Cover),,,,,,,no_stem,,,
50,afterglow,DAY×DAY (Cover),,,,,,,no_stem,,,
51,afterglow,ロキ (Cover),,,,,,,no_stem,,,
52,afterglow,CHAINSAW BLOOD (Cover),,,,,,,no_stem,,,
53,afterglow,チルドレンレコード (Re:boot) (Cover),,,,,,,no_stem,,,
54,afterglow,青のすみか (Cover),,,,,,,no_stem,,,
55,afterglow,GO!!! (Cover),,,,,,,no_stem,,,
56,afterglow,天ノ弱 (Cover),,,,,,,no_stem,,,
57,afterglow,アスノヨゾラ哨戒班 (Cover),,,,,,,no_stem,,,
58,afterglow,瞬間センチメンタル (Cover),,,,,,,no_stem,,,
59,afterglow,プライド革命 (Cover),,,,,,,no_stem,,,
60,afterglow,命に嫌われている。 (Cover),,,,,,,no_stem,,,
61,afterglow,Redo (Cover),,,,,,,no_stem,,,
62,afterglow,インフェルノ (Cover),,,,,,,no_stem,,,
63,afterglow,ドラマツルギー (Cover),,,,,,,no_stem,,,
64,afterglow,COLORS (Cover),,,,,,,no_stem,,,
65,afterglow,午夜の待ち合わせ (Cover),,,,,,,no_stem,,,
66,afterglow,サムライハート（Some Like It Hot!!） (Cover),,,,,,,no_stem,,,
67,afterglow,ベノム (Cover),,,,,,,no_stem,,,
68,afterglow,Don't say “lazy” (Cover),,,,,,,no_stem,,,
69,afterglow,Part of the Life,,,,,,,no_stem,,,
70,afterglow,Punchline Halloween!!!,,,,,,,no_stem,,,
71,afterglow,I love your way！,,,,,,,no_stem,,,
72,ave_mujica,KiLLKiSS,208.77242630385487,0.03387996181845665,0.0034179887734353542,0.15776924788951874,0.07041990756988525,416,,,,
73,ave_mujica,"Georgette Me, Georgette You",234.67909297052154,0.04825514554977417,0.00619342690333724,0.21728235483169556,0.09500768780708313,468,,,,
74,ave_mujica,Imprisoned XII,192.16834467120182,0.0359325036406517,0.00477996002882719,0.18921302258968353,0.08395250886678696,383,,,,
75,ave_mujica,Crucifix X,,,,,,,no_stem,,,
76,ave_mujica,八芒星ダンス,,,,,,,no_stem,,,
