idx,band,song,m1-band,m1-beat_count,m1-beat_interval_median_sec,m1-bpm_autocorr,m1-bpm_madmom,m1-duration_sec,m1-error,m1-extract_sec,m1-halftime_flag,m1-song,m2-band,m2-duration_sec,m2-error,m2-key_essentia,m2-key_ks,m2-key_ks_confidence,m2-key_mismatch,m2-mode_essentia,m2-mode_ks,m2-mode_only_mismatch,m2-modulation_flag,m2-song,m3-band,m3-mode,m3-song,m4-band,m4-duration_sec,m4-error,m4-extract_sec,m4-lra,m4-lufs_integrated,m4-mastering_flag,m4-song,m4-st_median,m4-st_p10,m4-st_p90,m4-st_std,m5-arousal_median,m5-arousal_p10,m5-arousal_p90,m5-arousal_std,m5-band,m5-duration_sec,m5-error,m5-n_patches,m5-song,m6-band,m6-duration_sec,m6-error,m6-extract_sec,m6-n_patches,m6-song,m6-valence_median,m6-valence_p10,m6-valence_p90,m6-valence_std,m7-band,m7-danceability_clf_prob,m7-danceability_norm,m7-dfa_alpha,m7-dfa_alpha_native,m7-duration_sec,m7-error,m7-song,m8-acoustic_median,m8-acoustic_p10,m8-acoustic_p90,m8-acoustic_std,m8-band,m8-duration_sec,m8-error,m8-extract_sec,m8-n_patches,m8-song,m9-band,m9-duration_sec,m9-error,m9-instr_stem_ratio,m9-n_patches,m9-song,m9-voice_median,m9-voice_p10,m9-voice_p90,m9-voice_std,m10-band,m10-crowd_median,m10-crowd_p10,m10-crowd_p90,m10-crowd_std,m10-duration_sec,m10-error,m10-extract_sec,m10-n_patches,m10-noise_floor_db,m10-rt60_est_sec,m10-song,m11-band,m11-duration_sec,m11-error,m11-n_frames,m11-song,m11-speech_median,m11-speech_p10,m11-speech_p90,m11-speech_std,m11-vad_error,m11-vad_n_frames,m11-vad_speech_ratio,m1-tempo_category
0,afterglow,ON YOUR MARK,afterglow,745.0,0.32,143.5546875,187.49999999999568,241.35,,13.1,False,ON YOUR MARK,afterglow,241.63,,D,A,0.474,True,major,major,False,True,ON YOUR MARK,afterglow,major,ON YOUR MARK,afterglow,241.63,,1.69,3.770731925964356,-9.591000373770155,0,ON YOUR MARK,-9.728347778320312,-11.921172142028809,-8.150440216064453,1.825531244277954,7.325271129608154,6.49779224395752,8.076416015625,0.6909206509590149,afterglow,241.6333125,,161,ON YOUR MARK,afterglow,241.63,,17.93,161,ON YOUR MARK,6.1423,5.5068,6.7398,0.6049,afterglow,1.0605199337005615,0.0,0.9429338574409484,,241.63,,ON YOUR MARK,0.0001733602257445,1.2964103461854393e-06,0.009149762801826,0.0624382719397544,afterglow,241.63,,21.93,161,ON YOUR MARK,afterglow,241.63,,0.713039,161.0,ON YOUR MARK,0.9691150188446044,0.1544609367847442,0.999858856201172,0.3297912180423736,afterglow,0.0008027019794099,0.0005090372287668,0.001352141262032,0.0004828111850656,241.63,,4.71,121.0,-18.45,5.0,ON YOUR MARK,afterglow,241.63333333333333,,482,ON YOUR MARK,0.0608871728181839,0.0099115911871194,0.2614924311637878,0.1101464629173278,,29,0.2401158366471519,fast
1,afterglow,That Is How I Roll!,afterglow,720.0,0.33,112.34714673913044,181.8181818181749,239.31,,12.44,False,That Is How I Roll!,afterglow,239.6,,D,D,0.381,False,major,major,False,True,That Is How I Roll!,afterglow,major,That Is How I Roll!,afterglow,239.6,,1.67,2.0572166442871094,-10.898394386020712,0,That Is How I Roll!,-10.853206634521484,-12.100350379943848,-10.043133735656738,1.1296402215957642,7.308801651000977,6.512436866760254,7.94495964050293,0.6132108569145203,afterglow,239.6,,160,That Is How I Roll!,afterglow,239.6,,18.17,160,That Is How I Roll!,6.4818,5.5478,7.2729,0.6482,afterglow,1.2154747247695925,0.6667,0.8227238059043884,,239.6,,That Is How I Roll!,0.0001630216429475,6.873449365230044e-06,0.0018833868671208,0.0055492427200078,afterglow,239.6,,7.06,160,That Is How I Roll!,afterglow,239.6,,0.701748,160.0,That Is How I Roll!,0.9988173246383668,0.6336851119995117,0.9999505281448364,0.1923864036798477,afterglow,0.0006780719850212,0.0003526122891344,0.0010961616644635,0.0002851936442311,239.6,,4.38,120.0,-18.52,5.0,That Is How I Roll!,afterglow,239.6,,478,That Is How I Roll!,0.0636275708675384,0.0077929538674652,0.2171059399843216,0.0874715000391006,,36,0.3168614357262104,fast
2,afterglow,SENSENFUKOKU,afterglow,821.0,0.3,129.19921875,200.0000000000007,246.27,,13.01,False,SENSENFUKOKU,afterglow,246.53,,D,F,0.438,False,minor,major,False,True,SENSENFUKOKU,afterglow,major,SENSENFUKOKU,afterglow,246.53,,1.7,3.447940826416016,-11.858243332506898,0,SENSENFUKOKU,-11.784549713134766,-14.052518844604492,-10.604578018188477,1.728872776031494,7.046791076660156,6.1222920417785645,7.738588809967041,0.6915765404701233,afterglow,246.5333125,,164,SENSENFUKOKU,afterglow,246.44,,19.61,164,SENSENFUKOKU,6.2307,5.2323,7.0977,0.8705,afterglow,1.121791124343872,0.3333,0.8914315700531006,,246.53,,SENSENFUKOKU,6.412989750970155e-05,1.540904349894845e-06,0.0024007100146263,0.1139436513185501,afterglow,246.53,,7.35,164,SENSENFUKOKU,afterglow,246.53,,0.5638,164.0,SENSENFUKOKU,0.9764816761016846,0.2007189393043518,0.999940037727356,0.3112026154994964,afterglow,0.0011175198014825,0.000513068283908,0.0021553949918597,0.0006264750263653,246.53,,4.56,124.0,-20.69,5.0,SENSENFUKOKU,afterglow,246.53333333333333,,492,SENSENFUKOKU,0.0791971608996391,0.0141922198235988,0.2310066521167755,0.0923694968223571,,22,0.0764196734012179,fast
3,afterglow,I knew it!,afterglow,970.0,0.3,80.74951171875,199.99999999999952,291.03,,23.38,False,I knew it!,afterglow,291.3,,A,A,0.552,False,major,major,False,True,I knew it!,afterglow,major,I knew it!,afterglow,291.3,,1.87,2.1129579544067383,-10.215912777307643,0,I knew it!,-10.286911964416504,-11.31188678741455,-9.198928833007812,4.940456390380859,7.406019687652588,6.443349838256836,8.165283203125,0.6970048546791077,afterglow,291.3,,194,I knew it!,afterglow,291.3,,3.75,194,I knew it!,6.1642,5.3251,7.1088,0.713,afterglow,1.0962086915969849,0.4757,0.9122349619865416,,291.3,,I knew it!,6.205514364410192e-05,1.364185891361558e-06,0.002452652901411,0.0100848339498043,afterglow,291.3,,3.61,194,I knew it!,afterglow,291.3,,0.760132,194.0,I knew it!,0.9169033765792848,0.3202983736991882,0.9986507296562196,0.2784841954708099,afterglow,0.0007414923748001,0.0004705059691332,0.0013996239285916,0.0004133586771786,291.3,,2.7,146.0,-17.26,5.0,I knew it!,afterglow,291.3,,581,I knew it!,0.0668896362185478,0.009658976458013,0.2257406413555145,0.0865757390856742,,40,0.1877102643323034,fast
4,afterglow,ツナグ、ソラモヨウ,afterglow,796.0,0.31,75.99954044117646,193.5483870967728,248.73,,19.84,False,ツナグ、ソラモヨウ,afterglow,248.93,,E,E,0.919,False,major,major,False,False,ツナグ、ソラモヨウ,afterglow,major,ツナグ、ソラモヨウ,afterglow,248.93,,1.68,2.944875717163086,-10.65753512695398,0,ツナグ、ソラモヨウ,-10.655477523803713,-12.550858497619627,-9.605982780456545,1.88161051273346,7.201624870300293,6.266544818878174,7.936986923217773,0.8949064612388611,afterglow,248.9333125,,166,ツナグ、ソラモヨウ,afterglow,248.93,,3.26,166,ツナグ、ソラモヨウ,6.6935,5.5541,7.3958,0.808,afterglow,1.0597883462905884,0.3222,0.943584680557251,,248.93,,ツナグ、ソラモヨウ,0.0007397577282972,5.767243783338927e-05,0.0349831469357013,0.1058616340160369,afterglow,248.93,,3.12,166,ツナグ、ソラモヨウ,afterglow,248.93,,0.572178,166.0,ツナグ、ソラモヨウ,0.9921858310699464,0.5798048377037048,0.999730944633484,0.2335809916257858,afterglow,0.0009775747312232,0.0004846279043704,0.0016489244299009,0.0008492688066326,248.93,,2.35,125.0,-19.54,5.0,ツナグ、ソラモヨウ,afterglow,248.9333333333333,,496,ツナグ、ソラモヨウ,0.0633150860667228,0.0068842628970742,0.2471375912427902,0.0982225090265274,,52,0.0976164807149703,fast
5,afterglow,Hey-day狂騒曲(カプリチオ),afterglow,616.0,0.38,129.19921875,157.89473684210716,233.42,,18.63,False,Hey-day狂騒曲(カプリチオ),afterglow,233.7,,D,A,0.229,True,minor,minor,False,False,Hey-day狂騒曲(カプリチオ),afterglow,minor,Hey-day狂騒曲(カプリチオ),afterglow,233.7,,1.67,3.506649971008301,-10.498236108310564,0,Hey-day狂騒曲(カプリチオ),-10.360638618469238,-12.698678970336914,-9.192028999328612,3.97688627243042,7.102724552154541,6.224211692810059,7.78797721862793,0.6719373464584351,afterglow,233.70225,,156,Hey-day狂騒曲(カプリチオ),afterglow,233.7,,17.08,156,Hey-day狂騒曲(カプリチオ),6.1304,4.787,7.1036,0.8822,afterglow,1.0809528827667236,0.4043,0.9251096248626708,,233.7,,Hey-day狂騒曲(カプリチオ),9.36821015784517e-06,1.3767318307600362e-07,0.0006643407978117,0.006947330199182,afterglow,233.7,,6.83,156,Hey-day狂騒曲(カプリチオ),afterglow,233.7,,0.67718,31.0,Hey-day狂騒曲(カプリチオ),0.9980377554893494,0.3061592578887939,0.9999171495437622,0.2785700261592865,afterglow,0.000760949391406,0.0003556350420694,0.0013675648951902,0.0004150353197474,233.7,,1.12,117.0,-19.97,5.0,Hey-day狂騒曲(カプリチオ),afterglow,233.70231292517008,,466,Hey-day狂騒曲(カプリチオ),0.066951222717762,0.0091573884710669,0.2450006604194641,0.0890735685825347,,27,0.2823249769939697,medium
6,afterglow,"Easy come, Easy go!",afterglow,677.0,0.44,287.109375,136.36363636363706,243.39,,19.27,True,"Easy come, Easy go!",afterglow,243.4,,D,D,0.843,False,major,major,False,False,"Easy come, Easy go!",afterglow,major,"Easy come, Easy go!",afterglow,243.4,,1.68,3.662099838256836,-10.725571232273822,0,"Easy come, Easy go!",-10.556795120239258,-13.198540687561035,-9.5364408493042,4.031495094299316,7.088780403137207,6.0282883644104,7.887293338775635,0.7742687463760376,afterglow,243.4,,162,"Easy come, Easy go!",afterglow,243.4,,6.68,162,"Easy come, Easy go!",5.9753,5.1945,6.9011,0.7261,afterglow,1.059688687324524,0.3207,0.9436734914779664,,243.4,,"Easy come, Easy go!",7.615111826453358e-05,9.029653824654816e-07,0.0046526775695383,0.0094420090317726,afterglow,243.4,,7.26,162,"Easy come, Easy go!",afterglow,243.4,,0.782983,162.0,"Easy come, Easy go!",0.8604950904846191,0.1164560690522193,0.998023509979248,0.3489455878734588,afterglow,0.0008764129015617,0.000510327052325,0.0014615508262068,0.0006031571538187,243.4,,1.18,122.0,-18.24,5.0,"Easy come, Easy go!",afterglow,243.4,,485,"Easy come, Easy go!",0.0526451803743839,0.0057698283344507,0.2430542111396789,0.1026999950408935,,37,0.1984387838948233,medium
7,afterglow,Sasanqua,afterglow,781.0,0.3,129.19921875,199.9999999999924,236.61,,18.98,False,Sasanqua,afterglow,236.8,,C#,C#,0.838,False,major,major,False,False,Sasanqua,afterglow,major,Sasanqua,afterglow,236.8,,1.65,2.5839624404907227,-11.008043906449016,0,Sasanqua,-11.01579475402832,-12.633615493774414,-10.049653053283691,1.783783793449402,6.81696891784668,5.770893573760986,7.460564136505127,0.7110052108764648,afterglow,236.80225,,158,Sasanqua,afterglow,236.8,,6.75,158,Sasanqua,5.8882,5.0872,6.4118,0.5024,afterglow,1.0360339879989624,0.2386,0.9652191996574402,,236.8,,Sasanqua,0.0015151342377066,6.0505619330797344e-05,0.0756116956472396,0.1256214827299118,afterglow,236.8,,7.1,158,Sasanqua,afterglow,236.8,,0.62186,158.0,Sasanqua,0.9925254583358764,0.8106396794319153,0.9997988343238832,0.149957463145256,afterglow,0.0007180208922363,0.0004488005652092,0.001245486899279,0.0003230463189538,236.8,,1.15,119.0,-18.67,5.0,Sasanqua,afterglow,236.80231292517007,,472,Sasanqua,0.0505071282386779,0.0047523351386189,0.2213507443666458,0.0913327783346176,,34,0.0913842427108899,fast
8,afterglow,RED RED RED,afterglow,703.0,0.32,117.45383522727272,187.500000000004,224.08,,17.85,False,RED RED RED,afterglow,224.37,,C#,C#,0.576,False,major,major,False,True,RED RED RED,afterglow,major,RED RED RED,afterglow,224.37,,1.05,2.318887710571289,-11.489530755418162,0,RED RED RED,-11.391728401184082,-12.86651611328125,-10.54762840270996,1.579951286315918,7.0161213874816895,5.54720401763916,7.715632915496826,0.8447364568710327,afterglow,224.366625,,149,RED RED RED,afterglow,224.37,,5.79,149,RED RED RED,5.8574,4.9632,6.4013,0.5575,afterglow,1.049700379371643,0.2842,0.952652871608734,,224.37,,RED RED RED,0.001173423603177,6.412679795175791e-05,0.1247309669852256,0.1705064624547958,afterglow,224.37,,6.59,149,RED RED RED,afterglow,224.37,,0.652337,149.0,RED RED RED,0.9853048920631408,0.5730205774307251,0.999821126461029,0.2037840038537979,afterglow,0.0010693370131775,0.0006195426103658,0.0020277919247746,0.0007434001890942,224.37,,1.1,113.0,-20.1,5.0,RED RED RED,afterglow,224.36666666666667,,447,RED RED RED,0.0684771537780761,0.0072309980168938,0.2165960967540741,0.0869705751538276,,29,0.0664982853125199,fast
9,afterglow,ONE OF US,afterglow,986.0,0.29,135.99917763157896,206.8965517241436,282.0,,22.99,False,ONE OF US,afterglow,282.3,,F,G,0.895,True,major,minor,False,False,ONE OF US,afterglow,minor,ONE OF US,afterglow,282.3,,1.39,3.240138053894043,-12.419653435622395,0,ONE OF US,-12.158843994140623,-14.548295974731444,-11.308157920837402,4.059150218963623,7.335694313049316,6.143275737762451,7.98610782623291,0.8535047173500061,afterglow,282.3,,188,ONE OF US,afterglow,282.3,,7.71,188,ONE OF US,6.3318,5.3412,7.0215,0.671,afterglow,1.0770437717437744,0.386,0.9284672141075134,,282.3,,ONE OF US,0.0001166679285233,2.5756626200745814e-06,0.0182935930788517,0.2266314625740051,afterglow,282.3,,7.55,188,ONE OF US,afterglow,282.3,,0.641721,188.0,ONE OF US,0.9236913919448853,0.0286115165799856,0.9998875260353088,0.3880769610404968,afterglow,,,,,,,1.43,,-22.42,5.0,ONE OF US,afterglow,282.3,,563,ONE OF US,0.0940331071615219,0.0243847891688346,0.2623534500598907,0.1020921841263771,,25,0.0783563584838823,fast
