feature,group,n,median,mean,std,kruskal_p,vs_correct_p
m5-arousal_median,correct,542,6.836241006851196,6.815124303212465,0.34569572980284935,0.0157776982562366,
m5-arousal_median,느리게_오판(half),14,6.873616456985474,6.777116026197161,0.40624457701352285,0.0157776982562366,0.8180900496610366
m5-arousal_median,빠르게_오판(double),13,6.418674468994141,6.230969502375676,0.8461913473229142,0.0157776982562366,0.003912068811166709
m6-valence_median,correct,542,5.8604,5.82465590405904,0.4913173642273814,0.03573772709959352,
m6-valence_median,느리게_오판(half),14,5.7475000000000005,5.680371428571428,0.6180712330983166,0.03573772709959352,0.4896602904444797
m6-valence_median,빠르게_오판(double),13,5.2432,5.432738461538462,0.5728078756152574,0.03573772709959352,0.011992021496953671
m8-acoustic_median,correct,542,8.965417146100663e-05,0.006402258484175076,0.0479179147154989,0.02616600406591525,
m8-acoustic_median,느리게_오판(half),14,9.063580000652307e-05,0.004187769429693464,0.011642051354253596,0.02616600406591525,0.8575825868046252
m8-acoustic_median,빠르게_오판(double),13,0.0004461531061679,0.16946159279387546,0.2975367959917873,0.02616600406591525,0.006941295318502773
m4-st_p10,correct,542,-12.863250255584717,-13.334971491261163,2.349715874103501,0.20247030937399121,
m4-st_p10,느리게_오판(half),14,-12.587751865386963,-13.156184809548515,2.655648428080251,0.20247030937399121,0.28123187645345293
m4-st_p10,빠르게_오판(double),13,-14.17267894744873,-15.644205020024227,5.444541422612078,0.20247030937399121,0.155020850959071
m4-st_p90,correct,542,-9.516008853912354,-9.519652012969296,1.1074310172710689,0.9858602629215982,
m4-st_p90,느리게_오판(half),14,-9.481842041015625,-9.86277426992144,2.0950497199442393,0.9858602629215982,0.9764758174517036
m4-st_p90,빠르게_오판(double),13,-9.34477996826172,-10.717704112713154,4.178364939670675,0.9858602629215982,0.8796678501890313
m4-st_std,correct,542,3.770589590072632,3.6485466531501927,1.5654236314903196,0.9893716506788471,
m4-st_std,느리게_오판(half),14,3.6001754999160767,3.7529948268617903,1.4370086673390363,0.9893716506788471,0.9415694537021017
m4-st_std,빠르게_오판(double),13,4.210490703582764,3.786413156069242,2.090040959681342,0.9893716506788471,0.9004145875075643
