feature,median_correct,median_half,median_double,kruskal_p(3그룹),half_vs_double_p,note
m5-arousal_median,6.836241006851196,6.873616456985474,6.418674468994141,0.0157776982562366,0.11477248163567938,
m8-acoustic_median,8.965417146100663e-05,9.063580000652307e-05,0.0004461531061679,0.02616600406591525,0.0941006375466181,
m6-valence_median,5.8604,5.7475000000000005,5.2432,0.03573772709959352,0.36932741358378485,
m4-lra,3.2416434288024902,2.9041428565979004,4.361546516418457,0.2681814061228397,0.1820500814244328,
m11-speech_median,0.06546885892748824,0.06302085332572455,0.0520587638020515,0.43142399535957676,0.4519575760931084,
m11-vad_speech_ratio,0.14572827540412925,0.1136619808073919,0.1200638877140678,0.45565834365924085,0.6622548762489409,
m10-crowd_median,0.0008056452497839,0.0008468862797599,0.0007830138201825,0.51179811171979,0.2159322942283799,
m7-danceability_norm,0.5197499999999999,0.49470000000000003,0.424,0.6782999748545839,0.865134745405447,
m9-voice_median,0.999266505241394,0.9993537068367004,0.9989932179450988,0.7063497822356982,0.5768096792806785,
m4-lufs_integrated,-10.714350980346225,-10.540664896874716,-10.79028510501072,0.7454827213926759,0.6447996764288364,
m9-instr_stem_ratio,0.711392,0.7039675,0.687672,0.909229770429757,0.865134745405447,
m2-key_ks_confidence,0.5325,0.4975,0.472,0.992924170993098,0.9034118817803131,
