feature,n_correct,n_error,median_correct,median_error,p_value,effect_r,note,significant_raw(p<0.05),significant_bonferroni
m6-valence_median,542,31,5.8604,5.4512,0.010006674736630337,-0.2749077490774907,,True,False
m9-voice_std,542,31,0.17090846598148346,0.2063245475292205,0.014866787893988513,0.2599690513034163,,True,False
m11-speech_std,542,31,0.08868483826518055,0.0928164049983024,0.017851675901696083,0.25282704439947623,,True,False
m6-valence_p90,542,31,6.637700000000001,6.3581,0.01873142208622999,-0.2509225092250922,,True,False
m9-voice_p10,542,31,0.8111235201358795,0.7232709527015686,0.03137523023391968,-0.22973455541007026,,True,False
m5-arousal_p90,542,31,7.527886152267456,7.318188190460205,0.031816879114788,-0.22913938816807522,,True,False
m8-acoustic_p90,542,31,0.01568043604493135,0.0312497150152921,0.04061610855613745,0.21854541126056426,,True,False
m6-valence_p10,542,31,4.880050000000001,4.7149,0.05066728497731309,-0.2086061183192478,,False,False
m8-acoustic_median,542,31,8.965417146100663e-05,0.0002133782836608,0.0647986341053368,0.19711939054874417,,False,False
m5-arousal_median,542,31,6.836241006851196,6.618626117706299,0.0711909771914007,-0.19259611950958222,,False,False
m11-speech_p10,542,31,0.0092260693199932,0.0078622233122587,0.13484274729480475,-0.15962385430305925,,False,False
m5-arousal_p10,542,31,5.8858325481414795,5.681287288665772,0.1407603228593493,-0.15724318533507908,,False,False
m8-acoustic_std,542,31,0.0985715687274932,0.1082902774214744,0.17057979530002132,0.14629210808237114,,False,False
m11-speech_p90,542,31,0.22334588319063187,0.2294608354568481,0.19859380125052106,0.13724556600404714,,False,False
m11-vad_speech_ratio,542,31,0.14572827540412925,0.1141643640129514,0.28049151953446194,-0.11522437805023222,,False,False
m6-valence_std,542,31,0.6827,0.6653,0.28424013029134065,-0.11433162718723966,,False,False
m10-crowd_p10,469,29,0.0004275293613318,0.0004175991925876,0.2862326965549711,-0.11800602896845813,,False,False
m7-danceability_clf_prob,542,31,1.1081655025482178,1.0975213050842283,0.29106721103765487,-0.11272467563385313,,False,False
m7-dfa_alpha,542,31,0.9023924171924591,0.9111440181732178,0.29106721103765487,0.11272467563385313,,False,False
m7-danceability_norm,542,31,0.5197499999999999,0.4818,0.3034739000464144,-0.10986787287227706,,False,False
m8-acoustic_p10,542,31,2.339581101296062e-06,4.35385481978301e-06,0.3066296943960092,0.1091536721818831,,False,False
m11-speech_median,542,31,0.06546885892748824,0.0614337474107742,0.3326562531845315,-0.10344006665873118,,False,False
m9-voice_median,542,31,0.999266505241394,0.9990668892860411,0.41007160508363116,-0.08796571836686118,,False,False
m10-crowd_p90,469,29,0.0014876985223963,0.0015401013661175,0.5224407738878218,-0.07080361738107488,,False,False
m2-key_ks_confidence,542,31,0.5325,0.472,0.5724642191071181,-0.06029044161409347,,False,False
m4-st_p90,542,31,-9.516008853912354,-9.34477996826172,0.5881243677863297,0.05785025592191406,,False,False
m4-lra,542,31,3.2416434288024902,3.130544662475586,0.6012573506001593,0.055826687299131095,,False,False
m9-voice_p90,542,31,0.9999876022338868,0.9999829530715942,0.6279091426477984,-0.05177955005356516,,False,False
m4-st_median,542,31,-10.614542484283447,-10.406610488891602,0.6494329093019635,0.048565646946791996,,False,False
m4-st_std,542,31,3.770589590072632,3.663532972335816,0.6949958850855766,0.04189977383644805,,False,False
m9-instr_stem_ratio,542,31,0.711392,0.700684,0.7098883308690145,-0.03975717176526605,,False,False
m5-arousal_std,542,31,0.708125650882721,0.6937588453292847,0.781632737159685,-0.029639328651350993,,False,False
m4-lufs_integrated,542,31,-10.714350980346225,-10.54875324714793,0.794508949790511,0.027853826925365976,,False,False
m10-crowd_median,469,29,0.0008056452497839,0.0008208745275624,0.8858100096155501,0.015954709212557927,,False,False
m10-crowd_std,469,29,0.0005507057067006,0.0005802516825497,0.8889611025527864,0.015513565179030908,,False,False
m10-noise_floor_db,542,31,-19.645,-19.12,0.9204760206489393,0.010713010355909991,,False,False
m4-st_p10,542,31,-12.863250255584717,-12.612557411193848,0.9701916461840002,0.004047137245566046,,False,False
m7-dfa_alpha_native,0,0,,,,,분산 없음/표본 부족,False,False
