idx,official_bpm,ratio,octave_class,m1-bpm_madmom,m1-tempo_category,official_category,category_flipped
0,185.0,1.01351351351349,,187.49999999999568,fast,fast,False
1,180.0,1.0101010101009718,,181.8181818181749,fast,fast,False
2,200.0,1.0000000000000036,,200.0000000000007,fast,fast,False
3,200.0,0.9999999999999976,,199.99999999999952,fast,fast,False
4,192.0,1.0080645161290251,,193.5483870967728,fast,fast,False
5,158.0,0.9993337774816908,,157.89473684210716,medium,medium,False
6,135.0,1.0101010101010153,,136.36363636363706,medium,medium,False
7,198.0,1.0101010101009718,,199.9999999999924,fast,fast,False
8,188.0,0.9973404255319362,,187.500000000004,fast,fast,False
9,210.0,0.9852216748768744,,206.8965517241436,fast,boost,True
10,210.0,0.9852216748768744,,206.8965517241436,fast,boost,True
11,180.0,1.0101010101009718,,181.8181818181749,fast,fast,False
12,180.0,1.0101010101009718,,181.8181818181749,fast,fast,False
13,192.0,1.0080645161290251,,193.5483870967728,fast,fast,False
14,200.0,1.0000000000000036,,200.0000000000007,fast,fast,False
15,125.0,1.0000000000000064,,125.0000000000008,medium,medium,False
16,210.0,0.9852216748768744,,206.8965517241436,fast,boost,True
17,194.0,0.9976720984369732,,193.5483870967728,fast,fast,False
18,156.0,1.0121457489877907,,157.89473684209534,medium,medium,False
19,125.0,0.9999999999999992,,124.99999999999989,medium,medium,False
20,126.0,0.9920634920635134,,125.00000000000269,medium,medium,False
21,185.0,1.01351351351349,,187.49999999999568,fast,fast,False
22,140.0,1.020408163265302,,142.85714285714226,medium,medium,False
23,160.0,1.0135135135135012,,162.16216216216017,fast,fast,False
24,174.0,0.9852216748768632,,171.4285714285742,fast,fast,False
25,172.0,0.9966777408638036,,171.4285714285742,fast,fast,False
26,180.0,1.0101010101009718,,181.8181818181749,fast,fast,False
27,135.0,1.0101010101009826,,136.36363636363265,medium,medium,False
28,138.0,0.9881422924901236,,136.36363636363706,medium,medium,False
29,170.0,1.0084033613445336,,171.4285714285707,fast,fast,False
30,175.0,1.0084033613445278,,176.47058823529235,fast,fast,False
31,132.0,1.0101010101009718,,133.33333333332828,medium,medium,False
32,204.0,1.0141987829614385,,206.89655172413347,fast,fast,False
33,171.0,1.0025062656641766,,171.4285714285742,fast,fast,False
34,196.0,0.9874917709019132,,193.548387096775,fast,fast,False
36,132.0,1.0101010101009718,,133.33333333332828,medium,medium,False
37,185.0,1.01351351351349,,187.49999999999568,fast,fast,False
38,190.0,0.986842105263179,,187.500000000004,fast,fast,False
39,198.0,1.0101010101009718,,199.9999999999924,fast,fast,False
40,190.0,0.986842105263179,,187.500000000004,fast,fast,False
41,180.0,1.0101010101009718,,181.8181818181749,fast,fast,False
42,120.0,1.0,,120.0,medium,medium,False
43,200.0,1.0000000000000036,,200.0000000000007,fast,fast,False
44,144.0,0.9920634920635047,,142.85714285714468,medium,medium,False
45,175.0,1.0084033613445278,,176.47058823529235,fast,fast,False
46,188.0,0.9973404255319148,,187.5,fast,fast,False
47,160.0,1.0135135135135012,,162.16216216216017,fast,fast,False
48,200.0,0.999999999999962,,199.9999999999924,fast,fast,False
49,200.0,1.0000000000000022,,200.00000000000043,fast,fast,False
50,193.0,1.0028413839211026,,193.5483870967728,fast,fast,False
51,150.0,0.9999999999999858,,149.99999999999787,medium,medium,False
52,147.0,0.9955201592832338,,146.34146341463537,medium,medium,False
53,206.0,1.0043521928355994,,206.89655172413347,fast,fast,False
54,152.0,1.0121457489878158,,153.846153846148,medium,medium,False
55,134.0,0.9950248756219155,,133.3333333333367,medium,medium,False
56,200.0,1.0000000000000095,,200.0000000000019,fast,fast,False
57,185.0,1.01351351351349,,187.49999999999568,fast,fast,False
58,168.0,0.9920634920634936,,166.66666666666694,fast,fast,False
59,185.0,1.01351351351349,,187.49999999999568,fast,fast,False
60,200.0,0.9999999999999976,,199.99999999999952,fast,fast,False
61,190.0,0.986842105263179,,187.500000000004,fast,fast,False
62,185.0,1.01351351351349,,187.49999999999568,fast,fast,False
63,149.0,1.0067114093959948,,150.0000000000032,medium,medium,False
64,136.0,1.002673796791449,,136.36363636363706,medium,medium,False
65,189.0,0.9920634920635132,,187.500000000004,fast,fast,False
66,113.0,1.001836700617797,,113.20754716981108,medium,medium,False
67,152.0,1.0121457489878158,,153.846153846148,medium,medium,False
69,185.0,1.0135135135135125,,187.49999999999983,fast,fast,False
70,180.0,1.0101010101009718,,181.8181818181749,fast,fast,False
71,130.0,2.006688963210668,double(2x),260.8695652173868,boost,medium,True
72,200.0,0.999999999999986,,199.9999999999972,fast,fast,False
73,142.0,1.0060362173038189,,142.85714285714226,medium,medium,False
74,158.0,0.666222518321119,,105.2631578947368,medium,medium,False
75,103.0,1.0043521928355994,,103.44827586206674,medium,medium,False
76,114.0,1.0121457489878345,,115.38461538461311,medium,medium,False
77,140.0,0.996677740863788,,139.53488372093034,medium,medium,False
79,198.0,1.0101010101009718,,199.9999999999924,fast,fast,False
83,190.0,0.986842105263179,,187.500000000004,fast,fast,False
84,222.0,0.509943906170327,half(0.5x),113.2075471698126,medium,boost,True
106,124.0,1.0080645161290238,,124.99999999999896,medium,medium,False
107,198.0,1.0101010101009718,,199.9999999999924,fast,fast,False
108,151.0,0.9933774834437122,,150.00000000000054,medium,medium,False
109,150.0,0.9999999999999858,,149.99999999999787,medium,medium,False
110,172.0,0.9966777408638036,,171.4285714285742,fast,fast,False
111,190.0,0.986842105263179,,187.500000000004,fast,fast,False
112,174.0,1.0141987829614505,,176.47058823529235,fast,fast,False
113,215.0,0.9966777408637836,,214.28571428571345,boost,boost,False
114,180.0,1.0101010101009718,,181.8181818181749,fast,fast,False
115,138.0,1.011122345803826,,139.534883720928,medium,medium,False
116,167.0,0.9980039920159696,,166.66666666666694,fast,fast,False
117,126.0,0.9920634920635134,,125.00000000000269,medium,medium,False
118,85.0,2.2770398481973277,,193.5483870967728,fast,slow,True
119,128.0,0.9973404255319172,,127.6595744680854,medium,medium,False
