idx,band,song,duration_sec,key_ks,mode_ks,key_ks_confidence,modulation_flag,key_essentia,mode_essentia,key_mismatch,mode_only_mismatch,error
5,afterglow,Hey-day狂騒曲(カプリチオ),233.7,A,minor,0.229,False,D,minor,True,False,
0,afterglow,ON YOUR MARK,241.63,A,major,0.474,True,D,major,True,False,
6,afterglow,"Easy come, Easy go!",243.4,D,major,0.843,False,D,major,False,False,
7,afterglow,Sasanqua,236.8,C#,major,0.838,False,C#,major,False,False,
2,afterglow,SENSENFUKOKU,246.53,F,major,0.438,True,D,minor,False,False,
4,afterglow,ツナグ、ソラモヨウ,248.93,E,major,0.919,False,E,major,False,False,
1,afterglow,That Is How I Roll!,239.6,D,major,0.381,True,D,major,False,False,
3,afterglow,I knew it!,291.3,A,major,0.552,True,A,major,False,False,
8,afterglow,RED RED RED,224.37,C#,major,0.576,True,C#,major,False,False,
14,afterglow,SWITCH ON NOW,207.33,G#,minor,0.447,True,Ab,minor,True,False,
11,afterglow,Scarlet Sky,229.0,A,major,0.966,False,A,major,False,False,
13,afterglow,いつも通りのBrand new days,237.33,C#,major,0.356,True,F#,minor,True,False,
12,afterglow,Off we go.,251.83,C,major,0.609,False,C,major,False,False,
9,afterglow,ONE OF US,282.3,G,minor,0.895,False,F,major,True,False,
10,afterglow,Y.O.L.O!!!!!,270.93,F,major,0.505,False,F,major,False,False,
15,afterglow,ランブリングメモリー,325.03,E,major,1.0,False,E,major,False,False,
17,afterglow,Trouble Joyful!!,237.93,D,major,0.418,True,D,minor,False,True,
18,afterglow,Jamboree!Journey!,259.8,F#,major,0.65,True,F#,major,False,False,
21,afterglow,極彩色,238.6,D,major,0.258,False,G,major,True,False,
16,afterglow,COMIC PANIC!!!,280.5,F,major,0.918,False,F,major,False,False,
22,afterglow,サクラゼンセン,249.33,F#,minor,0.643,False,A,major,False,False,
20,afterglow,独創収差,276.3,F#,major,0.277,False,Eb,minor,True,False,
19,afterglow,カナユメ,307.47,D,major,0.778,False,D,major,False,False,
23,afterglow,True color,253.33,B,minor,0.425,False,G,major,True,False,
28,afterglow,トーキョーワンダー。,153.77,C,major,0.444,True,F,major,True,False,
25,afterglow,カサブタ,196.67,A,major,0.571,False,A,major,False,False,
