대상 736곡, 템플릿 84개(12키 x 7모드) 생성 완료
  진행 20/736  ok=20 err=0  0.65곡/s  ETA 18.3분  경과 0.5분
  진행 40/736  ok=40 err=0  0.70곡/s  ETA 16.6분  경과 1.0분
  진행 60/736  ok=60 err=0  0.73곡/s  ETA 15.5분  경과 1.4분
  진행 80/736  ok=80 err=0  0.74곡/s  ETA 14.8분  경과 1.8분
  진행 100/736  ok=100 err=0  0.73곡/s  ETA 14.4분  경과 2.3분
  진행 120/736  ok=120 err=0  0.74곡/s  ETA 13.9분  경과 2.7분
  진행 140/736  ok=140 err=0  0.74곡/s  ETA 13.4분  경과 3.2분
  진행 160/736  ok=160 err=0  0.75곡/s  ETA 12.8분  경과 3.6분
  진행 180/736  ok=180 err=0  0.75곡/s  ETA 12.3분  경과 4.0분
  진행 200/736  ok=200 err=0  0.75곡/s  ETA 11.9분  경과 4.4분
  진행 220/736  ok=220 err=0  0.76곡/s  ETA 11.4분  경과 4.9분
  진행 240/736  ok=240 err=0  0.76곡/s  ETA 10.9분  경과 5.3분
  진행 260/736  ok=260 err=0  0.77곡/s  ETA 10.4분  경과 5.7분
  진행 280/736  ok=280 err=0  0.77곡/s  ETA 9.9분  경과 6.1분
  진행 300/736  ok=300 err=0  0.77곡/s  ETA 9.5분  경과 6.5분
  진행 320/736  ok=320 err=0  0.77곡/s  ETA 9.0분  경과 7.0분
  진행 340/736  ok=340 err=0  0.77곡/s  ETA 8.6분  경과 7.4분
  진행 360/736  ok=360 err=0  0.77곡/s  ETA 8.2분  경과 7.8분
  진행 380/736  ok=380 err=0  0.76곡/s  ETA 7.8분  경과 8.3분
  진행 400/736  ok=400 err=0  0.76곡/s  ETA 7.4분  경과 8.8분
  진행 420/736  ok=420 err=0  0.75곡/s  ETA 7.0분  경과 9.3분
  진행 440/736  ok=440 err=0  0.75곡/s  ETA 6.6분  경과 9.8분
  진행 460/736  ok=460 err=0  0.75곡/s  ETA 6.1분  경과 10.2분
  진행 480/736  ok=480 err=0  0.75곡/s  ETA 5.7분  경과 10.7분
  진행 500/736  ok=500 err=0  0.75곡/s  ETA 5.3분  경과 11.1분
  진행 520/736  ok=520 err=0  0.75곡/s  ETA 4.8분  경과 11.6분
  진행 540/736  ok=540 err=0  0.75곡/s  ETA 4.4분  경과 12.1분
  진행 560/736  ok=560 err=0  0.75곡/s  ETA 3.9분  경과 12.5분
  진행 580/736  ok=580 err=0  0.74곡/s  ETA 3.5분  경과 13.0분
  진행 600/736  ok=600 err=0  0.74곡/s  ETA 3.1분  경과 13.5분
  진행 620/736  ok=620 err=0  0.74곡/s  ETA 2.6분  경과 13.9분
  진행 640/736  ok=640 err=0  0.74곡/s  ETA 2.2분  경과 14.4분
  진행 660/736  ok=660 err=0  0.74곡/s  ETA 1.7분  경과 14.9분
  진행 680/736  ok=680 err=0  0.74곡/s  ETA 1.3분  경과 15.3분
  진행 700/736  ok=700 err=0  0.74곡/s  ETA 0.8분  경과 15.7분
  진행 720/736  ok=720 err=0  0.75곡/s  ETA 0.4분  경과 16.0분
  진행 736/736  ok=736 err=0  0.75곡/s  ETA 0.0분  경과 16.3분

저장: C:\Users\User\Documents\pyworks\bpm-research\topic\20260731_audio_feats_revised\method-2-key\out\modal_key_validation_full.csv (736행)
저장: C:\Users\User\Documents\pyworks\bpm-research\topic\20260731_audio_feats_revised\method-2-key\out\modal_key_validation_full_REPORT.md
