window_start_sec,window_end_sec,key,mode,corr
0.0,14.95,B,minor,0.9121
7.48,22.43,E,minor,0.767
14.95,29.91,G,major,0.7745
22.43,37.38,D,major,0.7557
29.91,44.86,D,major,0.7131
37.38,52.34,D,major,0.65
44.86,59.81,D,major,0.7335
52.34,67.29,D,major,0.697
59.81,74.77,D,major,0.6051
67.29,82.25,E,minor,0.5746
74.77,89.72,E,minor,0.7773
82.25,97.2,D,major,0.8352
89.72,104.68,G,major,0.7195
97.2,112.15,G,major,0.7921
104.68,119.63,G,major,0.7736
112.15,127.11,G,major,0.7123
119.63,134.58,B,minor,0.7324
127.11,142.06,D,major,0.6121
134.58,149.54,D,major,0.6643
142.06,157.01,D,major,0.7024
149.54,164.49,D,major,0.6143
157.01,171.97,D,major,0.5343
164.49,179.44,D,major,0.4576
171.97,186.92,E,minor,0.6494
179.44,194.4,G,major,0.6949
186.92,201.87,E,minor,0.7198
194.4,209.35,G,major,0.7237
201.87,216.83,D,major,0.7494
209.35,224.3,E,minor,0.7198
216.83,231.78,E,minor,0.7612
224.3,239.26,E,minor,0.7701
231.78,246.74,D,major,0.6371
239.26,254.21,D,major,0.7057
246.74,261.69,D,major,0.6738
254.21,269.17,D,major,0.6278
261.69,276.64,D,major,0.5687
269.17,284.12,E,minor,0.6608
276.64,291.6,G,major,0.7662
284.12,299.07,D,major,0.7833
291.6,306.55,D,major,0.8141
299.07,314.03,G,major,0.7743
306.55,321.5,G,major,0.6954
314.03,328.98,E,minor,0.7126
321.5,332.93,E,minor,0.5774
