window_start_sec,window_end_sec,key,mode,corr
0.0,14.95,F#,major,0.8059
7.48,22.43,G#,minor,0.7382
14.95,29.91,G#,minor,0.7557
22.43,37.38,G#,minor,0.7806
29.91,44.86,G#,minor,0.7817
37.38,52.34,G#,minor,0.7538
44.86,59.81,G#,minor,0.6901
52.34,67.29,G#,minor,0.6978
59.81,74.77,G#,minor,0.7499
67.29,82.25,G#,minor,0.733
74.77,89.72,G#,minor,0.7616
82.25,97.2,G#,minor,0.7322
89.72,104.68,G#,minor,0.7371
97.2,112.15,G#,minor,0.6473
104.68,119.63,G#,minor,0.5588
112.15,127.11,G#,minor,0.6138
119.63,134.58,G#,minor,0.6355
127.11,142.06,G#,minor,0.6548
134.58,149.54,G#,minor,0.68
142.06,157.01,G#,minor,0.7284
149.54,164.49,G#,minor,0.7
157.01,171.97,G#,minor,0.6717
164.49,179.44,G#,minor,0.4952
171.97,186.92,G#,minor,0.3967
179.44,194.4,D#,major,0.3496
186.92,201.87,D#,major,0.4091
194.4,209.35,D#,major,0.318
201.87,216.83,G,minor,0.4446
209.35,218.13,G,major,0.5516
