window_start_sec,window_end_sec,key,mode,corr
0.0,14.95,G#,major,0.6117
7.48,22.43,G#,major,0.5505
14.95,29.91,G#,major,0.4211
22.43,37.38,C#,major,0.4152
29.91,44.86,G#,major,0.4575
37.38,52.34,G#,major,0.5226
44.86,59.81,C#,major,0.5283
52.34,67.29,C#,major,0.5413
59.81,74.77,G#,major,0.4773
67.29,82.25,C#,major,0.4717
74.77,89.72,G#,major,0.4502
82.25,97.2,C#,major,0.4988
89.72,104.68,F#,minor,0.5033
97.2,112.15,C#,major,0.4515
104.68,119.63,G#,major,0.4464
112.15,127.11,G#,major,0.5464
119.63,134.58,C#,minor,0.4471
127.11,142.06,C#,major,0.455
134.58,149.54,F#,major,0.5384
142.06,157.01,C#,major,0.7355
149.54,164.49,D#,major,0.608
157.01,171.97,D#,major,0.6252
164.49,179.44,D#,major,0.7944
171.97,186.92,D#,major,0.7793
179.44,191.49,D#,major,0.7318
