window_start_sec,window_end_sec,key,mode,corr
0.0,14.95,B,minor,0.8523
7.48,22.43,B,minor,0.9088
14.95,29.91,B,minor,0.8337
22.43,37.38,B,minor,0.7873
29.91,44.86,B,minor,0.7731
37.38,52.34,E,minor,0.664
44.86,59.81,B,major,0.4286
52.34,67.29,B,major,0.5556
59.81,74.77,B,major,0.7044
67.29,82.25,B,major,0.6358
74.77,89.72,F#,major,0.7298
82.25,97.2,B,minor,0.7822
89.72,104.68,B,minor,0.8833
97.2,112.15,B,minor,0.8912
104.68,119.63,B,minor,0.837
112.15,127.11,B,minor,0.8329
119.63,134.58,B,minor,0.6768
127.11,142.06,E,minor,0.5902
134.58,149.54,B,major,0.5002
142.06,157.01,B,major,0.574
149.54,164.49,B,major,0.676
157.01,171.97,B,major,0.6258
164.49,179.44,F#,major,0.7432
171.97,186.92,F#,major,0.6531
179.44,194.4,G,major,0.6937
186.92,201.87,A,major,0.667
194.4,209.35,A,major,0.5964
201.87,216.83,F#,minor,0.6099
209.35,224.3,F#,major,0.7503
216.83,231.78,B,major,0.7495
224.3,239.26,B,major,0.7283
231.78,246.74,B,major,0.7844
239.26,254.21,B,minor,0.8733
246.74,261.69,B,minor,0.9236
254.21,262.11,B,minor,0.8638
