window_start_sec,window_end_sec,key,mode,corr
0.0,14.95,A,major,0.7301
7.48,22.43,E,major,0.7167
14.95,29.91,B,major,0.6125
22.43,37.38,F#,minor,0.7349
29.91,44.86,A,major,0.7616
37.38,52.34,C#,minor,0.7667
44.86,59.81,C#,minor,0.8929
52.34,67.29,E,major,0.8507
59.81,74.77,E,major,0.8387
67.29,82.25,E,major,0.8211
74.77,89.72,F#,major,0.7103
82.25,97.2,F#,minor,0.7503
89.72,104.68,F#,minor,0.7254
97.2,112.15,C#,minor,0.828
104.68,119.63,C#,minor,0.6992
112.15,127.11,A,major,0.6846
119.63,134.58,E,major,0.7752
127.11,142.06,E,major,0.8643
134.58,149.54,D,major,0.6882
142.06,157.01,E,major,0.8197
149.54,164.49,E,major,0.94
157.01,171.97,E,major,0.8594
164.49,179.44,C#,minor,0.7954
171.97,186.92,C#,minor,0.799
179.44,194.4,F#,minor,0.7066
186.92,201.87,A,major,0.7775
194.4,209.35,A,major,0.8643
201.87,216.83,A,major,0.7783
209.35,218.55,A,major,0.5414
