window_start_sec,window_end_sec,key,mode,corr
0.0,14.95,E,major,0.9202
7.48,22.43,E,major,0.9474
14.95,29.91,E,major,0.7728
22.43,37.38,E,major,0.838
29.91,44.86,E,major,0.8339
37.38,52.34,E,major,0.6633
44.86,59.81,E,major,0.7516
52.34,67.29,E,major,0.7675
59.81,74.77,F#,minor,0.5785
67.29,82.25,E,major,0.6972
74.77,89.72,E,major,0.8905
82.25,97.2,E,major,0.9517
89.72,104.68,E,major,0.9231
97.2,112.15,E,major,0.8503
104.68,119.63,E,major,0.7909
112.15,127.11,E,major,0.78
119.63,134.58,E,major,0.8175
127.11,142.06,B,major,0.7164
134.58,149.54,E,major,0.6829
142.06,157.01,E,major,0.8198
149.54,164.49,E,major,0.7704
157.01,171.97,E,major,0.8293
164.49,179.44,E,major,0.9241
171.97,186.92,E,major,0.934
179.44,194.4,E,major,0.8494
186.92,201.87,E,major,0.8706
194.4,209.35,E,major,0.9503
201.87,216.83,E,major,0.9375
209.35,224.3,E,major,0.8753
216.83,231.78,E,major,0.7048
224.3,239.26,E,major,0.7967
231.78,246.74,A,major,0.7663
239.26,254.21,A,minor,0.6592
246.74,256.88,A,minor,0.3928
