window_start_sec,window_end_sec,key,mode,corr
0.0,14.95,G,minor,0.7156
7.48,22.43,G,minor,0.7409
14.95,29.91,G,minor,0.7972
22.43,37.38,G,minor,0.7545
29.91,44.86,A#,major,0.726
37.38,52.34,A#,major,0.8846
44.86,59.81,A#,major,0.6538
52.34,67.29,G,minor,0.5146
59.81,74.77,G,minor,0.7748
67.29,82.25,G,minor,0.663
74.77,89.72,G,minor,0.6724
82.25,97.2,G,minor,0.7742
89.72,104.68,A#,major,0.7948
97.2,112.15,A#,major,0.8677
104.68,119.63,A#,major,0.6222
112.15,127.11,D,minor,0.4349
119.63,134.58,G,minor,0.7104
127.11,142.06,G,minor,0.7687
134.58,149.54,G,minor,0.6465
142.06,157.01,G,minor,0.7223
149.54,164.49,G,minor,0.7457
157.01,171.97,G,minor,0.7571
164.49,179.44,G,minor,0.7494
171.97,186.92,G,minor,0.728
179.44,194.4,G,minor,0.69
186.92,201.87,G,minor,0.649
194.4,209.35,A#,major,0.6964
201.87,216.83,G,minor,0.809
209.35,224.3,G,minor,0.7552
216.83,231.78,G,minor,0.7252
224.3,239.26,G,minor,0.764
231.78,246.74,G,minor,0.5935
239.26,254.21,G,minor,0.5613
246.74,261.69,G,minor,0.8503
254.21,269.17,G,minor,0.7727
261.69,276.64,G,minor,0.8902
269.17,284.12,G,minor,0.9061
276.64,288.76,G,minor,0.8177
