idx,band,song,mode
5,afterglow,Hey-day狂騒曲(カプリチオ),minor
0,afterglow,ON YOUR MARK,major
6,afterglow,"Easy come, Easy go!",major
7,afterglow,Sasanqua,major
2,afterglow,SENSENFUKOKU,major
4,afterglow,ツナグ、ソラモヨウ,major
1,afterglow,That Is How I Roll!,major
3,afterglow,I knew it!,major
8,afterglow,RED RED RED,major
14,afterglow,SWITCH ON NOW,minor
11,afterglow,Scarlet Sky,major
13,afterglow,いつも通りのBrand new days,major
12,afterglow,Off we go.,major
9,afterglow,ONE OF US,minor
10,afterglow,Y.O.L.O!!!!!,major
15,afterglow,ランブリングメモリー,major
17,afterglow,Trouble Joyful!!,major
18,afterglow,Jamboree!Journey!,major
21,afterglow,極彩色,major
16,afterglow,COMIC PANIC!!!,major
22,afterglow,サクラゼンセン,minor
20,afterglow,独創収差,major
19,afterglow,カナユメ,major
23,afterglow,True color,minor
28,afterglow,トーキョーワンダー。,major
25,afterglow,カサブタ,major
29,afterglow,Reach Out To The Truth,minor
27,afterglow,Northern lights,minor
24,afterglow,Crow Song,major
26,afterglow,アイのシナリオ,major
30,afterglow,Listen!!,major
32,afterglow,イマジネーション,major
34,afterglow,燦々,major
31,afterglow,青い栞,major
33,afterglow,Butter-Fly,major
37,afterglow,ペトリコール・オベーション,major
35,afterglow,That's why I'm here.,major
36,afterglow,IGNITE GLOW,minor
38,afterglow,Made My Day,major
39,afterglow,Glowing After,minor
40,afterglow,A Sunset So Bright,minor
42,afterglow,“Say cheese!!!!!”,major
46,afterglow,メンタルチェンソー (Cover),minor
41,afterglow,Start as Usual,major
44,afterglow,READY STEADY GO (Cover),major
43,afterglow,花笑みのデュオ,major
45,afterglow,abnormalize (Cover),major
47,afterglow,Bunny Girl (Cover),minor
48,afterglow,オレンジ (Cover),major
53,afterglow,チルドレンレコード (Re:boot) (Cover),major
54,afterglow,青のすみか (Cover),major
52,afterglow,CHAINSAW BLOOD (Cover),minor
50,afterglow,DAY×DAY (Cover),major
49,afterglow,カゲロウデイズ (Cover),minor
51,afterglow,ロキ (Cover),minor
56,afterglow,天ノ弱 (Cover),major
55,afterglow,GO!!! (Cover),major
57,afterglow,アスノヨゾラ哨戒班 (Cover),major
62,afterglow,インフェルノ (Cover),major
58,afterglow,瞬間センチメンタル (Cover),major
59,afterglow,プライド革命 (Cover),major
61,afterglow,Redo (Cover),minor
60,afterglow,命に嫌われている。 (Cover),major
65,afterglow,午夜の待ち合わせ (Cover),major
69,afterglow,Part of the Life,major
64,afterglow,COLORS (Cover),major
63,afterglow,ドラマツルギー (Cover),minor
66,afterglow,サムライハート（Some Like It Hot!!） (Cover),major
67,afterglow,ベノム (Cover),minor
70,afterglow,Punchline Halloween!!!,major
68,afterglow,Don't say “lazy” (Cover),major
72,ave_mujica,KiLLKiSS,minor
74,ave_mujica,Imprisoned XII,major
73,ave_mujica,"Georgette Me, Georgette You",minor
71,afterglow,I love your way！,minor
76,ave_mujica,八芒星ダンス,major
75,ave_mujica,Crucifix X,minor
77,ave_mujica,顔,minor
78,ave_mujica,天球のMúsica,major
79,ave_mujica,黒のバースデイ,minor
82,ave_mujica,神さま、バカ,minor
80,ave_mujica,ふたつの月 ~Deep Into The Forest~,minor
81,ave_mujica,Choir ‘S’ Choir,minor
83,ave_mujica,Mas?uerade Rhapsody Re?uest,minor
84,ave_mujica,Ave Mujica,minor
86,ave_mujica,Symbol II : Air,minor
87,ave_mujica,Symbol III : ▽,major
85,ave_mujica,Symbol I : △,minor
88,ave_mujica,Symbol IV : Earth,major
91,ave_mujica,in your blue eyes,minor
90,ave_mujica,The Whole Blue World,major
89,ave_mujica,Ether,minor
92,ave_mujica,素晴らしき世界 でも どこにもない場所,major
95,ave_mujica,Sophie,minor
93,ave_mujica,Angles,major
96,ave_mujica,‘S/’ The Way,minor
94,ave_mujica,DIVINE,major
98,ave_mujica,堕天 (Cover),minor
97,ave_mujica,碧い瞳の中に,minor
103,various_artists,"Be shine, shining!",major
99,ave_mujica,KINGS (Cover),major
102,various_artists,Glee! Glee! Glee!,major
101,various_artists,Don't be afraid!,minor
100,ave_mujica,暗黒天国 (Cover),minor
104,various_artists,"Here, the world",major
106,hello_happy_world,キミがいなくちゃっ！,major
105,various_artists,CiRCLE THANKS MUSiC♪,major
107,hello_happy_world,ハイファイブ∞あどべんちゃっ,major
110,hello_happy_world,YAPPY! SCHOOL CARNIVAL☆彡,major
108,hello_happy_world,スマイルブーケで た〜まや〜！,major
109,hello_happy_world,えがお･シング･あ･ソング,major
111,hello_happy_world,にこ×にこ=ハイパースマイルパワー！,minor
113,hello_happy_world,ゴーカ！ごーかい！？ファントムシーフ！,minor
112,hello_happy_world,ないすみちゅっ！,major
114,hello_happy_world,うぃーきゃん☆フレフレっ！,major
115,hello_happy_world,えがおのオーケストラっ！,major
118,hello_happy_world,せかいのっびのびトレジャー！,major
119,hello_happy_world,きらっ☆と キミフェス！,minor
116,hello_happy_world,にこにこねくと！,major
117,hello_happy_world,ふぁいぶスマイル◯オールインっ！,major
120,hello_happy_world,うちゃパ！で ぱっぴかポーんっ！,major
121,hello_happy_world,はれやか すこやか ぴかりんりん♪,major
122,hello_happy_world,ふわふわ☆ゆめいろサンドイッチ,major
123,hello_happy_world,Happy! Happier! Happiest!,major
124,hello_happy_world,現るっ！大怪盗ハロハッピー！,minor
125,hello_happy_world,わちゃ・もちゃ・ぺったん行進曲,major
127,hello_happy_world,おもいやりハーモニー,major
126,hello_happy_world,おもいでイルミネーション,major
128,hello_happy_world,ハピネスっ！ハピィーマジカルっ♪,major
129,hello_happy_world,えがお、あーゆーれでぃ???,major
132,hello_happy_world,ハッピー☆マテリアル,major
133,hello_happy_world,太陽曰く燃えよカオス,minor
130,hello_happy_world,ハッピーサマーウェディング,major
135,hello_happy_world,コレカラ,major
134,hello_happy_world,エクストラ・マジック・アワー,major
131,hello_happy_world,ひまわりの約束,major
136,hello_happy_world,全力少年,major
137,hello_happy_world,オレンジ,major
139,hello_happy_world,ン・パカマーチ,major
138,hello_happy_world,Happy Girl,major
140,hello_happy_world,サンバロハッピ〜！,major
141,hello_happy_world,ボクらの夏's☆ショーたいむっ！！,minor
142,hello_happy_world,むすんでわらって,major
143,hello_happy_world,キミを れっつ・はぶ・ふぁん♪,major
144,hello_happy_world,らいふ・いず・みゅーじかるっ♪♪♪,major
146,hello_happy_world,やっほー！いっぽ！わんだふぉー！,major
145,hello_happy_world,れっつ・スマイル・すとり〜みんぐっ♪,major
147,hello_happy_world,とーくとぅみー・とーくとぅゆー,minor
152,hello_happy_world,上海ハニー (Cover),major
149,hello_happy_world,Listen to Smile!,major
148,hello_happy_world,ハイタッチ／＼びりーばーず☆,major
150,hello_happy_world,スマイリーキャロル,major
151,hello_happy_world,えがお、み〜っけた！,major
153,hello_happy_world,シル・ヴ・プレジデント (Cover),major
155,hello_happy_world,はいよろこんで (Cover),minor
157,hello_happy_world,強風オールバック (Cover),major
154,hello_happy_world,ヒャダインのじょーじょーゆーじょー (Cover),minor
156,hello_happy_world,シカ色デイズ (Cover),major
159,hello_happy_world,許婚っきゅん (Cover),minor
158,hello_happy_world,最高到達点 (Cover),major
161,hello_happy_world,ドレミファロンド (Cover),major
160,hello_happy_world,新宝島 (Cover),major
164,hello_happy_world,エイリアンエイリアン (Cover),minor
162,hello_happy_world,きゅうくらりん (Cover),minor
165,hello_happy_world,いーあるふぁんくらぶ (Cover),minor
166,hello_happy_world,回レ！雪月花 (Cover),minor
163,hello_happy_world,ロメオ (Cover),major
167,hello_happy_world,恋愛裁判 (Cover),major
171,hello_happy_world,ようこそジャパリパークへ (Cover),major
169,hello_happy_world,GO! GO! MANIAC (Cover),minor
170,hello_happy_world,Dragon Night (Cover),major
168,hello_happy_world,TOMORROW (Cover),major
173,hello_happy_world,おジャ魔女カーニバル!! (Cover),minor
172,hello_happy_world,ウィーアー！ (Cover),major
174,hello_happy_world,ダーリンダンス (Cover),minor
175,hello_happy_world,ノーポイッ！ (Cover),major
179,millsage,起死開戦,major
178,ikka_dumb_rock,ホーミー・タイッ！！,minor
177,hello_happy_world,シルエット (Cover),minor
176,hello_happy_world,SHINY DAYS (Cover),major
181,morfonica,メランコリックララバイ,minor
182,morfonica,flame of hope,minor
184,morfonica,カラフルリバティー,minor
183,morfonica,ブルームブルーム,major
180,morfonica,Daylight -デイライト-,minor
185,morfonica,fly with the night,major
186,morfonica,金色へのプレリュード,minor
187,morfonica,The Circle Of Butterflies,major
188,morfonica,ハーモニー・デイ,major
189,morfonica,Sweet Cheers!,major
190,morfonica,"寄る辺のSunny, Sunny",minor
191,morfonica,誓いのWingbeat,minor
192,morfonica,Ever Sky Blue,minor
193,morfonica,Polyphonyscape,major
195,morfonica,Merry Merry Thanks!!,major
194,morfonica,Wreath of Brave,major
197,morfonica,両翼のBrilliance,minor
196,morfonica,Sonorous,major
198,morfonica,Steer to Utopia,minor
200,morfonica,ティリカモニカリラ,minor
201,morfonica,Secret Dawn,major
199,morfonica,Fateful...,major
202,morfonica,Angel's Ladder,major
203,morfonica,One step at a time,major
204,morfonica,Tempest,minor
205,morfonica,フレージング ミラージュ,minor
206,morfonica,MUGEN Reverberate!,minor
208,morfonica,esora no clover,minor
207,morfonica,わたしまちがいさがし,minor
209,morfonica,きょうもMerry go rounD,minor
210,morfonica,Feathered Dreams,major
212,morfonica,ビューティ・フォー,minor
213,morfonica,胡蝶翔る星月夜,major
211,morfonica,Portray Empathy,major
214,morfonica,Color of Us,major
216,morfonica,Shining Leaves,major
215,morfonica,Resonant Strings,minor
219,morfonica,QUEEN (Cover),minor
218,morfonica,蒼穹へのトレイル,minor
217,morfonica,音がえしのセレナーデ,major
220,morfonica,again (Cover),minor
222,morfonica,メロウ (Cover),major
223,morfonica,祝福 (Cover),minor
221,morfonica,輪舞-revolution (Cover),minor
224,morfonica,Overdose (Cover),minor
227,morfonica,ALIVE (Cover),minor
225,morfonica,かくれんぼ (Cover),minor
226,morfonica,chAngE (Cover),minor
228,morfonica,Nameless Story (Cover),minor
232,morfonica,COLORFUL BOX (Cover),minor
229,morfonica,青空のラプソディ (Cover),minor
231,morfonica,メリッサ (Cover),major
230,morfonica,Nevereverland (Cover),minor
235,morfonica,V.I.P (Cover),minor
233,morfonica,unravel (Cover),major
236,morfonica,CQCQ (Cover),minor
234,morfonica,アゲハ蝶 (Cover),minor
237,mugendai_mutype,アイの夢限,major
238,mugendai_mutype,どんがらがっしゃん,minor
240,mugendai_mutype,チューニング,major
239,mugendai_mutype,みゅーたんとミュータント,major
242,mugendai_mutype,グラディエント,major
241,mugendai_mutype,Dream Voyage,minor
243,mugendai_mutype,LET'Sあちあちトレーニング！,minor
244,mugendai_mutype,真夜中遊園地,minor
248,mugendai_mutype,コミュ着火Fire!,minor
246,mugendai_mutype,TRASH LIFE,major
245,mugendai_mutype,テレパシー,major
247,mugendai_mutype,新人類は仮想世界の夢を見るか?,minor
249,mugendai_mutype,Calling,minor
250,mugendai_mutype,Hi-Vision,minor
252,mugendai_mutype,✞animaるパーティ✞開催中✞,minor
251,mugendai_mutype,コハク,major
253,mugendai_mutype,エンプティパペット,minor
254,mugendai_mutype,限界現実サバイブ天使,major
255,mugendai_mutype,ビッグマウス,minor
256,mugendai_mutype,夢現妄想世界,minor
257,mugendai_mutype,やわやわNERD 超FreQuency,minor
258,mugendai_mutype,超惑星Xへの旅,minor
260,mygo,迷星叫,major
261,mygo,壱雫空,major
259,mugendai_mutype,これはぼくたちの生存のあらすじ,major
262,mygo,碧天伴走,major
263,mygo,影色舞,minor
264,mygo,歌いましょう鳴らしましょう,minor
265,mygo,潜在表明,minor
266,mygo,音一会,minor
268,mygo,詩超絆,major
269,mygo,迷路日々,minor
267,mygo,春日影 (MyGO!!!!! ver.),major
270,mygo,無路矢,minor
271,mygo,名無声,major
272,mygo,栞,major
273,mygo,歩拾道,minor
274,mygo,明弦音,major
275,mygo,孤壊牢,minor
276,mygo,霧周途,minor
278,mygo,処救生,minor
279,mygo,輪符雨,minor
277,mygo,端程山,minor
280,mygo,夜隠染,major
281,mygo,過惰幻,major
283,mygo,砂寸奏,minor
282,mygo,回層浮,major
287,mygo,証命讃歌,minor
284,mygo,焚音打,minor
285,mygo,残痕字,major
286,mygo,掌心正銘,major
288,mygo,エガクミライ,major
294,mygo,雑踏、僕らの街 (Cover),minor
290,mygo,聿日箋秋,major
289,mygo,静降想,major
292,mygo,だれかの心臓になれたなら (Cover),major
293,mygo,遥か彼方 (Cover),major
295,mygo,過去を喰らう (Cover),major
291,mygo,往欄印,major
296,mygo,君の神様になりたい。 (Cover),major
300,mygo,春日影,major
297,mygo,ノンブレス・オブリージュ (Cover),major
298,mygo,swim (Cover),major
299,mygo,猛独が襲う (Cover),major
302,pastel_palettes,ワクワクmeetsトリップ,major
301,pastel_palettes,TITLE IDOL,major
303,pastel_palettes,ゆら・ゆらRing-Dong-Dance,major
304,pastel_palettes,もういちど ルミナス,major
305,pastel_palettes,あっつあつ 常夏 らぶ☆サマー！,major
306,pastel_palettes,天下トーイツ A to Z☆,major
307,pastel_palettes,しゅわりん☆どり〜みん,major
308,pastel_palettes,Power of LOVE!!!,minor
309,pastel_palettes,きゅ～まい＊flower,major
312,pastel_palettes,はなまる◎アンダンテ,minor
310,pastel_palettes,Winking☆Cheer,major
313,pastel_palettes,パスパレボリューションず☆,major
311,pastel_palettes,ゆめゆめグラデーション,major
314,pastel_palettes,SURVIVOR ねばーぎぶあっぷ!,minor
315,pastel_palettes,Wonderland Girl,major
316,pastel_palettes,ゼッタイ宣言～Recital～,minor
317,pastel_palettes,ぎゅっDAYS♪,major
319,pastel_palettes,るんっ♪てぃてぃー！,major
318,pastel_palettes,Wonderful Sweet!,major
320,pastel_palettes,パッパレ☆人生！バーン万歳！,minor
321,pastel_palettes,Brand new Pastel Road!,major
322,pastel_palettes,あこがれacross,major
323,pastel_palettes,ハレハレ☆フォーチュン,minor
325,pastel_palettes,そばかす,major
324,pastel_palettes,ハナヒバナ,major
328,pastel_palettes,ラムのラブソング,minor
329,pastel_palettes,DANCE! おジャ魔女,minor
327,pastel_palettes,ドリームパレード,major
326,pastel_palettes,気まぐれロマンティック,major
330,pastel_palettes,DISCOTHEQUE,minor
331,pastel_palettes,ゆりゆららららゆるゆり大事件,major
332,pastel_palettes,SAKURAスキップ,major
334,pastel_palettes,秘密の扉から会いにきて,major
333,pastel_palettes,Stay Alive,major
337,pastel_palettes,Radiate Warriors,minor
335,pastel_palettes,トリドリ＊パレット,major
336,pastel_palettes,ドラマチック！アライブ,minor
338,pastel_palettes,ReReReエボリューションず☆,major
339,pastel_palettes,everyday flower,major
340,pastel_palettes,With〜きみとわたしたちの物語〜,major
341,pastel_palettes,フレっとパレットFight Song!!,major
342,pastel_palettes,デイオフ・ラフ・ラブ・サンクス,major
346,pastel_palettes,Sparkling Daydream (Cover),major
343,pastel_palettes,ホワイト ノスタルジア,major
344,pastel_palettes,Y.O.L.O！！！！！(パスパレver.),minor
345,pastel_palettes,奏（かなで） (Cover),major
347,pastel_palettes,春を告げる (Cover),major
348,pastel_palettes,だから、ひとりじゃない (Cover),major
349,pastel_palettes,サインはB (Cover),major
350,pastel_palettes,愛包ダンスホール (Cover),minor
351,pastel_palettes,最上級にかわいいの！ (Cover),major
357,pastel_palettes,みくみくにしてあげる♪【してやんよ】 (Cover),major
354,pastel_palettes,魔法少女とチョコレゐト (Cover),major
353,pastel_palettes,金曜日のおはよう (Cover),major
355,pastel_palettes,可愛くてごめん (Cover),major
352,pastel_palettes,♡桃色片想い♡ (Cover),major
356,pastel_palettes,からくりピエロ (Cover),minor
358,pastel_palettes,ルカルカ★ナイトフィーバー (Cover),minor
359,pastel_palettes,アイドル (Cover),minor
361,pastel_palettes,ふわふわ時間 (Cover),major
362,pastel_palettes,Fantastic future (Cover),minor
363,pastel_palettes,Baby Sweet Berry Love (Cover),major
360,pastel_palettes,secret base ～君がくれたもの～ (Cover),major
365,pastel_palettes,ヒトリゴト (Cover),major
366,pastel_palettes,惑星ループ (Cover),minor
364,pastel_palettes,Q＆A　リサイタル！ (Cover),major
367,pastel_palettes,世界は恋に落ちている (Cover),major
368,pastel_palettes,ハッピーシンセサイザ (Cover),major
369,pastel_palettes,春擬き (Cover),major
370,pastel_palettes,Make it! (Cover),major
371,pastel_palettes,花ハ踊レヤいろはにほ (Cover),minor
372,pastel_palettes,夜に駆ける (Cover),minor
373,pastel_palettes,徒花ネクロマンシー (Cover),major
374,pastel_palettes,ノスタルジックレインフォール (Cover),major
378,poppin_party,ティアドロップス,minor
375,poppin_party,Yes! BanG_Dream!,major
377,poppin_party,走り始めたばかりのキミに,major
379,poppin_party,ときめきエクスペリエンス！,major
376,poppin_party,STAR BEAT!～ホシノコドウ～,major
381,poppin_party,私の心はチョココロネ,major
380,poppin_party,キラキラだとか夢だとか ～Sing Girls～,major
382,poppin_party,前へススメ！,minor
384,poppin_party,ティアドロップス ～Popipa Acoustic Ver.～,minor
383,poppin_party,夢みるSunflower,major
386,poppin_party,Time Lapse,minor
385,poppin_party,走り始めたばかりのキミに ～Popipa Acoustic Ver.～,minor
387,poppin_party,八月のif,major
389,poppin_party,B.O.F,major
388,poppin_party,クリスマスのうた,major
390,poppin_party,CiRCLING,major
391,poppin_party,二重の虹(ダブル レインボウ),major
392,poppin_party,最高(さあ行こう)！,major
394,poppin_party,Yes! BanG_Dream! ～Popipa Acoustic Ver.～,major
397,poppin_party,Breakthrough!,major
