idx,band,song,duration_sec,lufs_integrated,lra,st_median,st_p10,st_p90,st_std,mastering_flag,extract_sec,error
1,afterglow,That Is How I Roll!,239.6,-10.898394386020712,2.0572166442871094,-10.853206634521484,-12.100350379943848,-10.043133735656738,1.1296402215957642,0,1.67,
7,afterglow,Sasanqua,236.8,-11.008043906449016,2.5839624404907227,-11.01579475402832,-12.633615493774414,-10.049653053283691,1.7837837934494019,0,1.65,
0,afterglow,ON YOUR MARK,241.63,-9.591000373770155,3.7707319259643555,-9.728347778320312,-11.921172142028809,-8.150440216064453,1.825531244277954,0,1.69,
4,afterglow,ツナグ、ソラモヨウ,248.93,-10.657535126953979,2.944875717163086,-10.655477523803711,-12.550858497619629,-9.605982780456543,1.8816105127334595,0,1.68,
5,afterglow,Hey-day狂騒曲(カプリチオ),233.7,-10.498236108310564,3.506649971008301,-10.360638618469238,-12.698678970336914,-9.192028999328613,3.97688627243042,0,1.67,
2,afterglow,SENSENFUKOKU,246.53,-11.858243332506898,3.4479408264160156,-11.784549713134766,-14.052518844604492,-10.604578018188477,1.7288727760314941,0,1.7,
6,afterglow,"Easy come, Easy go!",243.4,-10.725571232273822,3.662099838256836,-10.556795120239258,-13.198540687561035,-9.5364408493042,4.031495094299316,0,1.68,
3,afterglow,I knew it!,291.3,-10.215912777307645,2.1129579544067383,-10.286911964416504,-11.31188678741455,-9.198928833007812,4.940456390380859,0,1.87,
14,afterglow,SWITCH ON NOW,207.33,-9.82112338185104,2.3815603256225586,-9.892780303955078,-11.204800605773926,-8.823240280151367,6.399014949798584,0,0.98,
8,afterglow,RED RED RED,224.37,-11.489530755418162,2.318887710571289,-11.391728401184082,-12.86651611328125,-10.547628402709961,1.579951286315918,0,1.05,
11,afterglow,Scarlet Sky,229.0,-9.531600545755767,2.0726518630981445,-9.67026138305664,-10.614051818847656,-8.541399955749512,1.2197802066802979,0,1.05,
13,afterglow,いつも通りのBrand new days,237.33,-10.298623854194645,3.809497833251953,-10.063515663146973,-12.75379753112793,-8.944299697875977,4.544125080108643,0,1.17,
12,afterglow,Off we go.,251.83,-10.842505750790862,3.150228500366211,-10.812969207763672,-12.785823822021484,-9.635595321655273,1.4511792659759521,0,1.24,
10,afterglow,Y.O.L.O!!!!!,270.93,-10.480882062961495,3.1506805419921875,-10.437004089355469,-12.532994270324707,-9.38231372833252,5.817262172698975,0,1.35,
9,afterglow,ONE OF US,282.3,-12.419653435622397,3.240138053894043,-12.158843994140625,-14.548295974731445,-11.308157920837402,4.059150218963623,0,1.39,
15,afterglow,ランブリングメモリー,325.03,-10.84272592111089,3.829249382019043,-10.697732925415039,-13.551671028137207,-9.722421646118164,2.3698294162750244,0,1.55,
17,afterglow,Trouble Joyful!!,237.93,-10.325828795197097,2.5055999755859375,-10.280990600585938,-11.76179027557373,-9.256190299987793,1.213675618171692,0,1.1,
16,afterglow,COMIC PANIC!!!,280.5,-9.711785426460896,4.092350006103516,-9.668529510498047,-12.54318618774414,-8.450836181640625,4.720065593719482,0,1.22,
