idx,band,song,duration_sec,valence_median,valence_p10,valence_p90,valence_std,n_patches,extract_sec,error
4,afterglow,ツナグ、ソラモヨウ,248.93,6.6935,5.5541,7.3958,0.808,166,3.26,
3,afterglow,I knew it!,291.3,6.1642,5.3251,7.1088,0.713,194,3.75,
0,afterglow,ON YOUR MARK,241.63,6.1423,5.5068,6.7398,0.6049,161,17.93,
1,afterglow,That Is How I Roll!,239.6,6.4818,5.5478,7.2729,0.6482,160,18.17,
5,afterglow,Hey-day狂騒曲(カプリチオ),233.7,6.1304,4.787,7.1036,0.8822,156,17.08,
2,afterglow,SENSENFUKOKU,246.44,6.2307,5.2323,7.0977,0.8705,164,19.61,
8,afterglow,RED RED RED,224.37,5.8574,4.9632,6.4013,0.5575,149,5.79,
6,afterglow,"Easy come, Easy go!",243.4,5.9753,5.1945,6.9011,0.7261,162,6.68,
11,afterglow,Scarlet Sky,229.0,6.4851,5.7001,7.0898,0.5564,152,6.68,
7,afterglow,Sasanqua,236.8,5.8882,5.0872,6.4118,0.5024,158,6.75,
10,afterglow,Y.O.L.O!!!!!,270.93,6.3371,5.5923,7.1453,0.6798,181,7.59,
9,afterglow,ONE OF US,282.3,6.3318,5.3412,7.0215,0.671,188,7.71,
14,afterglow,SWITCH ON NOW,207.33,6.19,5.4395,6.931,0.6502,138,4.18,
12,afterglow,Off we go.,251.83,5.8907,5.2446,6.6649,0.6226,168,6.48,
13,afterglow,いつも通りのBrand new days,237.33,6.1814,5.5229,6.7435,0.5226,158,5.98,
17,afterglow,Trouble Joyful!!,237.93,6.043,5.238,6.9751,0.7174,158,6.46,
16,afterglow,COMIC PANIC!!!,280.5,6.5549,5.5755,7.4547,0.7478,187,7.44,
15,afterglow,ランブリングメモリー,325.03,5.8561,5.2961,6.4446,0.5054,217,8.37,
18,afterglow,Jamboree!Journey!,259.8,6.3438,5.474,7.0377,0.722,173,6.92,
20,afterglow,独創収差,276.3,4.423,3.1993,5.6819,0.9218,184,8.21,
21,afterglow,極彩色,238.6,6.0006,5.2871,6.6025,0.5608,159,7.23,
19,afterglow,カナユメ,307.47,5.8623,4.9803,6.4538,0.5841,205,9.48,
22,afterglow,サクラゼンセン,249.33,5.8706,5.2894,6.4214,0.4528,166,7.12,
23,afterglow,True color,253.33,6.383,5.514,6.8177,0.6144,169,7.3,
24,afterglow,Crow Song,244.2,6.0725,5.4463,7.1696,0.7081,163,6.65,
25,afterglow,カサブタ,196.67,6.4076,5.5771,7.0127,0.5469,131,5.68,
28,afterglow,トーキョーワンダー。,153.77,5.9526,4.665,6.4676,0.7559,102,4.29,
29,afterglow,Reach Out To The Truth,171.47,5.9946,5.3235,6.9637,0.6367,114,4.97,
27,afterglow,Northern lights,209.1,5.5132,4.8747,6.272,0.6434,139,5.83,
26,afterglow,アイのシナリオ,259.83,5.98,5.2701,6.5952,0.5309,173,6.62,
30,afterglow,Listen!!,227.47,6.0513,5.452,6.7215,0.5228,151,5.69,
32,afterglow,イマジネーション,177.97,6.3372,5.1599,7.1682,0.7268,118,3.73,
