idx,band,song,duration_sec,dfa_alpha,danceability_norm,dfa_alpha_native,danceability_clf_prob,error
0,afterglow,ON YOUR MARK,241.63,0.9429338574409485,0.0,,1.0605199337005615,
1,afterglow,That Is How I Roll!,239.6,0.8227238059043884,0.6667,,1.2154747247695923,
2,afterglow,SENSENFUKOKU,246.53,0.8914315700531006,0.3333,,1.121791124343872,
8,afterglow,RED RED RED,224.37,0.9526528716087341,0.2842,,1.049700379371643,
5,afterglow,Hey-day狂騒曲(カプリチオ),233.7,0.9251096248626709,0.4043,,1.0809528827667236,
7,afterglow,Sasanqua,236.8,0.9652191996574402,0.2386,,1.0360339879989624,
6,afterglow,"Easy come, Easy go!",243.4,0.9436734914779663,0.3207,,1.059688687324524,
4,afterglow,ツナグ、ソラモヨウ,248.93,0.943584680557251,0.3222,,1.0597883462905884,
10,afterglow,Y.O.L.O!!!!!,270.93,0.9477639198303223,0.304,,1.0551151037216187,
9,afterglow,ONE OF US,282.3,0.9284672141075134,0.386,,1.0770437717437744,
3,afterglow,I knew it!,291.3,0.9122349619865417,0.4757,,1.0962086915969849,
11,afterglow,Scarlet Sky,229.0,0.8188788890838623,0.8815,,1.2211817502975464,
14,afterglow,SWITCH ON NOW,207.33,0.9752084016799927,0.1945,,1.0254218578338623,
13,afterglow,いつも通りのBrand new days,237.33,0.9137240648269653,0.465,,1.0944222211837769,
12,afterglow,Off we go.,251.83,0.9618902206420898,0.2538,,1.0396196842193604,
17,afterglow,Trouble Joyful!!,237.93,0.8866113424301147,0.617,,1.1278899908065796,
16,afterglow,COMIC PANIC!!!,280.5,0.8262553811073303,0.8617,,1.2102797031402588,
18,afterglow,Jamboree!Journey!,259.8,0.8926702737808228,0.5821,,1.120234727859497,
15,afterglow,ランブリングメモリー,325.03,0.8547226190567017,0.7675,,1.169970154762268,
21,afterglow,極彩色,238.6,0.8954672813415527,0.5608,,1.1167354583740234,
20,afterglow,独創収差,276.3,1.0924406051635742,0.0182,,0.915381669998169,
22,afterglow,サクラゼンセン,249.33,0.8060925602912903,0.8967,,1.240552306175232,
25,afterglow,カサブタ,196.67,0.8550238609313965,0.7644,,1.169558048248291,
19,afterglow,カナユメ,307.47,0.9369601607322693,0.3571,,1.0672811269760132,
23,afterglow,True color,253.33,0.962712287902832,0.2462,,1.0387320518493652,
24,afterglow,Crow Song,244.2,0.7515085935592651,0.9726,,1.33065664768219,
26,afterglow,アイのシナリオ,259.83,0.9701526165008545,0.2158,,1.0307656526565552,
28,afterglow,トーキョーワンダー。,153.77,0.8887515664100647,0.6049,,1.125173807144165,
29,afterglow,Reach Out To The Truth,171.47,0.721664309501648,0.9878,,1.3856855630874634,
