idx,band,song,duration_sec,acoustic_median,acoustic_p10,acoustic_p90,acoustic_std,n_patches,extract_sec,error
4,afterglow,ツナグ、ソラモヨウ,248.93,0.0007397577282972634,5.767243783338927e-05,0.03498314693570137,0.10586163401603699,166,3.12,
3,afterglow,I knew it!,291.3,6.205514364410192e-05,1.3641858913615579e-06,0.0024526529014110565,0.010084833949804306,194,3.61,
0,afterglow,ON YOUR MARK,241.63,0.00017336022574454546,1.2964103461854393e-06,0.009149762801826,0.062438271939754486,161,21.93,
8,afterglow,RED RED RED,224.37,0.0011734236031770706,6.412679795175791e-05,0.12473096698522568,0.17050646245479584,149,6.59,
5,afterglow,Hey-day狂騒曲(カプリチオ),233.7,9.36821015784517e-06,1.3767318307600362e-07,0.0006643407978117466,0.0069473301991820335,156,6.83,
1,afterglow,That Is How I Roll!,239.6,0.0001630216429475695,6.873449365230044e-06,0.001883386867120862,0.005549242720007896,160,7.06,
7,afterglow,Sasanqua,236.8,0.0015151342377066612,6.0505619330797344e-05,0.07561169564723969,0.1256214827299118,158,7.1,
6,afterglow,"Easy come, Easy go!",243.4,7.615111826453358e-05,9.029653824654815e-07,0.004652677569538355,0.009442009031772614,162,7.26,
2,afterglow,SENSENFUKOKU,246.53,6.412989750970155e-05,1.540904349894845e-06,0.0024007100146263838,0.11394365131855011,164,7.35,
14,afterglow,SWITCH ON NOW,207.33,0.00015304374392144382,4.822572918783408e-06,0.004596551414579153,0.022336306050419807,138,5.48,
11,afterglow,Scarlet Sky,229.0,0.0004024658992420882,3.6733061278937384e-05,0.00889167096465826,0.014142205938696861,152,6.15,
12,afterglow,Off we go.,251.83,0.0018092715181410313,6.211318395799026e-05,0.23326614499092102,0.19461314380168915,168,6.54,
13,afterglow,いつも通りのBrand new days,237.33,0.0015823281137272716,5.69087133044377e-05,0.02726556733250618,0.18078666925430298,158,6.73,
9,afterglow,ONE OF US,282.3,0.00011666792852338403,2.5756626200745814e-06,0.0182935930788517,0.22663146257400513,188,7.55,
10,afterglow,Y.O.L.O!!!!!,270.93,4.241117858327925e-05,3.737423412530916e-06,0.0010823667980730534,0.07322048395872116,181,7.43,
17,afterglow,Trouble Joyful!!,237.93,0.003559567965567112,4.623586210072972e-05,0.1455836147069931,0.14192722737789154,158,5.66,
16,afterglow,COMIC PANIC!!!,280.5,5.756457903771661e-05,1.37163556246378e-06,0.003009592182934284,0.04138004034757614,187,6.77,
18,afterglow,Jamboree!Journey!,259.8,0.0009532247204333544,4.8704070650273934e-05,0.026357397437095642,0.04132521525025368,173,6.76,
15,afterglow,ランブリングメモリー,325.03,0.008927768096327782,0.00022113844170235097,0.49163779616355896,0.23755326867103577,217,8.41,
20,afterglow,独創収差,276.3,1.7479574125900399e-06,3.620820976379946e-08,0.4212411046028137,0.23698940873146057,184,7.45,
19,afterglow,カナユメ,307.47,0.006351344287395477,0.0004601182590704411,0.5518719553947449,0.2396710216999054,205,7.95,
21,afterglow,極彩色,238.6,0.0004907699185423553,3.3771164453355595e-05,0.026841172948479652,0.12436599284410477,159,6.15,
22,afterglow,サクラゼンセン,249.33,0.004119201563298702,0.00022844219347462058,0.40644514560699463,0.2563527822494507,166,6.99,
25,afterglow,カサブタ,196.67,5.092556239105761e-05,2.5908559564413736e-06,0.001721777836792171,0.014550953172147274,131,5.87,
23,afterglow,True color,253.33,0.0014594474341720343,0.00016563611279707402,0.08468325436115265,0.07927202433347702,169,7.45,
24,afterglow,Crow Song,244.2,1.1354499292792752e-05,3.491538222988311e-07,0.0004960290971212089,0.0012236888287588954,163,7.12,
26,afterglow,アイのシナリオ,259.83,0.0006955084973014891,3.10522154904902e-05,0.056699082255363464,0.14110374450683594,173,6.94,
28,afterglow,トーキョーワンダー。,153.77,0.0003852018853649497,1.0009500329033472e-05,0.01077604852616787,0.10674469918012619,102,4.11,
27,afterglow,Northern lights,209.1,0.00010414537973701954,2.3884849724709056e-06,0.007142707705497742,0.046855416148900986,139,5.7,
29,afterglow,Reach Out To The Truth,171.47,1.4447996363742277e-05,1.2232851531734923e-06,0.0003351006889715791,0.0028000506572425365,114,4.19,
32,afterglow,イマジネーション,177.97,0.0008574113016948104,8.816990884952247e-06,0.04079834371805191,0.11227602511644363,118,4.36,
30,afterglow,Listen!!,227.47,0.00025426089996472,2.984929551530513e-06,0.014851748943328857,0.07831832021474838,151,5.56,
34,afterglow,燦々,194.9,2.7829826194647467e-06,9.189744964999136e-09,0.0001582837721798569,0.00038398875040002167,129,5.12,
31,afterglow,青い栞,336.8,0.19259974360466003,0.011994285508990288,0.82667475938797,0.30230653285980225,225,8.51,
33,afterglow,Butter-Fly,250.2,8.235607674578205e-05,5.394960226112744e-06,0.0018513890681788325,0.0062315259128808975,167,6.78,
35,afterglow,That's why I'm here.,261.87,0.001575361704453826,1.4548216313414741e-05,0.34528273344039917,0.21152928471565247,174,7.15,
37,afterglow,ペトリコール・オベーション,219.13,0.0027806032449007034,5.316468741511926e-05,0.053737156093120575,0.09510930627584457,146,6.06,
36,afterglow,IGNITE GLOW,267.37,0.0019084932282567024,5.791799594589975e-06,0.08121662586927414,0.13220994174480438,178,6.97,
38,afterglow,Made My Day,243.97,0.001981110777705908,5.2603238145820796e-05,0.05092938616871834,0.12902745604515076,162,6.46,
39,afterglow,Glowing After,254.49,0.0005310917622409761,6.032363216945669e-06,0.22183731198310852,0.1784391850233078,170,6.8,
40,afterglow,A Sunset So Bright,231.11,2.17999786400469e-06,3.2180196285480633e-08,0.00018266325059812516,0.027178749442100525,154,6.16,
41,afterglow,Start as Usual,276.27,2.012628101510927e-05,8.1318844991074e-08,0.005164195317775011,0.10117562860250473,184,7.18,
42,afterglow,“Say cheese!!!!!”,261.07,2.190259147027973e-05,1.6255620494121104e-07,0.0006758884992450476,0.008557927794754505,174,6.97,
43,afterglow,花笑みのデュオ,250.31,0.00011692336556734517,1.9224858078814577e-06,0.0160316564142704,0.07711827009916306,167,7.21,
44,afterglow,READY STEADY GO (Cover),221.33,2.499617721696268e-06,6.351509540536426e-08,7.536474004155025e-05,0.022784676402807236,147,6.48,
46,afterglow,メンタルチェンソー (Cover),177.4,0.0002977974945679307,2.5282573915319517e-05,0.01382784079760313,0.06828756630420685,118,5.43,
45,afterglow,abnormalize (Cover),219.03,4.3089588871225715e-05,2.1583355191978626e-06,0.09740915894508362,0.08475600183010101,146,6.2,
47,afterglow,Bunny Girl (Cover),217.23,0.00020666138152591884,2.2549554046236153e-07,0.005790146067738533,0.059766627848148346,144,5.3,
48,afterglow,オレンジ (Cover),235.6,2.207091893069446e-05,3.889194744033375e-08,0.06551678478717804,0.10165141522884369,157,6.25,
49,afterglow,カゲロウデイズ (Cover),233.71,2.7366160793462768e-05,2.394826736917821e-08,0.04665321484208107,0.1296316385269165,156,6.36,
50,afterglow,DAY×DAY (Cover),219.07,1.3317896446096711e-05,6.625840853757836e-08,0.0004105666885152459,0.010330229066312313,146,6.28,
51,afterglow,ロキ (Cover),230.03,4.7638288378948346e-05,1.9094663912255783e-06,0.01560426875948906,0.03007332608103752,153,6.53,
52,afterglow,CHAINSAW BLOOD (Cover),203.12,0.0005586625775322318,1.8276568880537525e-05,0.008678237907588482,0.020339788869023323,135,6.14,
53,afterglow,チルドレンレコード (Re:boot) (Cover),189.71,0.007202619221061468,0.00013117791968397796,0.1779649257659912,0.11974065750837326,126,5.26,
54,afterglow,青のすみか (Cover),197.4,4.046656613354571e-05,3.1086946705727314e-07,0.0860612541437149,0.12824152410030365,131,4.74,
55,afterglow,GO!!! (Cover),239.67,0.0002498531830497086,4.132282811042387e-06,0.0035132267512381077,0.03704741969704628,160,6.55,
56,afterglow,天ノ弱 (Cover),187.77,0.0018269341671839356,1.4866542187519372e-05,0.30920854210853577,0.15339858829975128,125,5.06,
57,afterglow,アスノヨゾラ哨戒班 (Cover),192.03,0.00018703570822253823,9.215978025167715e-06,0.021005038172006607,0.09624449908733368,128,5.27,
58,afterglow,瞬間センチメンタル (Cover),230.93,0.00011595249088713899,3.431974391787662e-06,0.0035810968838632107,0.14271433651447296,154,6.04,
59,afterglow,プライド革命 (Cover),238.53,0.0004929915885441005,5.149863227416063e-06,0.014273100532591343,0.11423272639513016,159,6.19,
60,afterglow,命に嫌われている。 (Cover),274.1,0.06084178015589714,0.0002880987012758851,0.73459392786026,0.2981443405151367,183,7.07,
62,afterglow,インフェルノ (Cover),214.17,0.00024208346439991146,4.186642854620004e-06,0.21964219212532043,0.16723714768886566,142,6.52,
63,afterglow,ドラマツルギー (Cover),238.6,0.0012595867738127708,4.044071101816371e-05,0.06078153848648071,0.06158224865794182,159,6.96,
65,afterglow,午夜の待ち合わせ (Cover),171.53,0.00010787554492708296,1.9477438399917446e-06,0.010196278803050518,0.09371442347764969,114,5.44,
64,afterglow,COLORS (Cover),218.8,9.986262739403173e-05,2.1327186914277263e-06,0.09985220432281494,0.2108498066663742,146,6.37,
61,afterglow,Redo (Cover),261.57,1.086216616386082e-05,3.5117054153488425e-07,0.005386078730225563,0.20741930603981018,174,7.87,
66,afterglow,サムライハート（Some Like It Hot!!） (Cover),190.63,0.00014555954840034246,1.6060506595749757e-06,0.0964294895529747,0.13961702585220337,127,4.95,
69,afterglow,Part of the Life,88.66,2.9370061383815482e-05,5.342686790754669e-07,0.00023641958250664175,0.000521932786796242,58,1.63,
67,afterglow,ベノム (Cover),198.5,1.46723386933445e-05,1.6237316913247923e-07,0.0014713418204337358,0.00831946637481451,132,3.85,
70,afterglow,Punchline Halloween!!!,234.17,0.008193966932594776,0.0006147972890175879,0.07903551310300827,0.09838627278804779,156,5.67,
71,afterglow,I love your way！,263.7,5.972496001049876e-05,2.1126522824488347e-06,0.0015274672769010067,0.0203297920525074,176,6.6,
68,afterglow,Don't say “lazy” (Cover),275.67,0.00028545380337163806,2.5579342036508024e-05,0.03348921611905098,0.0722484141588211,184,7.32,
72,ave_mujica,KiLLKiSS,208.77,5.0156253564637154e-05,1.484176436861162e-06,0.0705641657114029,0.07188870757818222,139,6.45,
74,ave_mujica,Imprisoned XII,192.17,0.7733258008956909,0.00013492857397068292,0.9988292455673218,0.45138171315193176,128,5.76,
73,ave_mujica,"Georgette Me, Georgette You",234.68,0.051290132105350494,8.897415426645239e-08,0.9633679389953613,0.4149823784828186,156,6.83,
76,ave_mujica,八芒星ダンス,231.55,9.163654368649077e-08,3.029932749143427e-09,0.002357091521844268,0.059684041887521744,154,5.12,
77,ave_mujica,顔,242.17,3.125877583443071e-07,1.2394503201562657e-08,3.203058440703899e-05,0.042327139526605606,161,6.49,
75,ave_mujica,Crucifix X,299.0,8.362013431906234e-06,5.690896998089556e-08,0.07858551293611526,0.21979984641075134,199,8.22,
79,ave_mujica,黒のバースデイ,234.26,3.367781800989178e-06,5.6940926640436373e-08,0.047311242669820786,0.04035317525267601,156,6.41,
78,ave_mujica,天球のMúsica,280.33,1.3946669241704512e-05,5.309307198331226e-07,0.6431425213813782,0.279387503862381,187,7.19,
80,ave_mujica,ふたつの月 ~Deep Into The Forest~,304.92,2.4747453153395327e-07,2.663536502467423e-09,0.00750815961509943,0.0517277829349041,203,7.35,
82,ave_mujica,神さま、バカ,223.98,0.00016006371879484504,1.2058704896844574e-06,0.512467086315155,0.24841827154159546,149,5.77,
81,ave_mujica,Choir ‘S’ Choir,288.14,1.6721230622351868e-06,6.165988963857671e-08,0.020588509738445282,0.07409027963876724,192,7.99,
83,ave_mujica,Mas?uerade Rhapsody Re?uest,249.79,5.918286660744343e-07,3.1405589240307563e-09,0.18670254945755005,0.20354419946670532,166,6.67,
86,ave_mujica,Symbol II : Air,212.81,1.2390266874717781e-06,2.5890555477303678e-08,0.00048743796651251614,0.014494629576802254,142,6.02,
84,ave_mujica,Ave Mujica,277.99,6.669801223324612e-05,2.378963159799241e-07,0.6378593444824219,0.28162941336631775,185,7.24,
85,ave_mujica,Symbol I : △,312.18,4.676589469454484e-06,4.954293419956457e-09,0.0012675722828134894,0.08725384622812271,208,7.71,
88,ave_mujica,Symbol IV : Earth,239.14,4.0487328078597784e-05,2.4964629474766298e-08,0.13813014328479767,0.19386941194534302,159,5.91,
87,ave_mujica,Symbol III : ▽,256.93,0.9156514406204224,0.5486816763877869,0.9865743517875671,0.1939331591129303,171,6.91,
91,ave_mujica,in your blue eyes,222.77,0.00046766718151047826,8.23213611056417e-07,0.9060158133506775,0.3479197323322296,148,5.88,
89,ave_mujica,Ether,285.69,7.811468822183087e-05,1.013784753922664e-06,0.11242757737636566,0.19459712505340576,191,7.89,
90,ave_mujica,The Whole Blue World,257.3,8.24590097181499e-05,8.965051279119507e-07,0.04985770955681801,0.1664474904537201,171,6.96,
92,ave_mujica,素晴らしき世界 でも どこにもない場所,269.5,2.093670264002867e-05,2.2799724774813512e-08,0.0029384612571448088,0.0604722797870636,180,6.81,
95,ave_mujica,Sophie,197.01,9.217376828019042e-06,6.65587478465568e-08,0.014320247806608677,0.2083761990070343,131,5.65,
93,ave_mujica,Angles,275.08,0.027253003790974617,5.067538040748332e-06,0.9810950756072998,0.4309830665588379,183,7.94,
