idx,band,song,duration_sec,instr_stem_ratio,voice_median,voice_p10,voice_p90,voice_std,n_patches,error
0,afterglow,ON YOUR MARK,241.63,0.713039,0.9691150188446044,0.1544609367847442,0.999858856201172,0.3297912180423736,161.0,
1,afterglow,That Is How I Roll!,239.6,0.701748,0.9988173246383668,0.6336851119995117,0.9999505281448364,0.1923864036798477,160.0,
2,afterglow,SENSENFUKOKU,246.53,0.5638,0.9764816761016846,0.2007189393043518,0.999940037727356,0.3112026154994964,164.0,
3,afterglow,I knew it!,291.3,0.760132,0.9169033765792848,0.3202983736991882,0.9986507296562196,0.2784841954708099,194.0,
4,afterglow,ツナグ、ソラモヨウ,248.93,0.572178,0.9921858310699464,0.5798048377037048,0.999730944633484,0.2335809916257858,166.0,
5,afterglow,Hey-day狂騒曲(カプリチオ),233.7,0.67718,0.9980377554893494,0.3061592578887939,0.9999171495437622,0.2785700261592865,31.0,
6,afterglow,"Easy come, Easy go!",243.4,0.782983,0.8604950904846191,0.1164560690522193,0.998023509979248,0.3489455878734588,162.0,
7,afterglow,Sasanqua,236.8,0.62186,0.9925254583358764,0.8106396794319153,0.9997988343238832,0.149957463145256,158.0,
8,afterglow,RED RED RED,224.37,0.652337,0.9853048920631408,0.5730205774307251,0.999821126461029,0.2037840038537979,149.0,
9,afterglow,ONE OF US,282.3,0.641721,0.9236913919448853,0.0286115165799856,0.9998875260353088,0.3880769610404968,188.0,
10,afterglow,Y.O.L.O!!!!!,270.93,0.702245,0.977929949760437,0.2491034567356109,0.9996892213821412,0.2945404052734375,181.0,
11,afterglow,Scarlet Sky,229.0,0.775197,0.9987683296203612,0.8459821343421936,0.9999400973320008,0.1194133758544921,152.0,
12,afterglow,Off we go.,251.83,0.674506,0.9932888150215148,0.1953978836536407,0.9999346733093262,0.301977276802063,168.0,
13,afterglow,いつも通りのBrand new days,237.33,0.682194,0.976909875869751,0.049500111490488,0.9994199872016908,0.3709368705749511,158.0,
14,afterglow,SWITCH ON NOW,207.33,0.69744,0.9825958013534546,0.2843225598335266,0.9996771812438964,0.2798206210136413,138.0,
15,afterglow,ランブリングメモリー,325.03,0.674616,0.9883676171302797,0.580003023147583,0.9998401999473572,0.2060779482126236,217.0,
16,afterglow,COMIC PANIC!!!,280.5,0.711485,0.6734092831611633,0.0497514680027961,0.9902603030204772,0.3479016423225403,187.0,
17,afterglow,Trouble Joyful!!,237.93,0.6573,0.9930086731910706,0.2697349190711975,0.999992847442627,0.2988833487033844,158.0,
18,afterglow,Jamboree!Journey!,259.8,0.734698,0.9972544312477112,0.8897811770439148,0.9999266266822816,0.1239352524280548,173.0,
19,afterglow,カナユメ,307.47,0.719142,0.9993637204170228,0.8401069641113281,0.999991536140442,0.1449745297431945,205.0,
20,afterglow,独創収差,276.3,0.799104,0.996928095817566,0.5403918027877808,0.999954879283905,0.2259686440229416,184.0,
21,afterglow,極彩色,238.6,0.757314,0.9969124794006348,0.1404618322849273,0.9998973608016968,0.3462072610855102,159.0,
22,afterglow,サクラゼンセン,249.33,0.71639,0.998309314250946,0.5146631002426147,0.9998825788497924,0.2430781573057174,166.0,
23,afterglow,True color,253.33,0.772762,0.9987838864326476,0.454928308725357,0.9999598264694214,0.2594206035137176,169.0,
24,afterglow,Crow Song,244.2,0.773694,0.9767175316810608,0.3067485988140106,0.9999281764030457,0.277505874633789,163.0,
25,afterglow,カサブタ,196.67,0.722319,0.9499802589416504,0.2612301409244537,0.9986629486083984,0.2906408905982971,131.0,
26,afterglow,アイのシナリオ,259.83,0.75986,0.996865451335907,0.5806543231010437,0.999916970729828,0.2108639627695083,173.0,
27,afterglow,Northern lights,209.1,0.755352,0.967606008052826,0.1069394722580909,0.9995945692062378,0.3473893404006958,139.0,
28,afterglow,トーキョーワンダー。,153.77,0.675927,0.9925267696380616,0.1740060001611709,0.9999744296073914,0.321892648935318,102.0,
29,afterglow,Reach Out To The Truth,171.47,0.836679,0.996367871761322,0.8721320033073425,0.9999690055847168,0.0853978022933006,114.0,
30,afterglow,Listen!!,227.47,0.724387,0.9877501130104064,0.2700676023960113,0.9996846914291382,0.2836365103721618,151.0,
31,afterglow,青い栞,336.8,0.628103,0.9996455907821656,0.6816069483757019,0.9999971389770508,0.2127383798360824,225.0,
32,afterglow,イマジネーション,177.97,0.689159,0.9943966269493104,0.4811927378177643,0.999880850315094,0.2641562223434448,118.0,
33,afterglow,Butter-Fly,250.2,0.748116,0.999624490737915,0.6155244708061218,0.9999850988388062,0.2109138816595077,167.0,
34,afterglow,燦々,194.9,0.759381,0.9996979236602784,0.6606940627098083,0.9999969005584716,0.1837311685085296,129.0,
35,afterglow,That's why I'm here.,261.87,0.6122,0.9964622259140016,0.4717760682106018,0.9999327063560486,0.2509195804595947,174.0,
36,afterglow,IGNITE GLOW,267.37,0.684178,0.979447305202484,0.0085562178865075,0.9999425411224364,0.4040184020996094,178.0,
37,afterglow,ペトリコール・オベーション,219.13,0.660852,0.9703495502471924,0.1232979297637939,0.9997084140777588,0.3526582717895508,146.0,
38,afterglow,Made My Day,243.97,0.679684,0.9938360452651978,0.1930378377437591,0.9998396635055542,0.3232520818710327,162.0,
39,afterglow,Glowing After,254.49,0.576187,0.9999085664749146,0.95145845413208,0.999997615814209,0.1373954266309738,170.0,
40,afterglow,A Sunset So Bright,231.11,0.820051,0.990556299686432,0.3029192984104156,0.9997596144676208,0.2667424082756042,154.0,
41,afterglow,Start as Usual,276.27,0.621262,0.999528467655182,0.4838418364524841,0.9999971985816956,0.2295614629983902,184.0,
42,afterglow,“Say cheese!!!!!”,261.07,0.72551,0.9995967149734496,0.8249529004096985,0.9999883770942688,0.1532262414693832,174.0,
43,afterglow,花笑みのデュオ,250.31,0.623604,0.9998788833618164,0.7293403744697571,0.9999980926513672,0.1855643838644027,167.0,
44,afterglow,READY STEADY GO (Cover),221.33,0.75303,0.9239169359207152,0.1619048714637756,0.9991014003753662,0.3199696540832519,147.0,
45,afterglow,abnormalize (Cover),219.03,0.740614,0.8896579742431641,0.2335951626300811,0.9997443556785583,0.3075276911258697,146.0,
46,afterglow,メンタルチェンソー (Cover),177.4,0.747949,0.9907850027084352,0.3721693456172943,0.9996570348739624,0.2530101537704468,118.0,
47,afterglow,Bunny Girl (Cover),217.23,0.724083,0.999927818775177,0.84581458568573,0.9999976754188538,0.0774872452020645,144.0,
48,afterglow,オレンジ (Cover),235.6,0.67899,0.9995290040969848,0.773966372013092,0.9999980330467224,0.1632459759712219,157.0,
49,afterglow,カゲロウデイズ (Cover),233.71,0.771303,0.9926530122756958,0.3974749445915222,0.999943196773529,0.2524356544017792,156.0,
50,afterglow,DAY×DAY (Cover),219.07,0.638362,0.9996256828308104,0.9416074156761168,0.999991536140442,0.1161919236183166,146.0,
51,afterglow,ロキ (Cover),230.03,0.741849,0.9946946501731871,0.4417745172977447,0.9999314546585084,0.2406028807163238,153.0,
52,afterglow,CHAINSAW BLOOD (Cover),203.12,0.731216,0.9960615038871764,0.9021397233009338,0.9999156594276428,0.0704885944724083,135.0,
53,afterglow,チルドレンレコード (Re:boot) (Cover),189.71,0.662413,0.998192012310028,0.6202733516693115,0.9999929070472716,0.1907451003789901,126.0,
54,afterglow,青のすみか (Cover),197.4,0.624873,0.9998226761817932,0.8312409520149231,0.9999955892562866,0.1774232685565948,131.0,
55,afterglow,GO!!! (Cover),239.67,0.708464,0.9954745173454284,0.2802059054374695,0.9999773502349854,0.2665413022041321,160.0,
56,afterglow,天ノ弱 (Cover),187.77,0.660481,0.9926014542579652,0.1832291632890701,0.9999657273292542,0.3175852596759796,125.0,
57,afterglow,アスノヨゾラ哨戒班 (Cover),192.03,0.774162,0.9981759190559388,0.7113640904426575,0.999961256980896,0.1486208885908126,128.0,
