idx,tag,bestdori_id,match_method,official_bpm,official_bpm_min,official_bpm_max,n_unique_bpm,dominant_coverage
0,afterglow__000,184,band+title,185.0,185.0,185.0,1,1.0
1,afterglow__001,26,band+title,180.0,180.0,180.0,1,1.0
2,afterglow__002,304,band+title,200.0,200.0,200.0,1,1.0
3,afterglow__003,284,band+title,200.0,200.0,200.0,1,1.0
4,afterglow__004,144,band+title,192.0,192.0,192.0,1,1.0
5,afterglow__005,65,band+title,158.0,158.0,158.0,1,1.0
6,afterglow__006,207,band+title,135.0,135.0,135.0,1,1.0
7,afterglow__007,222,band+title,198.0,198.0,198.0,1,1.0
8,afterglow__008,270,band+title,188.0,188.0,188.0,1,1.0
9,afterglow__009,293,band+title,210.0,135.0,210.0,5,0.9628466771323914
10,afterglow__010,93,band+title,210.0,128.0,210.0,2,0.9024453694068678
11,afterglow__011,28,band+title,180.0,180.0,180.0,1,1.0
12,afterglow__012,372,band+title,180.0,180.0,180.0,1,1.0
13,afterglow__013,185,band+title,192.0,192.0,192.0,1,1.0
14,afterglow__014,425,band+title,200.0,200.0,200.0,1,1.0
15,afterglow__015,156,band+title,125.0,124.0,125.0,2,0.9005321326238231
16,afterglow__016,121,band+title,210.0,210.0,210.0,1,1.0
17,afterglow__017,356,band+title,194.0,194.0,194.0,1,1.0
18,afterglow__018,113,band+title,156.0,156.0,156.0,1,1.0
19,afterglow__019,340,band+title,125.0,125.0,125.0,1,1.0
20,afterglow__020,442,band+title,126.0,126.0,126.0,1,1.0
21,afterglow__021,521,band+title,185.0,185.0,185.0,1,1.0
22,afterglow__022,414,band+title,140.0,140.0,140.0,1,1.0
23,afterglow__023,27,band+title,160.0,160.0,160.0,1,1.0
24,afterglow__024,154,band+title,174.0,174.0,174.0,1,1.0
25,afterglow__025,277,band+title,172.0,172.0,172.0,1,1.0
26,afterglow__026,215,band+title,180.0,180.0,180.0,1,1.0
27,afterglow__027,309,band+title,135.0,135.0,135.0,1,1.0
28,afterglow__028,423,band+title,138.0,138.0,138.0,1,1.0
29,afterglow__029,134,band+title,170.0,170.0,170.0,1,1.0
30,afterglow__030,394,band+title,175.0,175.0,175.0,1,1.0
31,afterglow__031,205,band+title,132.0,132.0,132.0,1,1.0
32,afterglow__032,117,band+title,204.0,204.0,204.0,1,1.0
33,afterglow__033,11,band+title,171.0,171.0,171.0,1,1.0
34,afterglow__034,526,band+title,196.0,196.0,196.0,1,1.0
36,afterglow__036,470,band+title,132.0,132.0,132.0,1,1.0
37,afterglow__037,510,band+title,185.0,185.0,185.0,1,1.0
38,afterglow__038,488,band+title,190.0,182.0,190.0,2,0.9338537731889532
39,afterglow__039,611,band+title,198.0,198.0,198.0,1,1.0
40,afterglow__040,577,band+title,190.0,190.0,190.0,1,1.0
41,afterglow__041,622,band+title,180.0,155.0,180.0,2,0.8652826706363373
42,afterglow__042,646,band+title,120.0,120.0,120.0,1,1.0
43,afterglow__043,666,band+title,200.0,200.0,200.0,1,1.0
44,afterglow__044,78,band+title,144.0,144.0,144.0,1,1.0
45,afterglow__045,444,band+title,175.0,175.0,175.0,1,1.0
46,afterglow__046,404,band+title,188.0,188.0,188.0,1,1.0
47,afterglow__047,695,band+title,160.0,160.0,160.0,1,1.0
48,afterglow__048,676,band+title,200.0,200.0,200.0,1,1.0
49,afterglow__049,632,band+title,200.0,200.0,200.0,1,1.0
50,afterglow__050,776,band+title,193.0,193.0,193.0,1,1.0
51,afterglow__051,253,band+title,150.0,150.0,150.0,1,1.0
52,afterglow__052,507,band+title,147.0,147.0,147.0,1,1.0
53,afterglow__053,529,band+title,206.0,206.0,206.0,1,1.0
54,afterglow__054,588,band+title,152.0,152.0,152.0,1,1.0
55,afterglow__055,237,title-unique,134.0,134.0,134.0,1,1.0
56,afterglow__056,233,band+title,200.0,200.0,200.0,1,1.0
57,afterglow__057,66,band+title,185.0,185.0,185.0,1,1.0
58,afterglow__058,163,band+title,168.0,168.0,168.0,1,1.0
59,afterglow__059,83,band+title,185.0,185.0,185.0,1,1.0
60,afterglow__060,479,band+title,200.0,200.0,200.0,1,1.0
61,afterglow__061,89,band+title,190.0,190.0,190.0,1,1.0
62,afterglow__062,252,band+title,185.0,185.0,185.0,1,1.0
63,afterglow__063,308,title-unique,149.0,149.0,149.0,1,1.0
64,afterglow__064,378,title-unique,136.0,136.0,136.0,1,1.0
65,afterglow__065,195,band+title,189.0,189.0,189.0,1,1.0
66,afterglow__066,319,band+title,113.0,113.0,113.0,1,1.0
67,afterglow__067,376,band+title,152.0,152.0,152.0,1,1.0
69,afterglow__069,738,band+title,185.0,185.0,185.0,1,1.0
70,afterglow__070,451,band+title,180.0,180.0,180.0,1,1.0
71,afterglow__071,251,band+title,130.0,128.0,130.0,2,0.9624639076034649
72,ave_mujica__072,659,band+title,200.0,200.0,200.0,1,1.0
73,ave_mujica__073,661,band+title,142.0,142.0,142.0,1,1.0
74,ave_mujica__074,670,band+title,158.0,158.0,158.0,1,1.0
75,ave_mujica__075,671,band+title,103.0,103.0,103.0,1,1.0
76,ave_mujica__076,682,band+title,114.0,113.0,162.0,5,0.7856908476501573
77,ave_mujica__077,685,band+title,140.0,140.0,140.0,1,1.0
79,ave_mujica__079,705,band+title,198.0,144.0,198.0,2,0.7798210385401254
83,ave_mujica__083,737,band+title,190.0,190.0,190.0,1,1.0
84,ave_mujica__084,531,band+title,222.0,97.0,222.0,12,0.9396009407018321
106,hello_happy_world__106,150,band+title,124.0,124.0,124.0,1,1.0
107,hello_happy_world__107,132,band+title,198.0,198.0,198.0,1,1.0
108,hello_happy_world__108,212,band+title,151.0,151.0,151.0,1,1.0
109,hello_happy_world__109,189,band+title,150.0,150.0,150.0,1,1.0
110,hello_happy_world__110,68,band+title,172.0,172.0,172.0,1,1.0
111,hello_happy_world__111,197,band+title,190.0,190.0,190.0,1,1.0
112,hello_happy_world__112,341,band+title,174.0,174.0,174.0,1,1.0
113,hello_happy_world__113,37,band+title,215.0,215.0,215.0,1,1.0
114,hello_happy_world__114,262,band+title,180.0,160.0,180.0,4,0.8813357442998528
115,hello_happy_world__115,35,band+title,138.0,138.0,138.0,1,1.0
116,hello_happy_world__116,313,band+title,167.0,167.0,167.0,1,1.0
117,hello_happy_world__117,524,band+title,126.0,126.0,126.0,1,1.0
118,hello_happy_world__118,69,band+title,85.0,85.0,200.0,2,0.6308153288124901
119,hello_happy_world__119,362,band+title,128.0,128.0,128.0,1,1.0
120,hello_happy_world__120,443,band+title,194.0,84.0,194.0,6,0.8737125368490366
121,hello_happy_world__121,171,band+title,230.0,230.0,230.0,1,1.0
122,hello_happy_world__122,123,band+title,130.0,130.0,130.0,1,1.0
