idx,tag,band,song,drum_tempo_bpm,n_candidates_in_range,base_in_range,selected_multiplier,selected_bpm,selected_acf,audio_status,cand_0.500_bpm,cand_0.500_acf,cand_0.667_bpm,cand_0.667_acf,cand_1.000_bpm,cand_1.000_acf,cand_1.500_bpm,cand_1.500_acf,cand_2.000_bpm,cand_2.000_acf
0,afterglow__000,afterglow,ON YOUR MARK,92.3,3,True,1.0,92.3,0.6768192052841187,ok,,,,,92.3,0.6768192052841187,138.45,0.16461795568466187,184.6,0.6606537103652954
1,afterglow__001,afterglow,That Is How I Roll!,90.7,3,True,1.0,90.7,0.6343963742256165,ok,,,,,90.7,0.6343963742256165,136.05,0.14916729927062988,181.4,0.562146782875061
2,afterglow__002,afterglow,SENSENFUKOKU,99.4,3,True,1.0,99.4,0.5904943943023682,ok,,,,,99.4,0.5904943943023682,149.10000000000002,0.16710595786571503,198.8,0.5200470089912415
3,afterglow__003,afterglow,I knew it!,99.4,3,True,1.0,99.4,0.6732470989227295,ok,,,,,99.4,0.6732470989227295,149.10000000000002,0.15333591401576996,198.8,0.6369630694389343
4,afterglow__004,afterglow,ツナグ、ソラモヨウ,95.7,3,True,1.0,95.7,0.7187079787254333,ok,,,,,95.7,0.7187079787254333,143.55,0.11780567467212677,191.4,0.6017066836357117
5,afterglow__005,afterglow,Hey-day狂騒曲(カプリチオ),156.6,2,True,1.0,156.6,0.558655858039856,ok,,,104.39999999999999,0.379086971282959,156.6,0.558655858039856,,,,
6,afterglow__006,afterglow,"Easy come, Easy go!",136.0,3,True,1.0,136.0,0.6677034497261047,ok,,,90.66666666666666,0.4694378077983856,136.0,0.6677034497261047,204.0,0.13150179386138916,,
7,afterglow__007,afterglow,Sasanqua,99.4,3,True,1.0,99.4,0.5920093655586243,ok,,,,,99.4,0.5920093655586243,149.10000000000002,0.1455814689397812,198.8,0.5370633006095886
8,afterglow__008,afterglow,RED RED RED,94.0,3,True,1.0,94.0,0.6476753354072571,ok,,,,,94.0,0.6476753354072571,141.0,0.19693070650100708,188.0,0.5399985313415527
9,afterglow__009,afterglow,ONE OF US,105.5,3,True,1.0,105.5,0.685447096824646,ok,,,,,105.5,0.685447096824646,158.25,0.1867070496082306,211.0,0.508540153503418
