idx,tag,band,song,drum_tempo_bpm,n_candidates,rule,decision_ratio,octave_shift,selected_bpm,base_in_range
0,afterglow__000,afterglow,ON YOUR MARK,92.3,2,acf_up,0.976,1,184.6,True
1,afterglow__001,afterglow,That Is How I Roll!,90.7,2,acf_up,0.886,0,90.7,True
2,afterglow__002,afterglow,SENSENFUKOKU,99.4,2,acf_up,0.881,0,99.4,True
3,afterglow__003,afterglow,I knew it!,99.4,2,acf_up,0.946,0,99.4,True
4,afterglow__004,afterglow,ツナグ、ソラモヨウ,95.7,2,acf_up,0.837,0,95.7,True
5,afterglow__005,afterglow,Hey-day狂騒曲(カプリチオ),156.6,1,unique,,0,156.6,True
6,afterglow__006,afterglow,"Easy come, Easy go!",136.0,1,unique,,0,136.0,True
7,afterglow__007,afterglow,Sasanqua,99.4,2,acf_up,0.907,0,99.4,True
8,afterglow__008,afterglow,RED RED RED,94.0,2,acf_up,0.825,0,94.0,True
9,afterglow__009,afterglow,ONE OF US,105.5,2,acf_up,0.742,0,105.5,True
10,afterglow__010,afterglow,Y.O.L.O!!!!!,105.5,2,acf_up,0.803,0,105.5,True
11,afterglow__011,afterglow,Scarlet Sky,90.7,2,acf_up,0.755,0,90.7,True
12,afterglow__012,afterglow,Off we go.,120.2,1,unique,,0,120.2,True
13,afterglow__013,afterglow,いつも通りのBrand new days,95.7,2,acf_up,0.829,0,95.7,True
14,afterglow__014,afterglow,SWITCH ON NOW,99.4,2,acf_up,0.814,0,99.4,True
15,afterglow__015,afterglow,ランブリングメモリー,126.0,1,unique,,0,126.0,True
16,afterglow__016,afterglow,COMIC PANIC!!!,105.5,2,acf_up,0.755,0,105.5,True
17,afterglow__017,afterglow,Trouble Joyful!!,97.5,2,acf_up,0.773,0,97.5,True
18,afterglow__018,afterglow,Jamboree!Journey!,78.3,1,unique,,1,156.6,False
19,afterglow__019,afterglow,カナユメ,126.0,1,unique,,0,126.0,True
20,afterglow__020,afterglow,独創収差,126.0,1,unique,,0,126.0,True
21,afterglow__021,afterglow,極彩色,92.3,2,acf_up,0.808,0,92.3,True
22,afterglow__022,afterglow,サクラゼンセン,139.7,1,unique,,0,139.7,True
23,afterglow__023,afterglow,True color,79.5,1,unique,,1,159.0,False
24,afterglow__024,afterglow,Crow Song,87.6,2,acf_up,0.814,0,87.6,True
25,afterglow__025,afterglow,カサブタ,86.1,2,acf_up,0.747,0,86.1,True
26,afterglow__026,afterglow,アイのシナリオ,90.7,2,acf_up,0.956,0,90.7,True
27,afterglow__027,afterglow,Northern lights,136.0,1,unique,,0,136.0,True
28,afterglow__028,afterglow,トーキョーワンダー。,136.0,1,unique,,0,136.0,True
29,afterglow__029,afterglow,Reach Out To The Truth,84.7,1,unique,,1,169.4,False
30,afterglow__030,afterglow,Listen!!,87.6,2,acf_up,0.815,0,87.6,True
31,afterglow__031,afterglow,青い栞,132.5,1,unique,,0,132.5,True
32,afterglow__032,afterglow,イマジネーション,101.3,2,acf_up,0.828,0,101.3,True
33,afterglow__033,afterglow,Butter-Fly,86.1,2,acf_up,0.723,0,86.1,True
34,afterglow__034,afterglow,燦々,97.5,2,acf_up,0.852,0,97.5,True
35,afterglow__035,afterglow,That's why I'm here.,92.3,2,acf_up,0.925,0,92.3,True
36,afterglow__036,afterglow,IGNITE GLOW,132.5,1,unique,,0,132.5,True
37,afterglow__037,afterglow,ペトリコール・オベーション,92.3,2,acf_up,0.762,0,92.3,True
38,afterglow__038,afterglow,Made My Day,95.7,2,acf_up,0.752,0,95.7,True
39,afterglow__039,afterglow,Glowing After,99.4,2,acf_up,0.786,0,99.4,True
40,afterglow__040,afterglow,A Sunset So Bright,126.0,1,unique,,0,126.0,True
41,afterglow__041,afterglow,Start as Usual,90.7,2,acf_up,0.811,0,90.7,True
42,afterglow__042,afterglow,“Say cheese!!!!!”,120.2,1,unique,,0,120.2,True
43,afterglow__043,afterglow,花笑みのデュオ,99.4,2,acf_up,0.899,0,99.4,True
44,afterglow__044,afterglow,READY STEADY GO (Cover),143.6,1,unique,,0,143.6,True
45,afterglow__045,afterglow,abnormalize (Cover),87.6,2,acf_up,0.879,0,87.6,True
46,afterglow__046,afterglow,メンタルチェンソー (Cover),94.0,2,acf_up,0.948,0,94.0,True
47,afterglow__047,afterglow,Bunny Girl (Cover),79.5,1,unique,,1,159.0,False
48,afterglow__048,afterglow,オレンジ (Cover),99.4,2,acf_up,0.946,0,99.4,True
49,afterglow__049,afterglow,カゲロウデイズ (Cover),99.4,2,acf_up,0.754,0,99.4,True
50,afterglow__050,afterglow,DAY×DAY (Cover),95.7,2,acf_up,0.786,0,95.7,True
51,afterglow__051,afterglow,ロキ (Cover),147.7,1,unique,,0,147.7,True
52,afterglow__052,afterglow,CHAINSAW BLOOD (Cover),147.7,1,unique,,0,147.7,True
53,afterglow__053,afterglow,チルドレンレコード (Re:boot) (Cover),103.4,2,acf_up,0.692,0,103.4,True
54,afterglow__054,afterglow,青のすみか (Cover),152.0,1,unique,,0,152.0,True
