tag,essentia_key,essentia_scale,essentia_key_strength,status
afterglow__000,D,major,0.882848262787,success
afterglow__001,D,major,0.763448834419,success
afterglow__002,F,major,0.702752768993,success
afterglow__003,A,major,0.931417942047,success
afterglow__004,E,major,0.85271447897,success
afterglow__005,D,minor,0.779074013233,success
afterglow__006,D,major,0.849519789219,success
afterglow__007,C#,major,0.873576045036,success
afterglow__008,C#,major,0.843766212463,success
afterglow__009,Bb,major,0.629238903522,success
afterglow__010,F,major,0.792102515697,success
afterglow__011,A,major,0.855648756027,success
afterglow__012,C,major,0.872284770012,success
afterglow__013,F#,minor,0.638715565205,success
afterglow__014,Ab,minor,0.707393467426,success
afterglow__015,E,major,0.837345480919,success
afterglow__016,F,major,0.786047518253,success
afterglow__017,D,major,0.795960903168,success
afterglow__018,F#,major,0.912662565708,success
afterglow__019,D,major,0.818351447582,success
afterglow__020,Eb,minor,0.643689095974,success
afterglow__021,D,minor,0.736346364021,success
afterglow__022,A,major,0.712439775467,success
afterglow__023,G,major,0.772061526775,success
afterglow__024,Eb,major,0.797591745853,success
afterglow__025,A,major,0.820090532303,success
afterglow__026,D,major,0.822912395,success
afterglow__027,A,minor,0.753078043461,success
afterglow__028,F,major,0.748055875301,success
afterglow__029,D,major,0.714582324028,success
afterglow__030,A,minor,0.687091350555,success
afterglow__031,B,major,0.865911900997,success
afterglow__032,Ab,minor,0.634786963463,success
afterglow__033,Ab,major,0.780590176582,success
afterglow__034,E,major,0.726598978043,success
afterglow__035,B,major,0.609761059284,success
afterglow__036,E,minor,0.746734976768,success
afterglow__037,F,major,0.899480044842,success
afterglow__038,F,major,0.860587954521,success
afterglow__039,E,major,0.637382745743,success
afterglow__040,A,minor,0.842698454857,success
afterglow__041,D,major,0.742521464825,success
afterglow__042,A,major,0.845806658268,success
afterglow__043,G,major,0.661375403404,success
afterglow__044,E,major,0.733506858349,success
afterglow__045,F,major,0.786756277084,success
afterglow__046,Bb,major,0.629190981388,success
afterglow__047,A,major,0.706180691719,success
afterglow__048,G,major,0.781924247742,success
afterglow__049,Bb,major,0.628420293331,success
afterglow__050,E,minor,0.468624651432,success
afterglow__051,E,major,0.66036760807,success
afterglow__052,A,minor,0.755716443062,success
afterglow__053,F,major,0.552177727222,success
afterglow__054,F#,major,0.72993272543,success
afterglow__055,F,major,0.825429260731,success
afterglow__056,C#,major,0.602420151234,success
afterglow__057,A,major,0.919704198837,success
afterglow__058,F#,minor,0.69969522953,success
afterglow__059,E,major,0.878275215626,success
afterglow__060,C,major,0.840110123158,success
afterglow__061,C,minor,0.740441203117,success
afterglow__062,A,major,0.905784249306,success
afterglow__063,F#,minor,0.68722486496,success
afterglow__064,C#,major,0.728616178036,success
afterglow__065,Ab,minor,0.658251404762,success
afterglow__066,G,major,0.880397796631,success
afterglow__067,Ab,major,0.616845726967,success
afterglow__068,E,minor,0.719479560852,success
afterglow__069,B,major,0.881318509579,success
afterglow__070,C,minor,0.684300065041,success
afterglow__071,D,major,0.764744281769,success
ave_mujica__072,E,minor,0.748751223087,success
ave_mujica__073,C#,minor,0.724404811859,success
ave_mujica__074,C,major,0.812228262424,success
ave_mujica__075,Bb,major,0.723872542381,success
ave_mujica__076,C#,minor,0.671572983265,success
ave_mujica__077,B,minor,0.484785735607,success
ave_mujica__078,F,major,0.775132477283,success
ave_mujica__079,Eb,minor,0.778189122677,success
ave_mujica__080,E,minor,0.689541459084,success
ave_mujica__081,G,minor,0.720756828785,success
ave_mujica__082,Bb,major,0.714125752449,success
ave_mujica__083,C#,minor,0.497014462948,success
ave_mujica__084,G,minor,0.70143866539,success
ave_mujica__085,B,minor,0.711574196815,success
ave_mujica__086,B,minor,0.568543851376,success
ave_mujica__087,G,major,0.798753082752,success
ave_mujica__088,G,major,0.694916307926,success
ave_mujica__089,C#,minor,0.726598978043,success
ave_mujica__090,C#,major,0.710473358631,success
ave_mujica__091,D,minor,0.813697457314,success
ave_mujica__092,C,minor,0.736254274845,success
ave_mujica__093,B,major,0.648338735104,success
ave_mujica__094,Bb,major,0.645132780075,success
ave_mujica__095,B,minor,0.815279781818,success
ave_mujica__096,E,minor,0.716597855091,success
ave_mujica__097,D,minor,0.800448298454,success
ave_mujica__098,F#,major,0.517315864563,success
ave_mujica__099,Ab,minor,0.571757376194,success
ave_mujica__100,Bb,minor,0.816522300243,success
various_artists__101,Eb,minor,0.649371683598,success
various_artists__102,G,major,0.839099526405,success
various_artists__103,E,major,0.921201586723,success
various_artists__104,Ab,major,0.78076082468,success
various_artists__105,G,major,0.854406416416,success
hello_happy_world__106,D,major,0.845393240452,success
hello_happy_world__107,Eb,major,0.909454762936,success
hello_happy_world__108,C#,minor,0.561559259892,success
hello_happy_world__109,E,major,0.850166738033,success
hello_happy_world__110,E,major,0.756448149681,success
hello_happy_world__111,F#,minor,0.797105610371,success
hello_happy_world__112,Eb,minor,0.543981194496,success
hello_happy_world__113,Ab,minor,0.829543173313,success
hello_happy_world__114,F#,minor,0.652701854706,success
hello_happy_world__115,Bb,major,0.877589285374,success
hello_happy_world__116,D,major,0.873190879822,success
hello_happy_world__117,A,major,0.634705901146,success
hello_happy_world__118,G,major,0.645924687386,success
hello_happy_world__119,Ab,minor,0.77071839571,success
hello_happy_world__120,C,major,0.887041449547,success
hello_happy_world__121,C,major,0.899797022343,success
hello_happy_world__122,F,major,0.843850970268,success
hello_happy_world__123,F,major,0.750881552696,success
hello_happy_world__124,A,minor,0.761011958122,success
hello_happy_world__125,Eb,major,0.630024015903,success
hello_happy_world__126,Eb,major,0.753537893295,success
hello_happy_world__127,F#,major,0.745979487896,success
hello_happy_world__128,A,major,0.876628100872,success
hello_happy_world__129,D,major,0.816905796528,success
hello_happy_world__130,D,minor,0.565453469753,success
hello_happy_world__131,D,major,0.908499240875,success
hello_happy_world__132,C#,major,0.482237637043,success
hello_happy_world__133,A,minor,0.555102586746,success
hello_happy_world__134,Eb,major,0.839590609074,success
hello_happy_world__135,A,major,0.754545986652,success
hello_happy_world__136,G,major,0.807502865791,success
hello_happy_world__137,F,major,0.75893497467,success
hello_happy_world__138,D,major,0.846843540668,success
hello_happy_world__139,D,major,0.907969117165,success
hello_happy_world__140,F,major,0.801736414433,success
hello_happy_world__141,F,major,0.836085557938,success
hello_happy_world__142,F,major,0.831552743912,success
hello_happy_world__143,E,major,0.71677839756,success
hello_happy_world__144,A,major,0.704803824425,success
hello_happy_world__145,F#,major,0.672233998775,success
hello_happy_world__146,C#,major,0.766725301743,success
hello_happy_world__147,C,major,0.770889103413,success
hello_happy_world__148,C,major,0.739474654198,success
hello_happy_world__149,G,major,0.695834040642,success
hello_happy_world__150,C,major,0.533731997013,success
hello_happy_world__151,G,major,0.854231953621,success
hello_happy_world__152,D,minor,0.580255746841,success
hello_happy_world__153,Ab,major,0.720088541508,success
hello_happy_world__154,C,major,0.616663634777,success
hello_happy_world__155,C#,minor,0.834112763405,success
hello_happy_world__156,G,major,0.694102108479,success
hello_happy_world__157,A,minor,0.72799295187,success
hello_happy_world__158,Bb,major,0.753898918629,success
hello_happy_world__159,E,minor,0.715274453163,success
hello_happy_world__160,D,major,0.818047761917,success
hello_happy_world__161,Eb,major,0.879623472691,success
hello_happy_world__162,F,major,0.690241515636,success
hello_happy_world__163,Ab,major,0.911159336567,success
hello_happy_world__164,C#,minor,0.64726793766,success
hello_happy_world__165,G,minor,0.620417058468,success
hello_happy_world__166,C,minor,0.784988343716,success
hello_happy_world__167,E,major,0.710652291775,success
hello_happy_world__168,F,major,0.756075322628,success
hello_happy_world__169,Ab,minor,0.408428639174,success
hello_happy_world__170,Eb,major,0.840165734291,success
hello_happy_world__171,F,major,0.80103212595,success
hello_happy_world__172,G,major,0.766289770603,success
hello_happy_world__173,Eb,major,0.712379574776,success
hello_happy_world__174,A,minor,0.443753570318,success
hello_happy_world__175,E,major,0.772748529911,success
hello_happy_world__176,F#,major,0.795466005802,success
hello_happy_world__177,Eb,major,0.759387254715,success
ikka_dumb_rock__178,D,minor,0.668049931526,success
millsage__179,E,major,0.705153763294,success
morfonica__180,G,minor,0.700107574463,success
morfonica__181,F,minor,0.63050454855,success
morfonica__182,A,minor,0.753307640553,success
morfonica__183,F#,minor,0.474276065826,success
morfonica__184,E,major,0.526580691338,success
morfonica__185,A,major,0.817158281803,success
morfonica__186,E,major,0.347606092691,success
morfonica__187,B,major,0.872478246689,success
morfonica__188,Eb,major,0.573153436184,success
morfonica__189,G,major,0.758591651917,success
morfonica__190,F,major,0.801123142242,success
morfonica__191,A,minor,0.816481232643,success
morfonica__192,Ab,minor,0.526450753212,success
morfonica__193,F#,major,0.844186365604,success
morfonica__194,B,major,0.841441512108,success
morfonica__195,E,major,0.718612313271,success
morfonica__196,C,major,0.726460516453,success
morfonica__197,D,minor,0.670674741268,success
