tag,song,band,est_key,essentia_key_norm,mode_score
ave_mujica__088,Symbol IV : Earth,ave_mujica,D#maj,Gmaj,-0.00241
mygo__282,回層浮,mygo,C#maj,G#min,-0.00888
raise_a_suilen__505,EXIST,raise_a_suilen,Gmaj,Cmin,0.01626
raise_a_suilen__503,mind of Prominence,raise_a_suilen,A#min,D#maj,-0.01905
roselia__647,This game (Cover),roselia,F#min,Emin,0.02145
morfonica__207,わたしまちがいさがし,morfonica,Emin,Fmaj,0.02167
mugendai_mutype__239,みゅーたんとミュータント,mugendai_mutype,Dmaj,A#maj,-0.02238
morfonica__183,ブルームブルーム,morfonica,Gmin,F#min,0.02968
morfonica__202,Angel's Ladder,morfonica,Amin,A#maj,-0.03112
raise_a_suilen__515,CORUSCATE -DNA-,raise_a_suilen,Gmin,Cmaj,0.03529
poppin_party__483,DAYS (Cover),poppin_party,Dmaj,A#maj,0.03621
ave_mujica__083,Mas?uerade Rhapsody Re?uest,ave_mujica,Fmin,C#min,-0.04066
poppin_party__404,キラキラスター！,poppin_party,F#min,Bmaj,0.04682
roselia__653,深愛 (Cover),roselia,D#min,G#maj,-0.04817
morfonica__186,金色へのプレリュード,morfonica,Bmin,Emaj,-0.0505
pastel_palettes__335,トリドリ＊パレット,pastel_palettes,Emin,Amaj,-0.05077
raise_a_suilen__547,JUST THE WAY I AM,raise_a_suilen,Dmin,C#min,-0.0581
pastel_palettes__344,Y.O.L.O！！！！！(パスパレver.),pastel_palettes,Gmin,Cmaj,-0.06159
mugendai_mutype__250,Hi-Vision,mugendai_mutype,C#min,A#min,0.06349
pastel_palettes__319,るんっ♪てぃてぃー！,pastel_palettes,Amin,Dmaj,0.06963
pastel_palettes__354,魔法少女とチョコレゐト (Cover),pastel_palettes,Emaj,Amin,0.07415
mugendai_mutype__256,夢現妄想世界,mugendai_mutype,G#min,Amaj,-0.07834
roselia__609,Steadfast Spirits,roselia,Emin,Amaj,-0.07934
mygo__264,歌いましょう鳴らしましょう,mygo,Emin,Dmin,-0.0918
pastel_palettes__309,きゅ～まい＊flower,pastel_palettes,Gmin,F#maj,-0.09488
raise_a_suilen__556,Get Wild (Cover),raise_a_suilen,Fmaj,A#min,-0.10374
roselia__612,Blessing Chord,roselia,Fmaj,Emaj,0.11399
raise_a_suilen__491,A DECLARATION OF ×××,raise_a_suilen,A#min,C#min,-0.11904
pastel_palettes__314,SURVIVOR ねばーぎぶあっぷ!,pastel_palettes,F#min,Dmin,-0.11922
roselia__636,ファタール (Cover),roselia,Gmaj,Fmaj,0.12219
poppin_party__385,走り始めたばかりのキミに ～Popipa Acoustic Ver.～,poppin_party,Bmin,Cmaj,-0.1224
roselia__658,Shangri-La (Cover),roselia,Dmin,Amaj,-0.12637
afterglow__053,チルドレンレコード (Re:boot) (Cover),afterglow,Emin,Fmaj,-0.12879
hello_happy_world__174,ダーリンダンス (Cover),hello_happy_world,F#min,Amin,-0.13233
poppin_party__381,私の心はチョココロネ,poppin_party,F#min,Gmaj,-0.13891
mugendai_mutype__247,新人類は仮想世界の夢を見るか?,mugendai_mutype,Emin,Fmaj,-0.14085
hello_happy_world__132,ハッピー☆マテリアル,hello_happy_world,D#maj,C#maj,0.14696
roselia__613,Fear Nothing,roselia,Cmaj,Gmin,0.15034
hello_happy_world__150,スマイリーキャロル,hello_happy_world,Dmaj,Cmaj,0.15053
morfonica__236,CQCQ (Cover),morfonica,G#min,Amaj,-0.15429
pastel_palettes__359,アイドル (Cover),pastel_palettes,G#min,Dmin,-0.15887
poppin_party__400,Hello! Wink!,poppin_party,Dmin,Amaj,-0.18534
mugendai_mutype__241,Dream Voyage,mugendai_mutype,Emin,Fmaj,-0.18852
mugendai_mutype__257,やわやわNERD 超FreQuency,mugendai_mutype,F#min,A#min,-0.20598
ave_mujica__094,DIVINE,ave_mujica,F#min,A#maj,-0.22354
poppin_party__433,花咲く未来に,poppin_party,Bmin,Emaj,0.23123
roselia__611,XV,roselia,Emin,Fmaj,-0.25294
poppin_party__450,Chu Chueen!,poppin_party,Gmin,Dmaj,-0.31962
mugendai_mutype__254,限界現実サバイブ天使,mugendai_mutype,Amaj,Dmin,0.32356
hello_happy_world__130,ハッピーサマーウェディング,hello_happy_world,Amaj,Dmin,0.35294
