tag,drum_tempo_bpm,pulse_acf_slow,pulse_acf_half,pulse_ratio_down,pulse_recommend_half
afterglow__000,92.3,0.677,0.6331846714019775,0.935280164552404,False
afterglow__001,90.7,0.634,0.6008914113044739,0.9477782512688863,False
afterglow__002,99.4,0.59,0.5418024063110352,0.9183091632390427,False
afterglow__003,99.4,0.673,0.6601157784461975,0.9808555400389264,False
afterglow__004,95.7,0.719,0.7023574709892273,0.976853228079593,False
afterglow__007,99.4,0.592,0.5842990875244141,0.9869917018993482,False
afterglow__008,94.0,0.648,0.6480740308761597,1.0001142451792586,False
afterglow__009,105.5,0.685,0.6683745980262756,0.9757293401843439,False
afterglow__010,105.5,0.664,0.6397649049758911,0.9635013629154986,False
afterglow__011,90.7,0.701,0.6352006196975708,0.9061349781705718,False
afterglow__013,95.7,0.665,0.6764690279960632,1.0172466586406965,False
afterglow__014,99.4,0.594,0.5752838850021362,0.9684913888924853,False
afterglow__016,105.5,0.645,0.5989171862602234,0.9285537771476331,False
afterglow__017,97.5,0.69,0.6524232625961304,0.945540960284247,False
afterglow__021,92.3,0.604,0.6286976933479309,1.0408902207747202,False
afterglow__024,87.6,0.736,0.6825336813926697,0.9273555453704752,False
afterglow__025,86.1,0.714,0.7071555256843567,0.9904139015187069,False
afterglow__026,90.7,0.688,0.6150083541870117,0.8939074915508892,False
afterglow__030,87.6,0.703,0.729136049747467,1.0371778801528693,False
afterglow__032,101.3,0.593,0.5263847708702087,0.8876640318215999,False
afterglow__033,86.1,0.647,0.6089224219322205,0.9411474836664921,False
afterglow__034,97.5,0.662,0.6190042495727539,0.9350517365147339,False
afterglow__035,92.3,0.622,0.6190740466117859,0.9952958948742539,False
afterglow__037,92.3,0.666,0.6586326360702515,0.9889378919973745,False
afterglow__038,95.7,0.682,0.6196624040603638,0.908595900381765,False
afterglow__039,99.4,0.723,0.7272558212280273,1.0058863364149757,False
afterglow__041,90.7,0.791,0.6850924491882324,0.8661092910091434,False
afterglow__043,99.4,0.662,0.6259673237800598,0.9455699754985797,False
afterglow__045,87.6,0.649,0.6500082612037659,1.001553561176835,False
afterglow__046,94.0,0.789,0.7231815457344055,0.9165799058737713,False
