tag,band,song,label
hello_happy_world__146,hello_happy_world,やっほー！いっぽ！わんだふぉー！,Bright
hello_happy_world__128,hello_happy_world,ハピネスっ！ハピィーマジカルっ♪,Bright
hello_happy_world__123,hello_happy_world,Happy! Happier! Happiest!,Bright
hello_happy_world__161,hello_happy_world,ドレミファロンド (Cover),Bright
poppin_party__376,poppin_party,STAR BEAT!～ホシノコドウ～,Bright
pastel_palettes__332,pastel_palettes,SAKURAスキップ,Bright
poppin_party__445,poppin_party,Drive Your Heart,Bright
afterglow__038,afterglow,Made My Day,Bright
ave_mujica__084,ave_mujica,Ave Mujica,Dark
ave_mujica__082,ave_mujica,神さま、バカ,Dark
ave_mujica__096,ave_mujica,‘S/’ The Way,Dark
ave_mujica__095,ave_mujica,Sophie,Dark
roselia__601,roselia,ROZEN HORIZON,Dark
roselia__648,roselia,スカイクラッドの観測者 (Cover),Dark
mygo__277,mygo,端程山,Dark
afterglow__045,afterglow,abnormalize (Cover),Dark
poppin_party__375,poppin_party,Yes! BanG_Dream!,mismatch_known
hello_happy_world__111,hello_happy_world,にこ×にこ=ハイパースマイルパワー！,mismatch_known
hello_happy_world__109,hello_happy_world,えがお･シング･あ･ソング,mismatch_known
