query_id,query_text,rank,band,song,energy_full,url
Q0309,운동할때 들을 노래,1,various_artists,"Here, the world",0.5668,https://youtu.be/LuwRRghPD1A
Q0309,운동할때 들을 노래,2,poppin_party,ディスカバリー！ (Cover),0.5387,https://youtu.be/EHmHYlveZTI
Q0309,운동할때 들을 노래,3,hello_happy_world,うちゃパ！で ぱっぴかポーんっ！,0.5743,https://youtu.be/Ibs-CJd-qws
Q0309,운동할때 들을 노래,4,hello_happy_world,オレンジ,0.6026,https://youtu.be/YtgT2EaDZ0A
Q0309,운동할때 들을 노래,5,poppin_party,クリスマスのうた,0.6026,https://youtu.be/EMwYk4qPK1k
Q0160,너무 밝은 노래로 채워줘.,1,poppin_party,夏空 SUN! SUN! SEVEN!,0.6348,https://youtu.be/AwmICsVBWLU
Q0160,너무 밝은 노래로 채워줘.,2,various_artists,"Here, the world",0.5668,https://youtu.be/LuwRRghPD1A
Q0160,너무 밝은 노래로 채워줘.,3,poppin_party,クリスマスのうた,0.6026,https://youtu.be/EMwYk4qPK1k
Q0160,너무 밝은 노래로 채워줘.,4,hello_happy_world,ドレミファロンド (Cover),0.5246,https://youtu.be/IjlX1R75PRw
Q0160,너무 밝은 노래로 채워줘.,5,poppin_party,STAR BEAT!～ホシノコドウ～,0.5375,https://youtu.be/RtKwXh18gkc
Q0247,시끄러운 음악으로 채워줘.,1,pastel_palettes,ゆめゆめグラデーション,0.6823,https://youtu.be/p5ta20-h8vU
Q0247,시끄러운 음악으로 채워줘.,2,poppin_party,ちゅ、多様性。 (Cover),0.7116,https://youtu.be/DhaNne4oohU
Q0247,시끄러운 음악으로 채워줘.,3,hello_happy_world,らいふ・いず・みゅーじかるっ♪♪♪,0.5801,https://youtu.be/SnlhQO2t8Zo
Q0247,시끄러운 음악으로 채워줘.,4,poppin_party,Breakthrough!,0.6496,https://youtu.be/jL9BEY5Lt7Q
Q0247,시끄러운 음악으로 채워줘.,5,roselia,Sunlit Musical,0.6507,https://youtu.be/BtG1mA_1e0s
Q0268,신나는 노래로 채워줘.,1,poppin_party,夏空 SUN! SUN! SEVEN!,0.6348,https://youtu.be/AwmICsVBWLU
Q0268,신나는 노래로 채워줘.,2,poppin_party,Future Place,0.6566,https://youtu.be/JonvwJvZFv4
Q0268,신나는 노래로 채워줘.,3,hello_happy_world,ハピネスっ！ハピィーマジカルっ♪,0.7067,https://youtu.be/wPDP9eT2-Cs
Q0268,신나는 노래로 채워줘.,4,hello_happy_world,ハッピーサマーウェディング,0.718,https://youtu.be/SQrYhJ6x7kE
Q0268,신나는 노래로 채워줘.,5,mugendai_mutype,TRASH LIFE,0.6847,https://youtu.be/oD74b35UNVc
Q0514,점점 더 빠르게 달리는 느낌으로 바꿔줘.,1,hello_happy_world,ふわふわ☆ゆめいろサンドイッチ,0.4081,https://youtu.be/pAB-NYhMXFc
Q0514,점점 더 빠르게 달리는 느낌으로 바꿔줘.,2,hello_happy_world,最高到達点 (Cover),0.3874,https://youtu.be/8AwnyCo2FF0
Q0514,점점 더 빠르게 달리는 느낌으로 바꿔줘.,3,mygo,静降想,0.3747,https://youtu.be/OdVHJhdFYOo
Q0514,점점 더 빠르게 달리는 느낌으로 바꿔줘.,4,hello_happy_world,Listen to Smile!,0.2834,https://youtu.be/5Bz8TBMardI
Q0514,점점 더 빠르게 달리는 느낌으로 바꿔줘.,5,poppin_party,ミライトレイン,0.3048,https://youtu.be/amlyxSdWmTg
