band,idx,song,url,tag,has_local_audio
afterglow,0,ON YOUR MARK,https://youtu.be/09B-WljIiTo,afterglow__000,True
afterglow,1,That Is How I Roll!,https://youtu.be/_lfuqSepLNw,afterglow__001,True
afterglow,2,SENSENFUKOKU,https://youtu.be/RDZUbagvt0E,afterglow__002,True
ave_mujica,72,KiLLKiSS,https://youtu.be/RexyoaXaQ1o,ave_mujica__072,True
ave_mujica,73,"Georgette Me, Georgette You",https://youtu.be/vKDa7yfpd2M,ave_mujica__073,True
ave_mujica,74,Imprisoned XII,https://youtu.be/0YNMV7xljD4,ave_mujica__074,True
hello_happy_world,106,キミがいなくちゃっ！,https://youtu.be/9itZp8utiAw,hello_happy_world__106,True
hello_happy_world,107,ハイファイブ∞あどべんちゃっ,https://youtu.be/_Smbu0U70Ko,hello_happy_world__107,True
hello_happy_world,108,スマイルブーケで た〜まや〜！,https://youtu.be/37b4LJg0yFk,hello_happy_world__108,True
morfonica,180,Daylight -デイライト-,https://youtu.be/oT-B-uUUG28,morfonica__180,True
morfonica,181,メランコリックララバイ,https://youtu.be/D_uUbtZUOPc,morfonica__181,True
morfonica,182,flame of hope,https://youtu.be/4kLyLp8Oco0,morfonica__182,True
mugendai_mutype,237,アイの夢限,https://youtu.be/fSa8XH8d-T4,mugendai_mutype__237,True
mugendai_mutype,238,どんがらがっしゃん,https://youtu.be/DvZohC30iOw,mugendai_mutype__238,True
mugendai_mutype,239,みゅーたんとミュータント,https://youtu.be/qnHJDWgLkvw,mugendai_mutype__239,True
mygo,260,迷星叫,https://youtu.be/V6gq-6dAbHA,mygo__260,True
mygo,261,壱雫空,https://youtu.be/bqDL0mTUiLs,mygo__261,True
mygo,262,碧天伴走,https://youtu.be/S7S4gUjXKjo,mygo__262,True
pastel_palettes,301,TITLE IDOL,https://youtu.be/DYcKUe6QYtQ,pastel_palettes__301,True
pastel_palettes,302,ワクワクmeetsトリップ,https://youtu.be/2tsI2LPugWE,pastel_palettes__302,True
pastel_palettes,303,ゆら・ゆらRing-Dong-Dance,https://youtu.be/IYi3pLHGEo0,pastel_palettes__303,True
poppin_party,375,Yes! BanG_Dream!,https://youtu.be/tBSpLDIqbHc,poppin_party__375,False
poppin_party,376,STAR BEAT!～ホシノコドウ～,https://youtu.be/RtKwXh18gkc,poppin_party__376,False
poppin_party,377,走り始めたばかりのキミに,https://youtu.be/pBKo-SAbtcM,poppin_party__377,False
raise_a_suilen,490,Invincible Fighter,https://youtu.be/m5z-mCUwmxM,raise_a_suilen__490,False
raise_a_suilen,491,A DECLARATION OF ×××,https://youtu.be/9iOltuunbvs,raise_a_suilen__491,False
raise_a_suilen,492,SOUL SOLDIER,https://youtu.be/vHZF9D4gAoQ,raise_a_suilen__492,False
roselia,570,Neo-Aspect,https://youtu.be/03iVXFZ8jrs,roselia__570,False
roselia,571,BLACK SHOUT,https://youtu.be/MmnU-s1TdsI,roselia__571,False
roselia,572,Opera of the wasteland,https://youtu.be/kzzXxwU3qo4,roselia__572,False
