idx,band,song,url,energy_full,excerpt_start_sec,excerpt_end_sec,wonder,transcendence,tenderness,nostalgia,peacefulness,power,joyful_activation,tension,sadness,rater_note
31,afterglow,青い栞,https://youtu.be/bzJW33heiqw,0.062021,,,,,,,,,,,,
61,afterglow,Redo (Cover),https://youtu.be/Q5ld_AEJAWw,0.493874,,,,,,,,,,,,
68,afterglow,Don't say “lazy” (Cover),https://youtu.be/PThqwHLyPpU,0.953292,,,,,,,,,,,,
91,ave_mujica,in your blue eyes,https://youtu.be/kVMuEQ3uXWc,0.003828,,,,,,,,,,,,
94,ave_mujica,DIVINE,https://youtu.be/6bA-vjvi9oI,0.1049,,,,,,,,,,,,
84,ave_mujica,Ave Mujica,https://youtu.be/QDsd0nyzwz0,0.993109,,,,,,,,,,,,
131,hello_happy_world,ひまわりの約束,https://youtu.be/WC3paFpeKTo,0.132466,,,,,,,,,,,,
135,hello_happy_world,コレカラ,https://youtu.be/9DpyAgb_DO8,0.771057,,,,,,,,,,,,
157,hello_happy_world,強風オールバック (Cover),https://youtu.be/EGxEKCHDAFE,0.997703,,,,,,,,,,,,
178,ikka_dumb_rock,ホーミー・タイッ！！,https://youtu.be/BSP-xypGSak,0.689127,,,,,,,,,,,,
179,millsage,起死開戦,https://youtu.be/bzPxdHmMW3s,0.163859,,,,,,,,,,,,
189,morfonica,Sweet Cheers!,https://youtu.be/e8IQBZMVIGw,0.045176,,,,,,,,,,,,
185,morfonica,fly with the night,https://youtu.be/DpnFf8UINbs,0.232006,,,,,,,,,,,,
207,morfonica,わたしまちがいさがし,https://youtu.be/UgP_YbdsoB8,0.959418,,,,,,,,,,,,
245,mugendai_mutype,テレパシー,https://youtu.be/mKiBvYqfBfk,0.065084,,,,,,,,,,,,
239,mugendai_mutype,みゅーたんとミュータント,https://youtu.be/qnHJDWgLkvw,0.826187,,,,,,,,,,,,
257,mugendai_mutype,やわやわNERD 超FreQuency,https://youtu.be/xzkEK0GF7fw,0.99464,,,,,,,,,,,,
278,mygo,処救生,https://youtu.be/Z2OLVzWFaY0,0.000766,,,,,,,,,,,,
298,mygo,swim (Cover),https://youtu.be/YcBvpV_CzuU,0.048239,,,,,,,,,,,,
300,mygo,春日影,https://youtu.be/wRwQUk0Dl30,0.74196,,,,,,,,,,,,
339,pastel_palettes,everyday flower,https://youtu.be/zEHPkLXcX1I,0.121746,,,,,,,,,,,,
341,pastel_palettes,フレっとパレットFight Song!!,https://youtu.be/ZvK22__1ECE,0.709801,,,,,,,,,,,,
368,pastel_palettes,ハッピーシンセサイザ (Cover),https://youtu.be/AD3WCMhAGVs,0.999234,,,,,,,,,,,,
415,poppin_party,キミにもらったもの,https://youtu.be/gu85qKfXfj8,0.066616,,,,,,,,,,,,
396,poppin_party,STAR BEAT!～ホシノコドウ～ ～Popipa Acoustic Ver.～,https://youtu.be/kj5orLd_XnA,0.535222,,,,,,,,,,,,
414,poppin_party,夏のドーン！,https://youtu.be/xtgdECulbbw,0.979326,,,,,,,,,,,,
536,raise_a_suilen,Drown Out the Noise and Push Through the Trash,https://youtu.be/EELGtL1U1vw,0.039051,,,,,,,,,,,,
560,raise_a_suilen,Just Awake (Cover),https://youtu.be/nyn9h6BraQ4,0.590352,,,,,,,,,,,,
491,raise_a_suilen,A DECLARATION OF ×××,https://youtu.be/9iOltuunbvs,0.996172,,,,,,,,,,,,
580,roselia,軌跡,https://youtu.be/P2BT98BC1N8,0.042113,,,,,,,,,,,,
654,roselia,Paradisus‐Paradoxum (Cover),https://youtu.be/A12CMqrBFSw,0.43415,,,,,,,,,,,,
656,roselia,Preserved Roses (Cover),https://youtu.be/rB5eL98q6f8,0.977795,,,,,,,,,,,,
101,various_artists,Don't be afraid!,https://youtu.be/hPnvMOyGgzc,0.454824,,,,,,,,,,,,
103,various_artists,"Be shine, shining!",https://youtu.be/tv1Pf0FE6iw,0.594181,,,,,,,,,,,,
104,various_artists,"Here, the world",https://youtu.be/LuwRRghPD1A,0.673813,,,,,,,,,,,,
