idx,band,song,url,energy_full,excerpt_start_sec,excerpt_end_sec,wonder,transcendence,tenderness,nostalgia,peacefulness,power,joyful_activation,tension,sadness,rater_note
68,afterglow,Don't say “lazy” (Cover),https://youtu.be/PThqwHLyPpU,0.953292,,,,,,,,,,,,
61,afterglow,Redo (Cover),https://youtu.be/Q5ld_AEJAWw,0.493874,,,,,,,,,,,,
31,afterglow,青い栞,https://youtu.be/bzJW33heiqw,0.062021,,,,,,,,,,,,
91,ave_mujica,in your blue eyes,https://youtu.be/kVMuEQ3uXWc,0.003828,,,,,,,,,,,,
157,hello_happy_world,強風オールバック (Cover),https://youtu.be/EGxEKCHDAFE,0.997703,,,,,,,,,,,,
179,millsage,起死開戦,https://youtu.be/bzPxdHmMW3s,0.163859,,,,,,,,,,,,
189,morfonica,Sweet Cheers!,https://youtu.be/e8IQBZMVIGw,0.045176,,,,,,,,,,,,
245,mugendai_mutype,テレパシー,https://youtu.be/mKiBvYqfBfk,0.065084,,,,,,,,,,,,
339,pastel_palettes,everyday flower,https://youtu.be/zEHPkLXcX1I,0.121746,,,,,,,,,,,,
560,raise_a_suilen,Just Awake (Cover),https://youtu.be/nyn9h6BraQ4,0.590352,,,,,,,,,,,,
654,roselia,Paradisus‐Paradoxum (Cover),https://youtu.be/A12CMqrBFSw,0.43415,,,,,,,,,,,,
580,roselia,軌跡,https://youtu.be/P2BT98BC1N8,0.042113,,,,,,,,,,,,
