gems_item,candidate,tier,n,rho,p,q_bh,pass
tenderness,jitter_local,"Vocal(참고, n작음)",3,-1.0,0.0,0.0,False
tenderness,shimmer_local,"Vocal(참고, n작음)",3,-1.0,0.0,0.0,False
tenderness,hnr_mean,"Vocal(참고, n작음)",3,1.0,0.0,0.0,False
tenderness,vocal_centroid,"Vocal(참고, n작음)",3,-1.0,0.0,0.0,False
nostalgia,f0_median_st,"Vocal(참고, n작음)",3,-1.0,0.0,0.0,False
nostalgia,f0_range_st,"Vocal(참고, n작음)",3,-1.0,0.0,0.0,False
power,f0_median_st,"Vocal(참고, n작음)",3,1.0,0.0,0.0,False
power,f0_range_st,"Vocal(참고, n작음)",3,1.0,0.0,0.0,False
tension,f0_median_st,"Vocal(참고, n작음)",3,1.0,0.0,0.0,False
tension,f0_range_st,"Vocal(참고, n작음)",3,1.0,0.0,0.0,False
peacefulness,jitter_local,"Vocal(참고, n작음)",3,-0.8660254037844387,0.3333333333333332,0.3888888888888888,False
peacefulness,shimmer_local,"Vocal(참고, n작음)",3,-0.8660254037844387,0.3333333333333332,0.3888888888888888,False
peacefulness,hnr_mean,"Vocal(참고, n작음)",3,0.8660254037844387,0.3333333333333332,0.3888888888888888,False
peacefulness,f0_median_st,"Vocal(참고, n작음)",3,-0.8660254037844387,0.3333333333333332,0.3888888888888888,False
peacefulness,f0_range_st,"Vocal(참고, n작음)",3,-0.8660254037844387,0.3333333333333332,0.3888888888888888,False
peacefulness,vocal_centroid,"Vocal(참고, n작음)",3,-0.8660254037844387,0.3333333333333332,0.3888888888888888,False
joyful_activation,jitter_local,"Vocal(참고, n작음)",3,0.8660254037844387,0.3333333333333332,0.3888888888888888,False
joyful_activation,shimmer_local,"Vocal(참고, n작음)",3,0.8660254037844387,0.3333333333333332,0.3888888888888888,False
joyful_activation,hnr_mean,"Vocal(참고, n작음)",3,-0.8660254037844387,0.3333333333333332,0.3888888888888888,False
joyful_activation,f0_median_st,"Vocal(참고, n작음)",3,0.8660254037844387,0.3333333333333332,0.3888888888888888,False
joyful_activation,f0_range_st,"Vocal(참고, n작음)",3,0.8660254037844387,0.3333333333333332,0.3888888888888888,False
joyful_activation,vocal_centroid,"Vocal(참고, n작음)",3,0.8660254037844387,0.3333333333333332,0.3888888888888888,False
peacefulness,mfcc_11_mean,Tier1,35,-0.7554715042366944,1.5567049369596672e-07,1.934525140613836e-06,True
peacefulness,mfcc_13_mean,Tier1,35,-0.7489662961060685,2.2759119301339247e-07,1.934525140613836e-06,True
tension,mfcc_13_mean,Tier1,35,0.7265139203816633,7.769367467650801e-07,1.3207924695006361e-05,True
tension,mode_score,Tier2,35,-0.713142498534148,1.5275854603683896e-06,3.0551709207367793e-06,True
nostalgia,contrast_mean,Tier1,35,0.7083700406896273,1.926973661678767e-06,3.275855224853904e-05,True
peacefulness,contrast_mean,Tier1,35,0.6995267143133111,2.928539491748744e-06,1.6595057119909547e-05,True
joyful_activation,mfcc_1_mean,Tier1,35,0.6644132697088778,1.3458497269175842e-05,0.00015060132605471683,True
tension,mfcc_11_mean,Tier1,35,0.6584682403131966,1.708655009736338e-05,0.00014523567582758873,True
joyful_activation,mfcc_6_mean,Tier1,35,0.6575531151226922,1.7717803065260802e-05,0.00015060132605471683,True
joyful_activation,contrast_mean,Tier1,35,-0.6470439421395991,2.664579516414277e-05,0.00015099283926347569,True
tenderness,contrast_mean,Tier1,35,0.6153799985300195,8.342976219126766e-05,0.0012103961640612725,True
joyful_activation,mfcc_2_mean,Tier1,35,-0.6115754833216605,9.491004541848173e-05,0.0004033676930285474,True
tenderness,mode_score,Tier2,35,0.6013485327654914,0.00013314056572023258,0.00026628113144046517,True
nostalgia,mfcc_11_mean,Tier1,35,-0.6011296740764706,0.00013409158103298163,0.0008350828918387943,True
peacefulness,mode_score,Tier2,35,0.5983345878369074,0.0001467849302127616,0.0002935698604255232,True
nostalgia,mfcc_13_mean,Tier1,35,-0.5982115688625071,0.00014736756914802255,0.0008350828918387943,True
tenderness,mfcc_11_mean,Tier1,35,-0.5930441958844441,0.00017379608551757234,0.0012103961640612725,True
tenderness,mfcc_13_mean,Tier1,35,-0.5864579976684411,0.0002135993230696363,0.0012103961640612725,True
tension,contrast_mean,Tier1,35,-0.5714054269504861,0.00033668640154939567,0.0019078896087799087,True
peacefulness,mfcc_8_mean,Tier1,35,-0.5688443109780698,0.00036300079162032543,0.001542753364386383,True
nostalgia,mfcc_10_mean,Tier1,35,-0.5308033384199515,0.0010363912155207239,0.0044046626659630765,True
peacefulness,mfcc_10_mean,Tier1,35,-0.5231632938830074,0.0012610274987939806,0.004287493495899534,True
tenderness,f0_median_st,"Vocal(참고, n작음)",3,-0.5,0.6666666666666667,0.6666666666666667,False
tenderness,f0_range_st,"Vocal(참고, n작음)",3,-0.5,0.6666666666666667,0.6666666666666667,False
tenderness,f0_std_st,"Vocal(참고, n작음)",3,0.5,0.6666666666666667,0.6666666666666667,False
nostalgia,jitter_local,"Vocal(참고, n작음)",3,-0.5,0.6666666666666667,0.6666666666666667,False
nostalgia,shimmer_local,"Vocal(참고, n작음)",3,-0.5,0.6666666666666667,0.6666666666666667,False
nostalgia,hnr_mean,"Vocal(참고, n작음)",3,0.5,0.6666666666666667,0.6666666666666667,False
nostalgia,f0_std_st,"Vocal(참고, n작음)",3,-0.5,0.6666666666666667,0.6666666666666667,False
nostalgia,vocal_centroid,"Vocal(참고, n작음)",3,-0.5,0.6666666666666667,0.6666666666666667,False
power,jitter_local,"Vocal(참고, n작음)",3,0.5,0.6666666666666667,0.6666666666666667,False
power,shimmer_local,"Vocal(참고, n작음)",3,0.5,0.6666666666666667,0.6666666666666667,False
power,hnr_mean,"Vocal(참고, n작음)",3,-0.5,0.6666666666666667,0.6666666666666667,False
power,f0_std_st,"Vocal(참고, n작음)",3,0.5,0.6666666666666667,0.6666666666666667,False
power,vocal_centroid,"Vocal(참고, n작음)",3,0.5,0.6666666666666667,0.6666666666666667,False
tension,jitter_local,"Vocal(참고, n작음)",3,0.5,0.6666666666666667,0.6666666666666667,False
tension,shimmer_local,"Vocal(참고, n작음)",3,0.5,0.6666666666666667,0.6666666666666667,False
tension,hnr_mean,"Vocal(참고, n작음)",3,-0.5,0.6666666666666667,0.6666666666666667,False
tension,f0_std_st,"Vocal(참고, n작음)",3,0.5,0.6666666666666667,0.6666666666666667,False
tension,vocal_centroid,"Vocal(참고, n작음)",3,0.5,0.6666666666666667,0.6666666666666667,False
joyful_activation,mfcc_10_mean,Tier1,35,0.4850275253169159,0.0031459983351701665,0.008240233842576527,True
joyful_activation,rms_mean,Tier1,35,0.48181638912763747,0.003381956690964354,0.008240233842576527,True
joyful_activation,mfcc_8_mean,Tier1,35,0.4816704283917612,0.0033930374645903347,0.008240233842576527,True
nostalgia,mfcc_2_mean,Tier1,35,0.46543778162717026,0.0048396725642035916,0.016454886718292212,True
nostalgia,mode_score,Tier2,35,0.4651459711057739,0.00486991683531745,0.0097398336706349,True
nostalgia,mfcc_1_mean,Tier1,35,-0.455953939681789,0.0059097814628091185,0.0167443808112925,True
nostalgia,mfcc_8_mean,Tier1,35,-0.44180112939406624,0.00788209090274232,0.01914222076380278,True
tension,mfcc_10_mean,Tier1,35,0.4293712126591016,0.010053350599735427,0.04272674004887556,True
wonder,mfcc_5_mean,Tier1,35,0.42843811396121084,0.010235057855128984,0.08871743915225756,False
peacefulness,mfcc_2_mean,Tier1,35,0.4276090144531462,0.010398843600856954,0.025747113734087397,True
peacefulness,mfcc_1_mean,Tier1,35,-0.4265970931883822,0.010601752714035987,0.025747113734087397,True
