idx,band,song,url,mode_score,energy_full,pick_reason,valence_rating_1to10,listener_note
554,raise_a_suilen,第六感 (Cover),https://youtu.be/cb2c5sJShsQ,-0.37365,0.962481,low_mode_score,,
22,afterglow,サクラゼンセン,https://youtu.be/RJ98HN9hl6I,-0.35032,0.213629,low_mode_score,,
45,afterglow,abnormalize (Cover),https://youtu.be/PORDvsXEOjA,-0.33867,0.299387,low_mode_score,,
84,ave_mujica,Ave Mujica,https://youtu.be/QDsd0nyzwz0,-0.33719,0.993109,low_mode_score,,
450,poppin_party,Chu Chueen!,https://youtu.be/5j2a4m1OQsg,-0.31962,0.769525,low_mode_score,,
124,hello_happy_world,現るっ！大怪盗ハロハッピー！,https://youtu.be/sLn7oV54kYY,-0.31182,0.602603,low_mode_score,,
648,roselia,スカイクラッドの観測者 (Cover),https://youtu.be/jFaVomJ6IRk,-0.31119,0.463247,low_mode_score,,
566,raise_a_suilen,SAVIOR OF SONG (Cover),https://youtu.be/M45pCdVZhHY,-0.30649,0.67611,low_mode_score,,
9,afterglow,ONE OF US,https://youtu.be/fwT9BgeiPNU,-0.30065,0.945636,low_mode_score,,
336,pastel_palettes,ドラマチック！アライブ,https://youtu.be/ppjwpt0H2o4,-0.29839,0.875191,low_mode_score,,
639,roselia,slash (Cover),https://youtu.be/gtVeDq1y0R4,-0.29507,0.454058,low_mode_score,,
487,poppin_party,怪物 (Cover),https://youtu.be/k49-xYTRmyY,-0.27663,0.303982,low_mode_score,,
630,roselia,overtuRe,https://youtu.be/ZbI7Cfdo4ZM,-0.2758,0.359112,low_mode_score,,
96,ave_mujica,‘S/’ The Way,https://youtu.be/L0Ou9IfobFQ,-0.26254,0.072741,low_mode_score,,
82,ave_mujica,神さま、バカ,https://youtu.be/OT9KqYBAkQc,-0.26096,0.086524,low_mode_score,,
375,poppin_party,Yes! BanG_Dream!,https://youtu.be/tBSpLDIqbHc,-0.24015,0.899694,anchor_known_mismatch,,
111,hello_happy_world,にこ×にこ=ハイパースマイルパワー！,https://youtu.be/YRQHVpYDHAU,-0.10781,0.898162,anchor_known_mismatch,,
109,hello_happy_world,えがお･シング･あ･ソング,https://youtu.be/B-I2KAxGKD8,-0.0363,0.878254,anchor_known_mismatch,,
272,mygo,栞,https://youtu.be/SgJFZEI6GSw,0.34451,0.002297,high_mode_score,,
288,mygo,エガクミライ,https://youtu.be/T_jH9KJTlsI,0.34476,0.013017,high_mode_score,,
130,hello_happy_world,ハッピーサマーウェディング,https://youtu.be/SQrYhJ6x7kE,0.35294,0.7634,high_mode_score,,
187,morfonica,The Circle Of Butterflies,https://youtu.be/eMR-LxXyCKs,0.36125,0.24732,high_mode_score,,
374,pastel_palettes,ノスタルジックレインフォール (Cover),https://youtu.be/i-jiHiL7G8s,0.36302,0.391271,high_mode_score,,
445,poppin_party,Drive Your Heart,https://youtu.be/3qwN9R7er9Y,0.36699,0.196784,high_mode_score,,
373,pastel_palettes,徒花ネクロマンシー (Cover),https://youtu.be/_G5oGC6aJYs,0.37679,0.872129,high_mode_score,,
6,afterglow,"Easy come, Easy go!",https://youtu.be/erY4I7Irk0E,0.38069,0.326953,high_mode_score,,
116,hello_happy_world,にこにこねくと！,https://youtu.be/B0AssN_z5gU,0.38142,0.567381,high_mode_score,,
57,afterglow,アスノヨゾラ哨戒班 (Cover),https://youtu.be/Tdr0apLRXd4,0.38516,0.473966,high_mode_score,,
446,poppin_party,とっておきAnswer,https://youtu.be/uOdEmtdzblA,0.38526,0.198315,high_mode_score,,
267,mygo,春日影 (MyGO!!!!! ver.),https://youtu.be/NycFr6D6DSw,0.38816,0.006891,high_mode_score,,
430,poppin_party,新しい季節に,https://youtu.be/bqKoweXOY1I,0.39301,0.238132,high_mode_score,,
38,afterglow,Made My Day,https://youtu.be/YfS7jNzytUs,0.40367,0.100306,high_mode_score,,
146,hello_happy_world,やっほー！いっぽ！わんだふぉー！,https://youtu.be/1rfk9_lj-iA,0.43049,0.866003,high_mode_score,,
