query_id,arm,rank,tag,band,song,intensity,band_pct,lyric_cosine
Q101,arm1,1,poppin_party__427,poppin_party,夏に閉じこめて,0.1987,0.087,
Q101,arm2,1,poppin_party__427,poppin_party,夏に閉じこめて,0.1987,0.087,0.6291
Q102,arm1,1,poppin_party__472,poppin_party,メランコリック (Cover),0.8124,0.913,
Q102,arm2,1,poppin_party__419,poppin_party,What's the POPIPA!?,0.8376,0.9478,0.6419
Q103,arm1,1,roselia__623,roselia,Call the shots,0.3997,0.3371,
Q103,arm2,1,roselia__585,roselia,Safe and Sound,0.3954,0.3258,0.593
Q104,arm1,1,roselia__635,roselia,ヒバナ -Reloaded- (Cover),0.9566,1.0,
Q104,arm2,1,roselia__604,roselia,Synchrogazer,0.852,0.9438,0.6025
Q105,arm1,1,raise_a_suilen__562,raise_a_suilen,ボッカデラベリタ (Cover),0.4135,0.0886,
Q105,arm2,1,raise_a_suilen__562,raise_a_suilen,ボッカデラベリタ (Cover),0.4135,0.0886,0.6693
Q106,arm1,1,raise_a_suilen__550,raise_a_suilen,ヒトリノ夜 (Cover),0.8993,0.8354,
Q106,arm2,1,raise_a_suilen__498,raise_a_suilen,!NVADE SHOW!,0.887,0.8101,0.5824
Q107,arm1,1,pastel_palettes__326,pastel_palettes,気まぐれロマンティック,0.3047,0.0811,
Q107,arm2,1,pastel_palettes__343,pastel_palettes,ホワイト ノスタルジア,0.1372,0.027,0.6525
Q108,arm1,1,pastel_palettes__305,pastel_palettes,あっつあつ 常夏 らぶ☆サマー！,0.7976,0.6486,
Q108,arm2,1,pastel_palettes__344,pastel_palettes,Y.O.L.O！！！！！(パスパレver.),0.8059,0.6757,0.7051
Q109,arm1,1,afterglow__028,afterglow,トーキョーワンダー。,0.3037,0.1111,
Q109,arm2,1,afterglow__027,afterglow,Northern lights,0.2889,0.0972,0.6657
Q110,arm1,1,afterglow__016,afterglow,COMIC PANIC!!!,0.7968,0.9444,
Q110,arm2,1,afterglow__005,afterglow,Hey-day狂騒曲(カプリチオ),0.8748,0.9861,0.6492
Q111,arm1,1,hello_happy_world__149,hello_happy_world,Listen to Smile!,0.2834,0.0417,
Q111,arm2,1,hello_happy_world__116,hello_happy_world,にこにこねくと！,0.3635,0.0556,0.6607
Q112,arm1,1,hello_happy_world__175,hello_happy_world,ノーポイッ！ (Cover),0.8008,0.8472,
Q112,arm2,1,hello_happy_world__119,hello_happy_world,きらっ☆と キミフェス！,0.7769,0.7917,0.6877
Q113,arm1,1,morfonica__189,morfonica,Sweet Cheers!,0.1993,0.0526,
Q113,arm2,1,morfonica__189,morfonica,Sweet Cheers!,0.1993,0.0526,0.6182
Q114,arm1,1,morfonica__180,morfonica,Daylight -デイライト-,0.8101,1.0,
Q114,arm2,1,morfonica__182,morfonica,flame of hope,0.7374,0.9298,0.6222
Q115,arm1,1,mygo__287,mygo,証命讃歌,0.8291,1.0,
Q115,arm2,1,mygo__287,mygo,証命讃歌,0.8291,1.0,0.5584
Q116,arm1,1,mygo__265,mygo,潜在表明,0.2114,0.2045,
Q116,arm2,1,mygo__260,mygo,迷星叫,0.1832,0.1591,0.6541
Q117,arm1,1,ave_mujica__075,ave_mujica,Crucifix X,0.2994,0.3448,
Q117,arm2,1,ave_mujica__100,ave_mujica,暗黒天国 (Cover),0.3611,0.4483,0.5711
Q118,arm1,1,ave_mujica__077,ave_mujica,顔,0.8627,1.0,
Q118,arm2,1,ave_mujica__086,ave_mujica,Symbol II : Air,0.7608,0.9655,0.596
Q119,arm1,1,mugendai_mutype__251,mugendai_mutype,コハク,0.4072,0.2174,
Q119,arm2,1,mugendai_mutype__251,mugendai_mutype,コハク,0.4072,0.2174,0.5038
Q120,arm1,1,mugendai_mutype__257,mugendai_mutype,やわやわNERD 超FreQuency,0.9899,1.0,
Q120,arm2,1,mugendai_mutype__257,mugendai_mutype,やわやわNERD 超FreQuency,0.9899,1.0,0.4878
Q121,arm1,1,roselia__659,roselia,KING (Cover),0.858,0.9775,
Q121,arm2,1,roselia__604,roselia,Synchrogazer,0.852,0.9438,0.63
