eval_id,query_id,prompt_text,band,song,url,score,comment
1,Q116,mygo 노래 중에 제일 잔잔한 곡 틀어줘.,mygo,迷星叫,https://youtu.be/V6gq-6dAbHA,2,
2,Q124,완전 잔잔하고 소리 작은 노래만 골라줘.,poppin_party,キミにもらったもの,https://youtu.be/gu85qKfXfj8,4,
3,Q101,poppin'party 노래 중에 제일 잔잔한 곡 틀어줘.,poppin_party,夏に閉じこめて,https://youtu.be/02n9fIuuew8,3,잔잔한 편이지만 더 잔잔한 곡도 많음.
4,Q150,친구들이랑 파티할 때 틀 노래.,pastel_palettes,Y.O.L.O！！！！！(パスパレver.),https://youtu.be/yKkCyuTOi8Q,4,
5,Q106,raise a suilen에서 제일 폭주하는 느낌의 곡 틀어줘.,raise_a_suilen,ヒトリノ夜 (Cover),https://youtu.be/9zwlVCZ4LRw,3,이거보다 더 질주감드는 노래도 많아 애매.
6,Q182,기운이 나는 노래.,hello_happy_world,ノーポイッ！ (Cover),https://youtu.be/sUrFo5Xw0Lc,4,
7,Q110,afterglow 노래 중에 제일 열정적인 곡 틀어줘.,afterglow,Hey-day狂騒曲(カプリチオ),https://youtu.be/czHlLBls4oo,5,
8,Q184,설레는 기분이 드는 노래.,morfonica,Wreath of Brave,https://youtu.be/5O3gAE65_34,4,
9,Q167,눈물이 날 것 같은 노래.,roselia,Call the shots,https://youtu.be/VBn-ME6-jGs,2,피아노선율이 감미롭게 깔린 메탈. 눈물이 날거같진 않음.
10,Q127,귀청 떨어질 정도로 강렬한 곡 틀어줘.,raise_a_suilen,A DECLARATION OF ×××,https://youtu.be/9iOltuunbvs,5,
11,Q168,기분 전환하고 싶을 때 듣는 노래.,raise_a_suilen,BATTLE CRY,https://youtu.be/pW01z1Q-MQY,4,
12,Q136,그 어떤 곡보다 조용한 곡을 찾아줘.,poppin_party,キミにもらったもの,https://youtu.be/gu85qKfXfj8,3,조용하긴 한데 더 조용한 곡은 따로 있음.
13,Q144,공부할 때 집중 잘 되는 노래.,roselia,Safe and Sound,https://youtu.be/0Hj-eXZzL90,4,
14,Q107,pastel*palettes 노래 중에 비교적 잔잔한 곡 뭐 있어?,pastel_palettes,ホワイト ノスタルジア,https://youtu.be/oN98BBBIOnw,5,
15,Q153,일할 때 집중하기 좋은 노래.,roselia,Safe and Sound,https://youtu.be/0Hj-eXZzL90,4,
16,Q161,캠핑 가서 듣기 좋은 노래.,morfonica,Wreath of Brave,https://youtu.be/5O3gAE65_34,4,
17,Q166,웃음이 절로 나는 노래.,afterglow,That Is How I Roll!,https://youtu.be/_lfuqSepLNw,3,힘찬 노래긴 한데 행복감과는 애매.
18,Q147,출근길에 듣기 좋은 노래.,morfonica,Wreath of Brave,https://youtu.be/5O3gAE65_34,4,
19,Q119,무겐다이 뮤타입 노래 중에 그나마 차분한 곡 알려줘.,mugendai_mutype,コハク,https://youtu.be/XYCI2LzEnZA,3,차분한 편이기는 함. 
20,Q104,roselia 노래 중에 가장 격렬한 곡 틀어줘.,roselia,Synchrogazer,https://youtu.be/3QeYCxU7ftQ,2,"주관적 차이가 있을 수 있으나 내 기준에는 자염, steadfast spirits, requiem for fate가 가장 격렬한 축에 속함."
21,Q166,웃음이 절로 나는 노래.,raise_a_suilen,A DECLARATION OF ×××,https://youtu.be/9iOltuunbvs,3,
22,Q177,센치해지는 노래.,ave_mujica,KiLLKiSS,https://youtu.be/RexyoaXaQ1o,1,센치와는 거리가 멀음.
23,Q134,정말 힘 하나도 없는 저텐션 곡 틀어줘.,raise_a_suilen,Light a fire,https://youtu.be/oVEfC2fyvLY,4,
24,Q139,격렬한 걸로 아주 극단적인 곡 틀어줘.,raise_a_suilen,A DECLARATION OF ×××,https://youtu.be/9iOltuunbvs,5,
25,Q142,소리 세기가 제일 약한 곡으로 틀어줘.,poppin_party,キミにもらったもの,https://youtu.be/gu85qKfXfj8,4,중복이 왜이리 많지?
26,Q120,무겐다이 뮤타입 노래 중에서 제일 하이텐션인 곡 틀어줘.,mugendai_mutype,やわやわNERD 超FreQuency,https://youtu.be/xzkEK0GF7fw,5,
27,Q114,morfonica 노래 중에 가장 격정적인 곡 틀어줘.,morfonica,Daylight -デイライト-,https://youtu.be/oT-B-uUUG28,4,
28,Q126,숨소리도 들릴 만큼 조용한 곡 틀어줘.,ave_mujica,Angles,https://youtu.be/au2A3wyiLIo,5,
29,Q116,mygo 노래 중에 제일 잔잔한 곡 틀어줘.,mygo,潜在表明,https://youtu.be/ljBKERoFUZQ,1,
30,Q184,설레는 기분이 드는 노래.,poppin_party,イントロダクション,https://youtu.be/KfuOq4v5H_A,5,
31,Q146,새벽에 혼자 있을 때 듣고 싶은 노래.,ave_mujica,Crucifix X,https://youtu.be/XP8al1l38Po,3,애매. 그날 기분에 따라 다를듯.
32,Q124,완전 잔잔하고 소리 작은 노래만 골라줘.,ave_mujica,Angles,https://youtu.be/au2A3wyiLIo,4,
