query_id,intensity_target,band_filter
Q101,0.2,poppin_party
Q102,0.8,poppin_party
Q103,0.4,roselia
Q104,1.0,roselia
Q105,0.4,raise_a_suilen
Q106,0.9,raise_a_suilen
Q107,0.3,pastel_palettes
Q108,0.8,pastel_palettes
Q109,0.3,afterglow
Q110,0.8,afterglow
Q111,0.3,hello_happy_world
Q112,0.8,hello_happy_world
Q113,0.2,morfonica
Q114,0.8,morfonica
Q115,1.0,mygo
Q116,0.2,mygo
Q117,0.3,ave_mujica
Q118,1.0,ave_mujica
Q119,0.4,mugendai_mutype
Q120,1.0,mugendai_mutype
Q121,0.9,roselia
Q122,0.0,
Q123,1.0,
Q124,0.0,
Q125,1.0,
Q126,0.0,
Q127,1.0,
Q128,0.0,
Q129,0.9,
Q130,0.2,
Q131,1.0,
Q132,0.2,
Q133,1.0,
Q134,0.0,
Q135,1.0,
Q136,0.0,
Q137,1.0,
Q138,1.0,
Q139,1.0,
Q140,0.2,
Q141,1.0,
Q142,0.0,
Q143,0.8,
Q144,0.4,
Q145,0.6,
Q146,0.3,
Q147,0.5,
Q148,0.2,
Q149,0.3,
Q150,0.8,
Q151,0.5,
Q152,0.4,
Q153,0.4,
Q154,0.3,
Q155,0.5,
Q156,0.5,
Q157,0.8,
Q158,0.4,
Q159,0.4,
Q160,0.5,
Q161,0.5,
Q162,0.7,
Q163,0.2,
Q164,0.5,
Q165,0.3,
Q166,,
Q167,0.4,
Q168,0.7,
Q169,0.4,
Q170,0.7,
Q171,0.4,
Q172,,
Q173,0.4,
Q174,0.7,
Q175,0.5,
Q176,0.7,
Q177,0.4,
Q178,0.7,
Q179,0.4,
Q180,,
Q181,0.4,
Q182,0.8,
Q183,0.6,
Q184,0.5,
