tag,band,intensity,band_pct
afterglow__000,afterglow,0.5841,0.6389
afterglow__001,afterglow,0.8656,0.9722
afterglow__002,afterglow,0.5828,0.625
afterglow__003,afterglow,0.4823,0.4167
afterglow__004,afterglow,0.4402,0.3194
afterglow__005,afterglow,0.8748,0.9861
afterglow__006,afterglow,0.4415,0.3333
afterglow__007,afterglow,0.4385,0.2917
afterglow__008,afterglow,0.4391,0.3056
afterglow__009,afterglow,0.7237,0.8472
afterglow__010,afterglow,0.8811,1.0
afterglow__011,afterglow,0.6958,0.8056
afterglow__012,afterglow,0.1916,0.0694
afterglow__013,afterglow,0.5785,0.6111
afterglow__014,afterglow,0.6675,0.7639
afterglow__015,afterglow,0.3956,0.2222
afterglow__016,afterglow,0.7968,0.9444
afterglow__017,afterglow,0.519,0.4583
afterglow__018,afterglow,0.5368,0.5139
afterglow__019,afterglow,0.1556,0.0417
afterglow__020,afterglow,0.1689,0.0556
afterglow__021,afterglow,0.542,0.5278
afterglow__022,afterglow,0.2487,0.0833
afterglow__023,afterglow,0.3323,0.1389
afterglow__024,afterglow,0.771,0.9028
afterglow__025,afterglow,0.5359,0.5
afterglow__026,afterglow,0.5478,0.5556
afterglow__027,afterglow,0.2889,0.0972
afterglow__028,afterglow,0.3037,0.1111
afterglow__029,afterglow,0.7353,0.875
afterglow__030,afterglow,0.5568,0.5694
afterglow__031,afterglow,0.055,0.0139
afterglow__032,afterglow,0.612,0.6944
afterglow__033,afterglow,0.7912,0.9306
afterglow__034,afterglow,0.6397,0.7361
afterglow__035,afterglow,0.4442,0.3472
afterglow__036,afterglow,0.4737,0.4028
afterglow__037,afterglow,0.4054,0.2361
afterglow__038,afterglow,0.3672,0.1667
afterglow__039,afterglow,0.5266,0.4861
afterglow__040,afterglow,0.6224,0.7083
afterglow__041,afterglow,0.6396,0.7222
afterglow__042,afterglow,0.5911,0.6528
afterglow__043,afterglow,0.6782,0.7917
afterglow__044,afterglow,0.7444,0.8889
afterglow__045,afterglow,0.3374,0.1528
afterglow__046,afterglow,0.3747,0.2083
afterglow__047,afterglow,0.6565,0.75
afterglow__048,afterglow,0.4459,0.3611
afterglow__049,afterglow,0.4096,0.2639
afterglow__050,afterglow,0.7088,0.8333
afterglow__051,afterglow,0.4845,0.4306
afterglow__052,afterglow,0.4329,0.2778
afterglow__053,afterglow,0.6013,0.6806
afterglow__054,afterglow,0.4962,0.4444
afterglow__055,afterglow,0.5977,0.6667
afterglow__056,afterglow,0.4508,0.375
afterglow__057,afterglow,0.4668,0.3889
afterglow__058,afterglow,0.676,0.7778
afterglow__059,afterglow,0.7274,0.8611
afterglow__060,afterglow,0.4066,0.25
afterglow__061,afterglow,0.5623,0.5833
afterglow__062,afterglow,0.5456,0.5417
afterglow__063,afterglow,0.3712,0.1806
afterglow__064,afterglow,0.1444,0.0278
afterglow__065,afterglow,0.5742,0.5972
afterglow__066,afterglow,0.3721,0.1944
afterglow__067,afterglow,0.7802,0.9167
afterglow__068,afterglow,0.8365,0.9583
afterglow__069,afterglow,0.5211,0.4722
afterglow__070,afterglow,0.3163,0.125
afterglow__071,afterglow,0.7038,0.8194
ave_mujica__072,ave_mujica,0.4028,0.5172
ave_mujica__073,ave_mujica,0.5331,0.6207
ave_mujica__074,ave_mujica,0.0521,0.1724
ave_mujica__075,ave_mujica,0.2994,0.3448
ave_mujica__076,ave_mujica,0.6826,0.8966
ave_mujica__077,ave_mujica,0.8627,1.0
ave_mujica__078,ave_mujica,0.3817,0.4828
ave_mujica__079,ave_mujica,0.6765,0.8621
ave_mujica__080,ave_mujica,0.6291,0.7586
ave_mujica__081,ave_mujica,0.6567,0.8276
ave_mujica__082,ave_mujica,0.5932,0.6897
ave_mujica__083,ave_mujica,0.6075,0.7241
ave_mujica__084,ave_mujica,0.7379,0.931
ave_mujica__085,ave_mujica,0.4836,0.5862
ave_mujica__086,ave_mujica,0.7608,0.9655
ave_mujica__087,ave_mujica,0.0243,0.1034
ave_mujica__088,ave_mujica,0.2259,0.2759
ave_mujica__089,ave_mujica,0.2609,0.3103
ave_mujica__090,ave_mujica,0.1725,0.2069
ave_mujica__091,ave_mujica,0.0229,0.069
ave_mujica__092,ave_mujica,0.1806,0.2414
ave_mujica__093,ave_mujica,0.0222,0.0345
ave_mujica__094,ave_mujica,0.4731,0.5517
ave_mujica__095,ave_mujica,0.3231,0.4138
ave_mujica__096,ave_mujica,0.572,0.6552
ave_mujica__097,ave_mujica,0.0312,0.1379
ave_mujica__098,ave_mujica,0.6361,0.7931
ave_mujica__099,ave_mujica,0.3054,0.3793
ave_mujica__100,ave_mujica,0.3611,0.4483
various_artists__101,various_artists,0.2891,0.2
various_artists__102,various_artists,0.4416,0.6
various_artists__103,various_artists,0.4366,0.4
various_artists__104,various_artists,0.5668,1.0
various_artists__105,various_artists,0.5653,0.8
hello_happy_world__106,hello_happy_world,0.4457,0.1528
hello_happy_world__107,hello_happy_world,0.8569,0.9306
hello_happy_world__108,hello_happy_world,0.2286,0.0278
hello_happy_world__109,hello_happy_world,0.7763,0.7778
hello_happy_world__110,hello_happy_world,0.5929,0.4028
hello_happy_world__111,hello_happy_world,0.827,0.8889
hello_happy_world__112,hello_happy_world,0.7662,0.7361
hello_happy_world__113,hello_happy_world,0.6468,0.5
hello_happy_world__114,hello_happy_world,0.5236,0.2361
hello_happy_world__115,hello_happy_world,0.4766,0.1944
hello_happy_world__116,hello_happy_world,0.3635,0.0556
hello_happy_world__117,hello_happy_world,0.3751,0.0694
