query_id,method1,method2
R01,2.0,2.3333333333333335
R02,5.0,4.0
R03,4.333333333333333,4.333333333333333
R04,4.333333333333333,4.666666666666667
R05,4.666666666666667,5.0
R06,4.666666666666667,4.333333333333333
R07,3.3333333333333335,2.3333333333333335
R08,3.6666666666666665,3.3333333333333335
R09,5.0,4.333333333333333
R10,5.0,4.666666666666667
R11,3.6666666666666665,3.0
R12,4.0,4.333333333333333
R13,2.3333333333333335,3.3333333333333335
R14,2.0,3.3333333333333335
R15,4.0,4.0
R16,3.3333333333333335,3.3333333333333335
R17,4.0,4.0
R18,4.333333333333333,3.3333333333333335
R19,4.333333333333333,4.666666666666667
R20,4.0,3.6666666666666665
R21,5.0,5.0
R22,4.333333333333333,4.0
R23,4.666666666666667,4.333333333333333
R24,1.6666666666666667,2.3333333333333335
