query_id,method,rank,idx,band,song,energy,url
R01,method1,1,433,poppin_party,花咲く未来に,0.6855,https://youtu.be/rTVN1M1DNx8
R01,method1,2,128,hello_happy_world,ハピネスっ！ハピィーマジカルっ♪,0.7067,https://youtu.be/wPDP9eT2-Cs
R01,method1,3,560,raise_a_suilen,Just Awake (Cover),0.6644,https://youtu.be/nyn9h6BraQ4
R01,method2,1,332,pastel_palettes,SAKURAスキップ,0.7754,https://youtu.be/DxUyKQwPeWU
R01,method2,2,123,hello_happy_world,Happy! Happier! Happiest!,0.6933,https://youtu.be/xpECEzVaWH8
R01,method2,3,432,poppin_party,雨上がり、キミと,0.6245,https://youtu.be/6PWbcFhH1sc
R02,method1,1,638,roselia,悪魔の子 (Cover),0.1238,https://youtu.be/kHdgtPHuya8
R02,method1,2,592,roselia,Sage der Rosen,0.2131,https://youtu.be/z0jU3sNiA44
R02,method1,3,628,roselia,Singing “OURS”,0.2022,https://youtu.be/rGkei9v-jz4
R02,method2,1,638,roselia,悪魔の子 (Cover),0.1238,https://youtu.be/kHdgtPHuya8
R02,method2,2,571,roselia,BLACK SHOUT,0.2636,https://youtu.be/MmnU-s1TdsI
R02,method2,3,573,roselia,陽だまりロードナイト,0.346,https://youtu.be/KjgjeK-ppd0
R03,method1,1,560,raise_a_suilen,Just Awake (Cover),0.6644,https://youtu.be/nyn9h6BraQ4
R03,method1,2,522,raise_a_suilen,Hey-day狂騒曲(カプリチオ),0.6766,https://youtu.be/dQuVrNLZOFM
R03,method1,3,537,raise_a_suilen,FIVE as ONE,0.6174,https://youtu.be/rRo4HYj654A
R03,method2,1,522,raise_a_suilen,Hey-day狂騒曲(カプリチオ),0.6766,https://youtu.be/dQuVrNLZOFM
R03,method2,2,537,raise_a_suilen,FIVE as ONE,0.6174,https://youtu.be/rRo4HYj654A
R03,method2,3,513,raise_a_suilen,Repaint,0.6482,https://youtu.be/eJp3_buirj4
R04,method1,1,260,mygo,迷星叫,0.1832,https://youtu.be/V6gq-6dAbHA
R04,method1,2,265,mygo,潜在表明,0.2114,https://youtu.be/ljBKERoFUZQ
R04,method1,3,271,mygo,名無声,0.2169,https://youtu.be/DEyXwtinmfs
R04,method2,1,260,mygo,迷星叫,0.1832,https://youtu.be/V6gq-6dAbHA
R04,method2,2,268,mygo,詩超絆,0.1207,https://youtu.be/OenakjvUs24
R04,method2,3,660,mygo,素寄曲,0.1685,https://youtu.be/uZSAArx6jKM
R05,method1,1,90,ave_mujica,The Whole Blue World,0.1725,https://youtu.be/lkS9XIzWObc
R05,method1,2,88,ave_mujica,Symbol IV : Earth,0.2259,https://youtu.be/WqQPM0dZpXc
R05,method1,3,92,ave_mujica,素晴らしき世界 でも どこにもない場所,0.1806,https://youtu.be/MyI6sKuV4kY
R05,method2,1,90,ave_mujica,The Whole Blue World,0.1725,https://youtu.be/lkS9XIzWObc
R05,method2,2,97,ave_mujica,碧い瞳の中に,0.0312,https://youtu.be/bLOb7kC9Jns
R05,method2,3,75,ave_mujica,Crucifix X,0.2994,https://youtu.be/XP8al1l38Po
R06,method1,1,123,hello_happy_world,Happy! Happier! Happiest!,0.6933,https://youtu.be/xpECEzVaWH8
R06,method1,2,130,hello_happy_world,ハッピーサマーウェディング,0.718,https://youtu.be/SQrYhJ6x7kE
R06,method1,3,128,hello_happy_world,ハピネスっ！ハピィーマジカルっ♪,0.7067,https://youtu.be/wPDP9eT2-Cs
R06,method2,1,123,hello_happy_world,Happy! Happier! Happiest!,0.6933,https://youtu.be/xpECEzVaWH8
R06,method2,2,121,hello_happy_world,はれやか すこやか ぴかりんりん♪,0.6775,https://youtu.be/hstT4_F2Hqg
R06,method2,3,118,hello_happy_world,せかいのっびのびトレジャー！,0.6344,https://youtu.be/t-YRHYvIqEE
R07,method1,1,208,morfonica,esora no clover,0.1573,https://youtu.be/fGgKN9_egCM
R07,method1,2,638,roselia,悪魔の子 (Cover),0.1238,https://youtu.be/kHdgtPHuya8
R07,method1,3,592,roselia,Sage der Rosen,0.2131,https://youtu.be/z0jU3sNiA44
R07,method2,1,90,ave_mujica,The Whole Blue World,0.1725,https://youtu.be/lkS9XIzWObc
R07,method2,2,638,roselia,悪魔の子 (Cover),0.1238,https://youtu.be/kHdgtPHuya8
R07,method2,3,88,ave_mujica,Symbol IV : Earth,0.2259,https://youtu.be/WqQPM0dZpXc
R08,method1,1,433,poppin_party,花咲く未来に,0.6855,https://youtu.be/rTVN1M1DNx8
R08,method1,2,128,hello_happy_world,ハピネスっ！ハピィーマジカルっ♪,0.7067,https://youtu.be/wPDP9eT2-Cs
R08,method1,3,390,poppin_party,CiRCLING,0.6387,https://youtu.be/Zj4qzqS--UY
R08,method2,1,332,pastel_palettes,SAKURAスキップ,0.7754,https://youtu.be/DxUyKQwPeWU
R08,method2,2,459,poppin_party,勇気Limit！,0.7094,https://youtu.be/HNpDj7g9Fd0
R08,method2,3,440,poppin_party,Future Place,0.6566,https://youtu.be/JonvwJvZFv4
R09,method1,1,104,various_artists,"Here, the world",0.5668,https://youtu.be/LuwRRghPD1A
R09,method1,2,388,poppin_party,クリスマスのうた,0.6026,https://youtu.be/EMwYk4qPK1k
R09,method1,3,376,poppin_party,STAR BEAT!～ホシノコドウ～,0.5375,https://youtu.be/RtKwXh18gkc
R09,method2,1,104,various_artists,"Here, the world",0.5668,https://youtu.be/LuwRRghPD1A
R09,method2,2,13,afterglow,いつも通りのBrand new days,0.5785,https://youtu.be/Ku2GV2VkQcA
R09,method2,3,55,afterglow,GO!!! (Cover),0.5977,https://youtu.be/FDflFAr27rE
R10,method1,1,208,morfonica,esora no clover,0.1573,https://youtu.be/fGgKN9_egCM
R10,method1,2,638,roselia,悪魔の子 (Cover),0.1238,https://youtu.be/kHdgtPHuya8
R10,method1,3,97,ave_mujica,碧い瞳の中に,0.0312,https://youtu.be/bLOb7kC9Jns
R10,method2,1,638,roselia,悪魔の子 (Cover),0.1238,https://youtu.be/kHdgtPHuya8
R10,method2,2,97,ave_mujica,碧い瞳の中に,0.0312,https://youtu.be/bLOb7kC9Jns
R10,method2,3,568,raise_a_suilen,DEPARTURES (Cover),0.151,https://youtu.be/TLq1MbV686M
R11,method1,1,384,poppin_party,ティアドロップス ～Popipa Acoustic Ver.～,0.1708,https://youtu.be/Eq0Mo7Ca02I
R11,method1,2,405,poppin_party,Returns,0.1451,https://youtu.be/zWKV5yudE18
R11,method1,3,92,ave_mujica,素晴らしき世界 でも どこにもない場所,0.1806,https://youtu.be/MyI6sKuV4kY
R11,method2,1,88,ave_mujica,Symbol IV : Earth,0.2259,https://youtu.be/WqQPM0dZpXc
R11,method2,2,381,poppin_party,私の心はチョココロネ,0.2777,https://youtu.be/ZnaBCQTeHYI
R11,method2,3,441,poppin_party,大好き！,0.2619,https://youtu.be/NW5DnKrpr8M
R12,method1,1,573,roselia,陽だまりロードナイト,0.346,https://youtu.be/KjgjeK-ppd0
R12,method1,2,420,poppin_party,SAKURA MEMORIES,0.4111,https://youtu.be/lQF_5FOrl7k
R12,method1,3,300,mygo,春日影,0.4341,https://youtu.be/wRwQUk0Dl30
R12,method2,1,573,roselia,陽だまりロードナイト,0.346,https://youtu.be/KjgjeK-ppd0
R12,method2,2,420,poppin_party,SAKURA MEMORIES,0.4111,https://youtu.be/lQF_5FOrl7k
R12,method2,3,106,hello_happy_world,キミがいなくちゃっ！,0.4457,https://youtu.be/9itZp8utiAw
R13,method1,1,388,poppin_party,クリスマスのうた,0.6026,https://youtu.be/EMwYk4qPK1k
R13,method1,2,376,poppin_party,STAR BEAT!～ホシノコドウ～,0.5375,https://youtu.be/RtKwXh18gkc
R13,method1,3,21,afterglow,極彩色,0.542,https://youtu.be/YvpL2A3FZk4
R13,method2,1,55,afterglow,GO!!! (Cover),0.5977,https://youtu.be/FDflFAr27rE
